user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
miz7****,,,False,1,2025-01-09T18:01:24+0900,847964503059464342,0,0,38
vkfr****,2Om56,법원판단이나 헌재판정도없이 내란수괴라며  현직대통령을 체포하겠다는 민주당의 하수인이된 공수처는 도데체  무슨근거로 체포한다는건가?   나라꼴이  아프리카 후진국보다 못한 부끄러운 정치후진국이되었다,True,1,2025-01-09T18:07:38+0900,847964905058337014,1116,147,16
k1s9****,4P1ul,그래도 저기에 올바른 생각을 가진신분이 계시네 감사합니다,True,1,2025-01-09T18:01:14+0900,847964492221382751,696,106,10
wunj****,3zASG,좌파에도 정상적 사고하는 사람은 분명히 있다. 국개는 실형선고되어도 항소하고 불구속 수사하는데 왜 대통령을 강제 구속하려 난리인지. 약쟁이 살인자도  불구속 수사하는 주제에,True,1,2025-01-09T18:05:54+0900,847964793372410167,558,47,11
modu****,2cI3bF,내란죄는 민주탄핵당이 받아야지,True,1,2025-01-09T18:01:22+0900,847964500760985742,470,65,5
park****,1vng9,민주당은 국가기관이 지들 꼴리는대로 결정 안해주면 무조건 해체래~~~ㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-01-09T18:06:46+0900,847964848636559612,383,24,3
reme****,2a9tT,이제야제대로된 의견을봅니다 인권위원회에서 그렇다고하면그게맞는거다 무지막지한 탄핵남발에 대통려으로서는 더이상두고볼수없었기에 경종을울리려계엄을발효했다 그리고잘못이있다면 최소한의예의라도지켜야한다 지금똥인지된장인지모르고 줄타기하는인간들후회하게될거다,True,1,2025-01-09T18:07:19+0900,847964885043118217,365,42,7
hyun****,2Kkfv,"내란도 아니고 정상적인 통치행위입니다.

반국가세력(친중, 친북)을 척결하려는 대통령의 결단입니다.

부정선거를 밝히려는 정상적인 통치행위입니다.

우리 국민들은 응원합니다.  미국에서도 지지합니다.

친중. 친북하는 정치인(민주당)들은  우리나라에서
추방해야 합니다 

애국시민 여러분 !!! 싸웁시다. !!! 우리가 이깁니다. !!!",True,1,2025-01-09T18:11:32+0900,847965156179706046,391,74,9
mktw****,64aa9,이번 계엄은 과거 군사정권때 계엄과 다르다. 임기연장을 획책한것도 아니고 정권찬탈의 의도도 없다. 입법독재에따른 행정 마비에 대한 저항수단으로 행정수반 대통령의 통치행위로서 게엄령을 한것이다. 설사 이런의도의 계엄선표에 좀 무리가 있었더라도 몇시간후 국회결정을 받아들임으로서 보정되었다. 이런게 어떻게 내란인가?,True,1,2025-01-09T18:31:42+0900,847966455843520784,261,26,5
vjtm****,,,False,1,2025-01-09T18:08:13+0900,847964942706409547,0,0,7
lech****,9VkYh,남대문 야바위꾼들이 점령한 개딸당은 전 세계인이 보고잇단걸 명심해라  솔직히 이재명한사람 때문에  여태까지 온것 아닌가  재판 받는게 12개다 이게 말이되나,True,1,2025-01-09T18:05:33+0900,847964770924495057,199,13,2
blin****,3rPlf,"말 잘했다 
윤석열 대통령이 국민이 가려운ㅈ
등을 긁어주어 시원 혔는데 
무슨 내란죄 , ?

국민 불편하게 만든 죄명 . 정청래가
내란죄 아닌가 ?",True,1,2025-01-09T18:23:44+0900,847965941722513658,196,21,0
yuch****,8wcMZ,"지금 야권이 장악한 국회 독재는 국가 권력의 남용을 넘어 법적*정당한 한계를 명백히 벗어났다. 이에 국민은 이를 저지할 권리를 가질 수 있다. ""대한민국의 주권은 국민에게 있고, 모든 권력은 국민으로부터 나온다""(헌법 제1조 제2항) 이 규정은 국민이 국가 권력을 행사하는 주체임을 분명히 하고 있으며, 국가 권력이 국민의 의지에 반할 경우, 국민은 저항할 수 있는 정당한 권리를 가질 수 있다. 국민저항권은 국민이 국가 권력의 남용이나 부당한 압박에 대해 저항할 수 있는 권리이다. 여야 22대 국회는 해산 하라. 국민의 명령이다😡",True,1,2025-01-09T18:42:03+0900,847967122704302105,183,12,2
star****,7EQog,그동안 우리가 몰라왔을뿐이지. 지금 상황보면 대통령이 계엄령을 내릴 정도로 심각한 위기상황이었다. 30건 넘게 탄핵남발하고 중국 간첩 잡으려는 간첩법도 민주당이 통과 못시키게 하고 민노총은 임원이 간첩죄로 잡혀가고 그리고 부정선거 의혹이 분명히 있음에도 압수수색 하나 못하는 현실이었다. 그 상황이라면 나같아도 계엄령 발동한다,True,1,2025-01-09T19:18:51+0900,847969493610135854,172,18,1
ruvi****,BgFB,계엄은 국가 위기 상항일때  대통령 권한으로 할수 있는 합법적인것임,True,1,2025-01-09T18:10:23+0900,847965082544504957,139,15,5
sh00****,,,False,1,2025-01-09T18:01:42+0900,847964522823024933,0,0,3
ksjk****,4D1LF,인권위원들중에 현명한 사람이 많이 있네요.  정말 시국을 꿰뚫고 있어 동감합니다.,True,1,2025-01-09T18:09:29+0900,847965024394674361,110,12,0
jsne****,,,False,1,2025-01-09T18:03:48+0900,847964658030608679,0,0,0
hong****,24IzE,"하는말마다, 명확하네~~ 인권위원들이 나서주네~~~ 불법체포는 반란이다.",True,1,2025-01-09T18:14:33+0900,847965350795411671,93,8,0
neoc****,1Eb3O,민주당이 하는 짓거리 보면 윤석열이 한 짓거리가 정당한듯,True,1,2025-01-09T18:08:29+0900,847964959919833241,107,23,0
pmc1****,6wONZ,"더도 덜도 아니고 딱 맞다. 범죄자 조가는 실형을 선고 받고도 국개의원 짓을 하고 들어가기전 큰소리 치고 들어갔고, 은갖 범죄혐의를 받고 재판을 회피하고 있는 이가는 대통령이라도 된듯 큰소리치고 마구잡이로 탄핵해서 나라를 혼란스럽게 만들고 있다. 법사위원장 정가는 사형될거라고 막말을 하고 있다. 현 정치상황을 볼때 ㅇ 같은 무리들은 나라가 망하던 말던  정권만 잡으면 된다고 생각하는것 같다. 국개의원 귄한 축소 범국민운동본부를 설립해야겠다. 저런것들이 면책특권이라는 방패뒤로 숨지 못하도록 만들어야겠다.",True,1,2025-01-09T19:19:44+0900,847969549763477759,49,2,0
guin****,3WH3P,무엇보다  비상계엄에 대한 방어권이라 할 수 있는 국회의 계엄해제권이 존중되었으며 계엄해제가 가결되자 국회에 있던 군과 경찰이 질서있게 퇴장하였다. 정당한 권한인 비상계엄을 토대로 한 계획 의도 그리고 관련 발언이 아무리 무모하고 거칠었다 해도 그것이 비상계엄해제로 인하여 실제 행위로 이어지지 않은 채 종료되었는데 어떻게 내란죄가 성립될 수 있는가.,True,1,2025-01-09T18:12:56+0900,847965246692786588,43,6,2
mjsu****,32VOT,와 오랫만에 인권위다운 권고이네요. 비록 윤석열의 비상계엄을 지지하지는 않지만  야당의 행패는  진짜 내란선동으로 보여집니다.,True,1,2025-01-09T19:09:23+0900,847968883137577085,39,3,0
hbbs****,Dzsk,모든게 절차를 무시하고 진행되면 국민저항권이 일어난다.  헌재 사법부 언론이 미쳐 돌아간다.  뒤에는 민주당과 앞잡이 죄명이가 조정한다.  어떻게 대한민국이 죄명이껀가. 모든게. 지맘대로야.,True,1,2025-01-09T18:36:57+0900,847966793602433342,36,5,0
suso****,,,False,1,2025-01-09T19:11:08+0900,847968995964354600,0,0,2
grun****,,,False,1,2025-01-09T19:16:55+0900,847969368871534875,0,0,0
dw61****,2vTFR,"국가인권위가 살아있네요..  
그래도 정신있는 국가기관이 있겠죠  
국민 여론이 완전 역전됐어요  
내란은 나라 망치고있는 더듬당 뻘건 종자들이다",True,1,2025-01-09T21:39:56+0900,847978582482354526,23,1,0
ange****,2C9Gz,돌겠네 탄학남발 하지 말것을 부탁하는 인권위원장 마저 사퇴하라고 협박한다. 곧 탄핵 또 들어가겠네 저 탄핵병 때문에 장관이고 판사고 경찰이고 다 벌벌떠니 이게 나라냐?,True,1,2025-01-09T20:54:03+0900,847975626823434261,22,1,0
llk6****,662oB,"맞는 말씀입니다 이건 170석으로 몰아부치는 국회발 내란수준임 밑도 끝도없는 야권발 국회발 야당 190석 입법부가
정부행정을 마비시키는 내란 아닌 내란이다",True,1,2025-01-09T20:12:48+0900,847972968607777079,19,1,0
brib****,2QFzt,내란죄없는 탄랙으로 수사권없는 공수처와 민즈당이 내란선동중임,True,1,2025-01-09T18:00:53+0900,847964470142566738,23,6,1
keif****,24Yly,이제야 제대로 돌아가는 기관이 있네 지금까지 온갖 불법하는 반국가세력밖에 없더니!!,True,1,2025-01-09T18:40:32+0900,847967024591143075,19,2,0
kis4****,459Im,이재명 실패한 위증교사는 무죄라던데  실패한계엄  무죄아님?,True,1,2025-01-09T19:41:37+0900,847970959821373664,17,1,0
ghin****,4UNSu,옳은소리하셨네.,True,1,2025-01-09T18:03:30+0900,847964638736810170,18,3,0
ehdp****,HwJ1,계엄선포는  무죄 내란은 말도 안되는 무효다 대통령복귀시켜라,True,1,2025-01-09T18:37:15+0900,847966813064003679,19,5,0
lsm3****,,,False,1,2025-01-09T19:47:55+0900,847971365611897167,0,0,0
what****,ELR8,인권위는 그나마 공정하고 이성적인 것 같네. 요즘 반국가 카르텔 놈들이 날뛰는 것만 봐서 그런지 이런 인권위의 의견을 어떤 것들이 묵살하는지도 봐야 할 것 같다. 도둑을 못잡게 하거나 남에게 도둑이라 덮어 씌우는 파렴치한이 진짜 도둑놈이다.,True,1,2025-01-09T18:25:01+0900,847966025088499719,15,1,0
shin****,21WzL,"인권위에서 지적한 내용 구구절절히  모두 옳은 말이다. 헌재도 대통령 탄핵이라는 중차대한 사안에 대해 졸속처리하지 말고 충분한 실리를 하되, 헌재가 더불어 공산당과 짬짬이 내란죄를 뺀 것이 아니라면, 탄핵소추 자체를 국회로 회송해서 내란죄를 포함하지 않은 안건으로 국회재의결할 것을 요구하라.",True,1,2025-01-09T19:41:44+0900,847970967857660182,17,4,0
chih****,,,False,1,2025-01-09T19:39:34+0900,847970827935678625,0,0,0
syy1****,1pA91,"인권위원회가 제대로 된 권고사항을 했다고 본다..오로지 이재명 살리기 위한 국헌 문란일 수도 있지...국정 운영 방해부터 시작한 것이 국헌 문란에 해당 되지 않나? 윤 대통령이 거기에 말려 든 것이고...
모든 검.경.군들이 내란공범에 엮일까봐 민주당에 역으로 과잉 충성 하는 것 같아 보이는데...",True,1,2025-01-09T19:29:09+0900,847970157115473991,12,1,0
sh60****,1nrBB,분별력이 있는사람이라면 좌우를 떠나서 이게 맞는 말이죠,True,1,2025-01-09T21:02:29+0900,847976170036134056,11,1,0
eowk****,,,False,1,2025-01-09T18:32:59+0900,847966538672636253,0,0,0
djma****,5c5z,"일부 인권위원이 아니라 더많은 국민들이 같은 생각이다...더불어공산당,헌재,경찰 다 썩었네.",True,1,2025-01-09T21:04:34+0900,847976303515664588,10,1,1
baru****,bOZBQ,내란은 민주당이지,True,1,2025-01-09T20:59:39+0900,847975986896044261,10,1,0
hyoj****,1MR6Q,"불법 체포영장 발부하고, 내란죄 뜻도 모르고 내란죄 내세워 대통령 탄핵시키려 하는 더불어공산당과 이죄명이 내란죄이고 구속이다!!!!",True,1,2025-01-09T19:28:28+0900,847970112840401056,10,2,0
leee****,2uQuL,인권위원회의 정직하고 공정한발언에 속이  시원합니다  감사합니다,True,1,2025-01-09T19:38:13+0900,847970740241170518,9,1,0
toco****,26XmU,피해가 적어? 사람이 죽어나가야만 피해가 큰 거냐? 저런 개소리하는 넘들부터 총 맛을 봐야겠네.,True,1,2025-01-09T20:22:17+0900,847973579466211429,12,5,1
