user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kill****,YwTA,국민들도 눈과 귀가 있다 . 세월호 때처럼 가스라이팅 해서 전국민 모으려 했지만 오히려 윤통을 보호하는 국민들 !!! 중국이 싫고 북한이 주적이다,True,1,2025-02-02T11:35:09+0900,850166130927468588,71,21,4
nakj****,,,False,1,2025-02-02T11:41:21+0900,850166530325872743,0,0,1
lkhs****,4oaO7,대세는 우파!!! 이젠 좌파 선동질엔 안속아요!!!,True,1,2025-02-02T11:52:06+0900,850167222486695964,26,8,0
simo****,,,False,1,2025-02-02T12:37:25+0900,850170141822943352,0,0,1
msh6****,1heaa,이번에 증인들로 나오는 사람들이 그동안 국민들이 알고 있었던 정보가 잘못된 것임을 전부 폭로할 것이고 결국은 내란 몰이에 의해서 국민들이 속았다는 것을 알게 될 거다.,True,1,2025-02-02T11:22:24+0900,850165309380755560,40,27,1
y0ou****,X7Q9,"미국의 한반도 전문가들은 도널드 트럼프 대통령이 심화하는 미중 경쟁 속에서 한국을 전략적 자산으로 간주할 것이며, 한국이 중국의 위협에 맞서 더 큰 역할을 하길 기대할 것이라고 전망했습니다. 또 한국의 과도한 중국 경제 의존은 대가를 치르게 될 것이라고 경고했습니다. 전문가들은 사드 보복 사례를 거론하며, 한국이 중국의 실체를 분명히 인식할 필요가 있다고 지적했습니다. 아울러 향후 미한 관계는 한국이 동맹, 대북, 대중 관계를 어떻게 설정하느냐에 달려 있다고 분석했습니다. VOA",True,1,2025-02-02T12:15:07+0900,850168705005387810,3,0,0
jjle****,1XvSY,지난 몇년간 더불어탄핵당과 협잡해서 나라 망치는 판결을 내리고 죄명이 비호중에 있는 우리법연구회 카르텔이 내릴 판결에 일반국민들이 과연 수긍할까?,True,1,2025-02-02T13:28:21+0900,850173423513501793,3,1,0
jean****,5LGzU,"이상현  육군제1공수여단장 말을  눈여겨  봐라  ..임종득의원과  질의에서  이상현이  곽종근으로부터  ""내부에  있는  인원(특수요원)을  밖으로  내보내라"" 라고  지시받았단다. 곽종근은  김용현한테  ""인원(특수요원)들을,  요원(특수요원)들을  밖으로  빼내라""  라고  지시받았다고  김병주  유튜브에서  말했다..즉  의원이  아니라 요원이었다. 이상현  곽종근  김용현 윤대통령  4명 말이  똑같다..",True,1,2025-02-02T14:58:05+0900,850179204740808735,2,0,0
pops****,13okJ,자유대한민국에 숨어들어 사회주의 혁명을 논하는 우리법연구회 소속 판사 뿐만 아니라 검사들도 살펴봐야 한다. 어떻게 중국에서 북한공작원 접선해서 지령받다 간첩혐의로 체포된 민노총 간부는 불구속 기소하고 대한민국 국민들이 투표로 선출한 대한민국 대통령은 방어권 보장도 없이 내란혐의로 구속수사 하는 것이 만인에게 공정한 법치인가? 간첩은 불구속! 현직 대통령은 구속! 이게 자유대한민국 법치를 수호하는 검사가 할 짓 인가? 이게 나라냐?,True,1,2025-02-02T13:55:31+0900,850175173326798988,2,0,0
magl****,25soy,내란실패 했의면 의당 처벌 받는 것이지 그럼 안 받을 줄 알았더냐 뻔뻔하기 그지없는 내란극우들아,True,1,2025-02-02T13:31:27+0900,850173622608724091,2,0,0
hong****,BZe2,이넘 빨리 탄핵인용시키고.   내란죄사형 구형 하고 치워라   이제 피로도가 심하다  그만보고 싶다,True,1,2025-02-02T11:49:17+0900,850167041192099920,3,2,1
jong****,9i6j,꽃보다전한길  유투브 보고왔습니다  이게 나라냐? 오늘부터 국민힘 응원합니다  👏 👏,True,1,2025-02-02T13:41:33+0900,850174273547927695,2,1,0
tjsk****,dysLW,모조리 죄를 물어 구속시키고 수괴는 반드시 사형시켜라,True,1,2025-02-02T13:13:30+0900,850172467061194868,2,1,0
mihu****,,,False,1,2025-02-02T20:47:50+0900,850201736575451422,0,0,0
kmh3****,5khBn,"뻔뻔한 윤석열
내란성공했으면  제 2의 전두환 등장
끔찍하다",True,1,2025-02-02T18:39:17+0900,850193455006089297,1,0,0
haea****,1Mvmi,정상적인 나라를 위해 빨리가자 탄핵!!!!,True,1,2025-02-02T11:28:31+0900,850165703158792337,20,20,1
tedd****,2IaG3,추락한 국가의 명예와 외교를 급반전시키기 위해서라도 최단기간 내 탄핵 판결을 내주고 V0인 김건희도 빠르게 수사하기 바랍니다. 국민 경제도 꽁꽁 얼어 고사 직전인데 얼른 탄핵 마무리되고 처벌과 수사 잘 진행되고 정국이 빨리 안정되기를 바랍니다.,True,1,2025-02-02T13:05:38+0900,850171959298752675,3,3,0
simk****,25TJb,어차피 끝난게임 이제 관심끄자. 알아서 탄핵되고 법적처벌 받을꺼니까 이제 윤석열이 저질러놓은 떵같은 사태수습과  역대최악으로 대한민국을 갈라치기해놓은 이사태를 수습하는데 모든힘을 써야할때,True,1,2025-02-02T11:53:49+0900,850167332813668551,3,3,0
jean****,5LGzU,"홍장원말은 요즘  오전다르고  오후 다르니. 거짓말이고.. 곽종근은  ""인원(특수요원)들을, 요원(특수요원)들을  빼내라"" 라고  김용현으로부터  지시받았다고  김병주유튜브에서  실토했고..그즉시  곽종근으로부터  지시받은  이상현  육군제1공수여단장 이  있다  "" 내부에  있는  인원(특수요원)을  밖으로  내보내라""  라고  곽종근으로부터  지시가  있었다고  이상현이  임종득의원과의  질의에서  말했다. 그  말  들은  곽종근  눈만  껌벅껌벅했다. 그러므로  의원을  끌어내라가  아니라  요원을  빼내라가  100%맞는말",True,1,2025-02-02T11:44:29+0900,850166731904123025,2,2,0
joke****,3ycgN,문형배 정계선 이미선 은 사퇴하라 편향성있는 재판은 있어서는안된다사퇴하라 사퇴하라  편향성재판 저승사자 기다리고있다  천벌을받을거다 반민주세력 잽간은 전과5범 을 위한 재판이다오래전부터친분관계 니들팔  안으로굽지 편파적재판 공산당'무리들이다 북송시켜야한다,True,1,2025-02-02T13:10:25+0900,850172267764645979,1,1,0
cree****,24Ppy,홍장원의 어퍼컷으로 윤석열 KO에 내 손목아지 건다.,True,1,2025-02-02T12:31:47+0900,850169779535741130,1,1,0
