user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sang****,5QmrQ,탄핵반대가 민심이다,True,1,2025-02-23T07:40:18+0900,852099197879451687,126,51,12
k530****,3YsLE,배넷빙쉬인 언챙이째보가 아닌이상 곽씨나 홍씨 증언에 아 그렇구나 하는게  정상은 아니지.. 빨간색에 쩔어서 대통령을 끌어내리는 나라.. 해상교통사고에 대통령끌어내린 나라.. 우리지역 사고는 덮어두고 정치적 이익있을때나  촛불들고 책임자처벌 외치는 나라. 무슨 사고만 나면 이름붙여 일단 법부터 만들고 보는나라.. 이게 정상국가냐?? ㅋ,True,1,2025-02-23T08:32:36+0900,852102567130300516,87,25,6
hijo****,1Qj7y,탄핵찬성 집회에는......태극기가 없는 게 팩트!!!  대한민국 국민이 정당하게 뽑은 대통령이 내려오길 바라는 세력이 누.군.지 정상 국민이 깨어나고 있다.,True,1,2025-02-23T08:41:00+0900,852103107809640453,63,14,8
tbqk****,3cQKD,"반대 집회가 대규모이고 찬성 집회는 민주당과 종북, 종종 단체입니다. 비슷한 것처럼 기사 쓰면서 사실을 왜곡하지 마세요.",True,1,2025-02-23T06:53:10+0900,852096161085915152,76,32,4
drba****,,,False,1,2025-02-23T09:08:46+0900,852104896797737132,0,0,0
choi****,,,False,1,2025-02-23T10:00:07+0900,852108204945965088,0,0,0
shym****,5l4Eg,탄핵 찬성하는 집회는 몇없더만 무슨 대규모??? 아직도 민심을 모르는 기자인가?,True,1,2025-02-23T10:00:43+0900,852108243449675917,12,2,0
bure****,sBm8,탄핵반대 집회는 시민들이 많고 민주당집회는 대부분 각종단체들이다 그들 대부분 깃발을 들고 나오는데 전부 좌파단체 소속이고 시민들이 별로없다 그에 반해 탄핵반대 집회는 시민들 1230과 초등학생과 어린애기를 안고 참석하는 엄마들도 많다,True,1,2025-02-23T10:09:06+0900,852108784045129755,8,1,0
bure****,sBm8,탄핵반대 집회가 백배나 많은데 비슷한걸로 속이는 기러기 국민들은 계몽되어 돌아오는데 철새 기러기는 언제 돌아오려나 눈을 뜨세요 언론방송들,True,1,2025-02-23T10:01:59+0900,852108325523816666,7,1,0
kara****,1HPZW,"파란하늘속에서만 살던 국민은 미세먼지를 몰랐습니다. 산둥반도로 공장들이 이전하고 있다고 그렇게 경고를 했지만, 파란하늘만 보던 국민들은 몰랐습니다.
숨쉴수 없는 회색 하늘을 보며, 파란 하늘의 소중함을 알게되었습니다.
자유가 그렇습니다. 늘 누려왔으니까요.
당연한줄 압니다. 부정선거? 중국 속방화? 체제전쟁? 하이브리드전? 지금은 미친소리같죠? 후회하기전에 깨어나십시오",True,1,2025-02-23T09:02:00+0900,852104461328318466,8,4,0
ghwl****,bRcG3,탄핵찬성집회는 민주노총 시민단체 탄핵반대집회는 20대 30대 60대 70대 진짜 공산당이랑 싸움이다...,True,1,2025-02-23T14:12:57+0900,852124493911425242,4,0,0
