user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
car6****,1khS6,내란당 계엄을 장난정도로 받아들이는 정신나간 인간들,True,1,2025-02-28T14:47:22+0900,852590567371047086,153,36,5
badu****,1GAug,국민을 수거할게 아니고 이 내란동조범들 분리수거 해야할듯 ```,True,1,2025-02-28T14:43:02+0900,852590288248504346,64,11,3
bcap****,1fg4g,놀고들 있네... 저런 것들이 국회의원이라고... 한심하다,True,1,2025-02-28T14:52:53+0900,852590922695704950,43,5,1
mili****,3dkm1,"형식적, 절차적 하자 투성이 계엄령 선포를 옹호하고 계엄해제요구라는 국회 본연의 절차적 권리를 포기한 국힘이 무슨 절차적 하자을 논할 자격이 있나?",True,1,2025-02-28T14:55:31+0900,852591092565016788,34,4,0
ds2p****,2cVxR,국회를 버리고 도망간 잔당들이다  이자들은 의원자격이 없는자들 입니다.,True,1,2025-02-28T15:01:11+0900,852591457352024142,27,1,0
kel8****,1h868,요 76명은   내란동조 .옹호범이 확실하다,True,1,2025-02-28T15:00:19+0900,852591401668444264,19,5,0
kums****,20Uso,나라도 팔아먹을 내란당놈들.,True,1,2025-02-28T14:51:15+0900,852590817435451519,16,2,0
poka****,7gCGu,왜 5년넘게 끌고온 소송 신속히 종결  될까봐 겁나나 보지요!!! 나베 우동!!!!,True,1,2025-02-28T14:49:00+0900,852590673235279875,15,2,2
daeb****,ry3O,잘한다...잘한다...폭망 국힘을 위해 노력하는 의원님들 화이팅!!,True,1,2025-02-28T14:56:11+0900,852591135246254152,12,2,0
eorm****,,,False,1,2025-02-28T15:09:11+0900,852591972815208519,0,0,1
choc****,,,False,1,2025-02-28T14:45:37+0900,852590454309388567,0,0,0
jws0****,1inmO,친일매국 세력들 다 모였네!! 보수라고 하는자들이 헌정질서를 부정하고 있는 모습이 웃프다!!!,True,1,2025-02-28T14:57:23+0900,852591212807323804,7,1,0
sill****,Qeyo,절차적하자는 비상계엄령이 문제있었던거지. 정신들차려라 진짜. 경고성계엄 이라고 씨부리는거 부끄럽지도 않디?  에혀.. 수준들하고는. 쯧,True,1,2025-02-28T14:53:04+0900,852590934456533030,6,0,0
ricc****,cMvZL,저 76명은 명단을 박제하여 다시는 의원직 못하게 해야한다~!! 지들 이익만 추구하는 국민은 안중에도 없는 인간들이다~!!!,True,1,2025-02-28T15:16:18+0900,852592432125050998,7,2,0
jjok****,1Pl8b,나경원 저거 정말 보기싫다,True,1,2025-02-28T15:10:21+0900,852592048564338843,6,1,1
han0****,,,False,1,2025-02-28T14:59:03+0900,852591320382832665,0,0,0
yhle****,5yRD8,니들 자체가 하자다. 내란옹호당 해산하자. 국회의원이 군동원해서 국회 무력화를 옹호하는거 자체가 말이 안된다.,True,1,2025-02-28T14:57:05+0900,852591193966510118,5,1,0
jsw6****,3JBqp,윤석열과 국민의힘 국회의원들 대부분 여론조사 조작과 공전 개입으로 당선됐으니 당선 무효다. 니들 인생 자체가 하자다.,True,1,2025-02-28T15:02:56+0900,852591570262688144,4,0,0
