user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
74ja****,1mouE,추경호 간신배 내란 수괴 놈,True,1,2025-03-01T16:53:48+0900,852691483751350477,63,21,1
qwe2****,2Zi0d,ㅋㅋㅋㅋㅋㅋㅋ 뒤가 구린 인간들 모였네 ㅋㅋㅋㅋㅋㅋㄲㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-03-01T16:55:25+0900,852691588592173190,48,21,2
frie****,1MvlQ,이들은 왜 이러는 걸까요? 나라가 미처가네요,True,1,2025-03-01T16:59:27+0900,852691848320254098,30,11,0
crea****,4fLMT,어이~~ 내란 공범들 저기 우글우글.. ㅋㅋㅋㅋ,True,1,2025-03-01T16:59:32+0900,852691853353418908,21,14,0
sain****,,,False,1,2025-03-01T16:53:38+0900,852691473315922102,0,0,10
dheo****,5VOFE,국힘놈들 면면이 부정과 수구의 화신들이다. 자신들의 이익을 위해 국가가 붕괴되는 것도 서슴치 않는 놈들이다,True,1,2025-03-01T21:52:56+0900,852710756074914075,4,0,0
sulj****,20r4g,저놈들이 역적들이다.내란범들....,True,1,2025-03-01T21:58:16+0900,852711099521302598,3,0,0
dhao****,l4iW,추경호 시간끌은거 성공했음? ㅎㄷㄷ 생각만해도 끔찍하다 저 내란공범,True,1,2025-03-01T21:09:00+0900,852707925708242947,3,0,0
cchc****,BOVR,"니네가 무슨 보수냐? 극우지!
극우집단에게 잘 보여서 한 표 받고싶지?
그렇게 비굴하게 살고싶냐?",True,1,2025-03-01T17:58:50+0900,852695673542279378,3,0,0
cmh4****,5IC6Q,절대잊지말고 표찍어주면 안된다,True,1,2025-03-01T21:39:49+0900,852709910788440269,3,1,0
dada****,6lelo,"너희가없어지는게
대한민국이살길인거
너희만모르지
내란당과수괴쫄따구들!!!",True,1,2025-03-01T20:24:54+0900,852705084302164240,3,1,0
sa-3****,bU58q,여기 중국댓글부대 있나,True,1,2025-03-01T17:25:25+0900,852693521394565224,3,1,0
ds2p****,2cVxR,국회를 버리고 도망간내란 잔당들이다  추경호부터 모조리 사법처리되길 바란다. 반듯이 파면되야 한다. 국정운용 능력도 안되는자가 왕자 쓰고 떡하니 용산에 앉야있으니 나라꼴아지가 말이 안된다.,True,1,2025-03-01T17:03:25+0900,852692103820476541,3,1,1
bass****,5S05,"민주당것들이 하는 짓이 내란이라고 말해야 한다...국정마비 시키는고.행정마비시키는데...내란이  아니고 뭔가?...정당한 계엄이였다고  생각한다., ..  내로남불질. 선전선동질 숙적제거질  ..갈라치기질  ..  그게  민주당이지.",True,1,2025-03-01T16:56:44+0900,852691673635881172,3,1,0
sain****,29cq1,37명 명단 올려주세요 다시는 국회출마 못하게 절대로 찍지 말아야할 인물 선정될듯,True,1,2025-03-01T22:10:58+0900,852711917293142281,2,0,0
3549****,eOfJS,윤씨 파면되면 젤 먼저 골로갈 인간들 생존을 위한 몸부림중,True,1,2025-03-01T21:10:22+0900,852708013050429532,2,0,0
ruda****,,,False,1,2025-03-01T20:50:16+0900,852706718721769563,0,0,0
mhg9****,cxScS,정신병 환자가 많군,True,1,2025-03-01T20:33:35+0900,852705643419664557,2,0,0
kbgr****,1akRm,계엄선포  내란수괴  마약검사 해야한다.  제정신이라면  계엄선포는  있을수   없는  일이었다.,True,1,2025-03-01T20:32:53+0900,852705599010373900,2,0,0
gree****,bD1vk,불법계엄은 위법이고 법을 어겼으면 벌을받는것이 당연한 것입니다 어처구니없이 행동하는 사람들은 선거로서 얼마든지 바로잡을수 있겠지요 국가가 위기에 처할때 분연히 떨쳐일어나 나라를 구한것은 묵묵히 본분을 지키며 살아온 소시민들에 의해서 입니다 어서빨리 이혼란이 끝나기를 기도합니다,True,1,2025-03-01T20:18:34+0900,852704675860840615,2,0,0
good****,caeeH,이 민족이 반역 자들을 어찌할까? 일제 시대의 친일 족속들과 같다.,True,1,2025-03-01T20:08:41+0900,852704039584923878,2,0,0
roma****,3AH8d,명태균 특검에서 갈아 없어질 인간들 ㄱㄱ,True,1,2025-03-01T17:16:47+0900,852692964793647330,2,0,0
tooz****,5Ezfy,"추경호 나라말아먹고 압잡이 노릇하는데
애쓴도",True,1,2025-03-01T17:11:20+0900,852692613361303641,2,0,0
feel****,KeiI,아니 내란한놈들이 나라를 구해달래...  뭐지??,True,1,2025-03-01T17:06:51+0900,852692325246173408,2,0,0
htm1****,3f6v7,"백날 해봐라.
내란수괴가 탄핵이 안되냐?
생각들존 하고 살아라.",True,1,2025-03-01T16:58:20+0900,852691776798982237,2,0,0
jyy5****,5Pomi,사기탄핵 즉각 기각시키고 자유민주주의를 수호하는 윤대통령을 빨리 직무복귀시켜라!!!! 탄핵반대가 바로 민심이다. 부정선거 제대로 밝혀서 자유민주주의 대한민국을 반드시 제대로 바로잡아야한다!!!!! 🇺🇸❤️🇰🇷,True,1,2025-03-01T16:57:18+0900,852691710277320798,8,7,1
mert****,yIAQ,내란이 무죄라 주장하는 당은 내란선동 정당해산 대상임,True,1,2025-03-01T17:02:53+0900,852692069930500352,5,4,0
lim1****,,,False,1,2025-03-01T16:57:50+0900,852691744100188406,0,0,1
duke****,2rK3r,명태균 특검으로 국짐 난리나겠으니 여기에 사활을 거는군 그러나 이미 늦었다,True,1,2025-03-01T17:00:31+0900,852691917274611856,4,3,0
aust****,1Lo4M,37명 모두 다음 총선에서 낙선시켜야지. 나라를 두쪽내는 분열주의자들,True,1,2025-03-01T16:59:11+0900,852691831626924088,4,3,0
cys2****,1AQwz,기각된다면 앞으로 대한민국은 야당이 맘에 안들면 계엄령선포해서 다들 촛칼로 죽여도 된다는거네?,True,1,2025-03-01T21:35:41+0900,852709644299141321,2,1,0
hk29****,3TKjq,"명태균이사건만 으로도 탄핵이여
  밥대로 기다려  법원가서 난동부리는게 민주주의 아녀 이것들아 무식한겨  미틴겨?",True,1,2025-03-01T20:33:28+0900,852705636272570502,2,1,0
kbsh****,,,False,1,2025-03-01T20:16:32+0900,852704545048887462,0,0,1
vica****,1GnIQ,정답은 국힘의 정당해산이다.,True,1,2025-03-01T20:13:55+0900,852704377108955364,2,1,0
yhj1****,6LoxP,반드시 돌아오셔서  종북좌파 척결해주십시요,True,1,2025-03-01T18:11:40+0900,852696500793245894,2,1,0
kyjh****,9HmtS,ㅉ ㅉㅉ,True,1,2025-03-01T16:52:35+0900,852691406324498617,2,1,0
sksk****,3kWCN,"기각이 아니라 각하 되어야함. 헌재가 절차적 공정성도 잃었다. 탄핵국회의결시 내란을 가지고 의결하고 그것을 빼고 헌재가 심의 한다는것은 사기에 불가하다. 즉, 국회의원들에게 내란으로 탄핵투표를 하고 그것을 빼고 탄핵심판을 한다는 것은 누가봐도 잘못된것  아니더냐? 우동사리 뇌를 가진 극좌들만 빼고 과연 누가 이를 동의할수 있단 말인가?",True,1,2025-03-03T08:23:46+0900,852844167842234507,1,0,0
vnfm****,5qBby,불법 탄핵 기각 ...대통령 석방...헌재와 선관위개혁,True,1,2025-03-02T12:18:06+0900,852766493878779929,1,0,0
spqk****,,,False,1,2025-03-01T23:49:27+0900,852718262302015605,0,0,0
altp****,RCis,그냥 국회의원 그만두고 유투브 채널이나 만들어라.세금이 아깝다.,True,1,2025-03-01T23:29:53+0900,852717001259352318,1,0,0
love****,2Erli,"37명 누구냐 37명이라고 두루뭉실하게 얘기하지마라
이번기회에 내란수괴 잔당들도 확실히 정리하자
3.1절이다",True,1,2025-03-01T23:21:12+0900,852716442024411190,1,0,0
aeyo****,1KYNC,추경호는 내란주요동조자 아님? 공수처는 저 개-상도식기 언제 조사하는건지.,True,1,2025-03-01T22:24:21+0900,852712780128583788,1,0,0
moca****,,,False,1,2025-03-01T21:47:04+0900,852710378017128470,0,0,0
ghjk****,aaBBA,"댓글 부대 이제. 국민들이 안속는다 
언론 선동도 마찬가지고~~~ㅋㅋ",True,1,2025-03-01T21:14:36+0900,852708286133174454,1,0,0
ghjk****,aaBBA,댓글 부대 아직도 설치네~~ 촛불 끝났어 이제,True,1,2025-03-01T21:13:21+0900,852708205417988195,1,0,0
lion****,2Zc0I,사이비 역적들,True,1,2025-03-01T20:59:17+0900,852707299045671003,1,0,0
ahji****,2B6G9,전한길 은 3.1절 이후 일절 집회에 안 나선다고 했쓰니 꼭! 약속 지켜라~,True,1,2025-03-01T20:31:43+0900,852705523026362590,1,0,1
3121****,1mujF,"삼일절이되니 친일파가 자극받았나보다
말도안되는 소리하는거보니",True,1,2025-03-01T20:01:12+0900,852703557390958656,1,0,0
hong****,3wNWN,그래서 김구를  중국인 만들었냐?  도라이몽이 대통되니 국민의 암들이 너무 설쳐.쥐박이처럼!!,True,1,2025-03-01T19:58:08+0900,852703359503695905,1,0,0
se7e****,18aFH,내란 동조자들 다 모였네,True,1,2025-03-01T19:46:29+0900,852702609713135746,1,0,0
jsbo****,4xtB,현실을 직시하지 못하고 공영방송으로서의 존재가치를 잃어버린 언론방송은 폐지가 답이다. 엄청난 인파의 시위가 개최되고 있으나 사실 보도는 없고 뭔 헛소리인지.,True,1,2025-03-01T18:23:25+0900,852697257814786165,1,0,0
suke****,2HPW7,"중국 더불당 선관위의.부정선거 수사하라.
중국이 미국 캐나다 대만 일본 필리핀 등등 모두 부정선거 개입했다.
한극도 당연히 개입했다. 왜 수사 안하나.",True,1,2025-03-01T17:22:23+0900,852693325319241828,1,0,0
gnas****,SG1l,"추경호ㅋㅋ
저기서 저 피켓 들고있는 거 자체가 공범임을 입증하네
계엄당일 저거 따라 다니던 국힘당놈들
윤수괴 따라가야겠지?",True,1,2025-03-01T17:08:26+0900,852692427067097206,1,0,0
yang****,16UVE,민주당 탈당한 이상민 의원의 일갈.   민주당은 썩었다!  ==. https://youtube.com/shorts/WOyftXPTkIM?si=dkO1Viz55Q_X7C34,True,1,2025-03-01T17:03:04+0900,852692080785358866,1,0,0
ksd4****,46jBd,"기획부동산 알박기놈, 국회의사당 도끼 만행수괴연, 총선 공천부정선거놈, 스무개나묵고 내란방조한놈. ㅎㅎㅎ",True,1,2025-03-01T17:00:14+0900,852691898551238729,1,0,0
ever****,4fcQc,잉? 권선동씨가 아까 야당 탄핵찬성 집회 참석했다고 헌재 압박한다고 비난하던데 ㅋㅋㅋㅋ 머지..,True,1,2025-03-01T16:56:16+0900,852691643420115007,1,0,0
edwi****,8QeJX,싸우자!! 지키자!! 이기자!!,True,1,2025-03-01T16:51:53+0900,852691360589807896,5,5,0
cosm****,6dqGx,제발 극우 국민의당 꼭 해체해야함 ! 헌법수호의지 하나도 없는 이런 당은 국헌을 문란하게 하게하는데 앞장서니 나라꼴이 어찌될린지  꼭 국힘은 사라져야 윤통하고,True,1,2025-03-02T19:10:02+0900,852793032615919630,2,2,1
15mn****,43Tsc,"탄핵기각이 답이다,,   저기 나온 의원님들 늦었지만 응원한다,,",True,1,2025-03-01T17:05:45+0900,852692254379213004,2,2,0
kimw****,3uFtL,"정신병동 국힘당, 제 정신인 넘이 하나도 없다.
나라를 망하게하는 망국당.",True,1,2025-03-01T17:00:14+0900,852691899255881804,2,2,0
ghjk****,aaBBA,촟불은 이제 시대에 안맞는다,True,1,2025-03-01T21:11:56+0900,852708114502254869,1,1,0
ocsu****,4btq5,"국힘은 정신차려라ㆍ
무엇이두려워 몸을사리는가?
아직도눈치만보는 나머지32명은
자격도 없다ㆍ애국국민들은 엄동
설한에 자유를위해 싸우는데 당신
들은 뭘하는 겁니까?
거대야당 국회에서 박살을 내야되
지 않습니까?
이제 거대야당의 종말이 멀지 않았다ㆍ
오늘 수천만명의 애국시민들 함성을
똑똑히 들었을 것이다ㆍ
이것이 민심이다ㆍ",True,1,2025-03-01T21:05:08+0900,852707676029714465,1,1,0
kims****,2lu7t,극우꼴통들 사이비기독교  신발천지사이비  친일매국노들  국짐당  마지막 발악이네  그러나 내란수괴 정신이상자 는 파면리고 무기 아니면 사형이다  ㅎㅎㅎ몇일 안남았다  지겨운 내란좀바들  싹  쓸어버리자,True,1,2025-03-01T20:02:39+0900,852703650789720220,1,1,0
powe****,1Cr8p,"좌파들아 정신좀 챙겨라 이재명이가 대통되면 중국으로
나라뺀기다..우리나라에 간첩이 얼마나 많이 있는줄아나? 당나라.원나라.청나라.시대때 괴롭힘 당하고..
일본보다 더 무서운게 중국인간들이다
그리고 가족 선관위 부정선거 왜 감사.조사 받는걸
거부할까? 탄핵29건 이게 말이되냐? 
좌파 너희들 땅을치고 후회할꺼다",True,1,2025-03-01T19:12:55+0900,852700446978998514,1,1,0
youn****,2gJqt,윤석렬이 복귀한다면 국민의힘은 정말 살아날수 있을까?  태극기부대 전광훈 등 극우세력들읏 무사할까? 우리 선량한 국민들은 그 참담함을 받아드릴수 있을까???,True,1,2025-03-01T19:07:41+0900,852700109790511310,1,1,0
kmk0****,2ABMR,극우세력과 한몸이 된 국힘ㅋㅋㅋ 태극기도 흔들어라,True,1,2025-03-01T17:28:53+0900,852693744128885070,1,1,0
alla****,,,False,1,2025-03-01T16:58:08+0900,852691763947634713,0,0,0
kums****,20Uso,정답은 내란당 해산과 윤의 탄핵이다.독립열사들도 대한민국 사람이 아니라고 부정하는 매국노 니 놈들이야말로 이나라에서 사라져야할 폐기물이다.,True,1,2025-03-01T16:57:11+0900,852691702173925427,1,1,0
zeal****,,,False,1,2025-03-04T12:35:58+0900,852953186946777497,0,0,0
k012****,Gmr3,기각이 되겠냐?,True,1,2025-03-03T19:07:08+0900,852885616306683937,0,0,0
mtmt****,2c4i34,집에서지켜보고잇다  발악들하고잇지만  ᆢ,True,1,2025-03-02T12:37:17+0900,852767729118085182,0,0,0
crow****,g3Im,국짐  백골당 옆에 술끼구 주정뱅이 하면서 윤가하구 경양끼구 주정뱅이하면 딱이네 경양 머하냐 술 따라야지,True,1,2025-03-02T12:05:18+0900,852765668959846472,0,0,0
0072****,1nEzz,이미 끝났어요. 이제와 최선을 다했다라고 하지마시길,True,1,2025-03-02T00:40:22+0900,852721542432292936,0,0,0
khpa****,3HNNy,니들도 함께가라,True,1,2025-03-02T00:22:32+0900,852720393528541303,0,0,0
haen****,,,False,1,2025-03-02T00:13:38+0900,852719820066521270,0,0,0
yha0****,3cq6f,윤석열이 국힘 뽀개버린다고 했는데 ...,True,1,2025-03-02T00:11:05+0900,852719655549141008,0,0,0
jjjj****,5kmYO,이것들은 그 동안 너무해먹었어..... 알려지지않은 비리도 많을태고.... 나경원만봐도 5년째 재판을안해.  딴놈 아들은 작년 10월에 걸린 마약사건도 알려지지않고.... 권씨놈도....  그러면서 이재명만 가지고 지랄이니..,True,1,2025-03-02T00:05:43+0900,852719310760575153,0,0,0
spqk****,,,False,1,2025-03-01T23:24:44+0900,852716669942890687,0,0,0
as16****,zVt8,완전 또라이들이네  어떻게 하나같이 저런 ㅁㅊ생각으로. 똘똘뭉쳤을까?,True,1,2025-03-01T23:03:31+0900,852715303606419610,0,0,0
lava****,2fjKr,저런 역적들이 이나라를 갖고 놀았다니!,True,1,2025-03-01T22:31:11+0900,852713220161404979,0,0,0
hyun****,2yKH0,"저것들은 국민은절때 생각 안한다
지들 밥그릇  잘못 될까봐
밥그릇 지키는것에만 혈안된 역적들
조선시대 같음 능지처참당할 내란당놈들
이들이 아무리 발악하고 지랄해봐야 파면은된다
욕도 아까운 종자들",True,1,2025-03-01T21:55:22+0900,852710912539230316,0,0,0
dong****,6MT3g,아직도 내란 어쩌구 하는 것들은 중공에 나라 팔아 먹을 매국노들,True,1,2025-03-01T20:48:52+0900,852706627839590684,0,0,0
mura****,wZjM,"이제서야 쳐 기어나왔네
원래는 조용하던 나경원도 대세가 기우니까 쳐 겨나오고 기회주의자들 참 많아",True,1,2025-03-01T20:20:52+0900,852704824322425073,0,0,0
