user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lgs2****,1IjHC,내란범 하나 땜에 온나라가 난리도 아니다. ㅠㅠ,True,1,2025-03-22T10:18:42+0900,854614226877022392,286,150,18
figh****,bjqeG,우리국민의 대한민국 보호세력 VS  중공.민노총.더불어남로당 반국가세력...대한민국은 반국가세력을 척결하고 세계에서 빛날 것이다,True,1,2025-03-22T10:13:06+0900,854613866267541536,293,175,22
bigb****,,,False,1,2025-03-22T10:20:25+0900,854614337925415024,0,0,12
p721****,1K5l9,드디어 더불어탄핵당이 30번째 탄핵안을 발휘했군요 대단합니다 이집단들을 어떻게해야할까요?,True,1,2025-03-22T10:27:44+0900,854614809734283457,124,57,10
bhj3****,21ifY,역대급으로 시끄러웠던 정권,True,1,2025-03-22T10:33:50+0900,854615202539241681,78,32,11
rjse****,W9hP,반대가 찬성의 최소 20배 ~ 30배다 그게곧여론이고 백날 찢재명이 총동원하고 차비로 성인만원 청소년 만오천원 줘봐야 찐민심한텐 찢민심이따라갈수없다는것이다 다음주 2심법정구속 기대해본다 재명아 지긋지긋하다,True,1,2025-03-22T10:16:24+0900,854614079271075941,37,18,2
hey5****,2hvZ8,헌재는 그냥 역대최악의 무능의.극치를 달리고 있다..대한민국 헌법 유린을 헌재 스스로가 하고 있구나...앞으로 법안지키고 얄팍하게 살아도 되겠네,True,1,2025-03-22T10:48:26+0900,854616142835089512,12,0,0
qhdt****,3DkJl,"헌재가. 나라. 혼란을. 더욱 심화 시킨다
      비상식적인.  헌재. 판사들.  정의는
         없는듯. 보인다",True,1,2025-03-22T10:56:51+0900,854616684856606944,11,1,0
schw****,ZFqm,탄핵반대 지지 응원 고생많습니다.,True,1,2025-03-22T11:20:16+0900,854618193430315096,17,8,0
gusw****,4KaNS,탄찬은 일반 국민이라고하지마라 알바비 벌려고  중국에서 넘어온 중국인들과 알바생  정치적 민노총 단체이다,True,1,2025-03-22T10:34:04+0900,854615217370300442,14,6,0
asdv****,,,False,1,2025-03-22T11:24:39+0900,854618476411617464,0,0,0
bell****,2YXLk,찢의 동원 명령과  참여금과 벌급까지  매기는 탄찬집회는 한 줌을 넘어 한꼬집 집회!!   전국적으로 들불처럼 일어나는 탄반집회!!! 이것이 민심으로 진실이다!!!  진실에 민심을 실은 이 체재전쟁은 정의가 승리한다!!!,True,1,2025-03-22T10:26:44+0900,854614744923898046,9,3,1
2626****,5IfPf,"지금의 대한민국의 반국가세력들의반란은 국힘당도 책임이있다.대통령탄핵 두번이나당하고도 정신못차리는당을 이제는 해산해야되고 새로운 자유보수당을 새워야된다.
권성동,권영세,한동훈,등등 이런자들은 제2의박지원같은80살이넘어서도 권력욕심만있는인간들로는 미래가없다",True,1,2025-03-22T10:28:04+0900,854614831024570386,7,2,0
lksb****,2vfQM,애국자  여러분  응원합니다  끝까지  싸워서  자유대한민국  을  지켜주세요.,True,1,2025-03-22T11:00:52+0900,854616943896821995,5,0,0
more****,2WOsi,윤석열 대통령 지지율 51.28%,True,1,2025-03-22T11:28:03+0900,854618695522058256,11,7,0
ttsk****,,,False,1,2025-03-22T12:35:02+0900,854623011007889421,0,0,1
soog****,2hNFm,탄핵 반대는덕수궁부터 광화문 교보까지 꽉찹니다.탄핵찬성은 경복궁 정문부터 고작 삼청동 입구입니다,True,1,2025-03-22T11:06:35+0900,854617312358039698,7,4,2
hey5****,2hvZ8,윤석렬은 탄핵하면 안됩니다...바로 사형시켜야 합니다..내란죄는 그냥 무기징역 아니면 사형이니깐요~•,True,1,2025-03-22T13:22:13+0900,854626050116681782,6,4,0
nj27****,1JYZh,100 만명 동원 한다면서 신고는 2만명! ㅋㅋㅋ 좌파스럽다~~,True,1,2025-03-22T11:56:32+0900,854620530077073552,5,3,2
shm8****,2Cb01,40번의 거부권과 헌재판결도 안따르는 윤설열의 행정부는 국가를 위태롭게한다 내란진행중,True,1,2025-03-22T14:00:25+0900,854628510898061453,3,1,0
eotl****,2cnpCu,민주노총과 민주당과 합쳐서 데모하는건가,True,1,2025-03-22T11:05:45+0900,854617258452844752,3,1,0
rior****,WsLr,민주당 더디어 30번째탄핵 미친집단이다,True,1,2025-03-22T18:45:56+0900,854646905907445972,2,0,0
ho_n****,,,False,1,2025-03-22T12:34:43+0900,854622989868597445,0,0,0
o_bu****,JFa8,이정도면 헌재가 국민분열 즐기는거...,True,1,2025-03-22T12:00:26+0900,854620781701759115,2,0,0
dulj****,4Z5c7,헌재가 뭐하는 짓거리지?민주주의 법치국가의 법을 수호할 의지가 있는가?,True,1,2025-03-22T11:49:06+0900,854620051037224981,2,0,0
song****,,,False,1,2025-03-22T11:20:34+0900,854618213294538905,0,0,0
youn****,1HacR,내려와라 찌질하다,True,1,2025-03-22T10:33:38+0900,854615189234909341,2,0,0
redp****,ZZ5E,난 지금 국민의 힘이 꼭 공산당이 선전과선동하는것과 같는행동을 하는것 같다 자칭 민주주의라고하는데 북한 김일성이랑 틀린것이 무엇이다른가 625때 경찰서습격이랑 지금 법원난입파손이랑 무엇이 다른가 자신말안들어준다고 고성방가에 확성기까지 제발 확성기속에 말하는 놈 너희주소도 꼭공개해주라 너도 너희집앞에서 20시간 확성기 시위 할까 집회도 조용히하자 다른사람 피해주지말고 제발,True,1,2025-03-22T13:09:04+0900,854625203068600342,4,3,1
