user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jyko****,cgy6W,중립을 지켜봐 원식아,True,1,2025-03-27T16:38:16+0900,855102537311715463,355,73,18
kunm****,,,False,1,2025-03-27T16:44:02+0900,855102909178707987,0,0,8
dg04****,3jOev,얘는 의장 맞냐? 중립이 없네 이러니 국회가 국개로 전락해서 계엄이나 맞고있지,True,1,2025-03-27T16:40:14+0900,855102663996473464,196,25,7
coxg****,5U7ET,그치 신속히 각하나 기각선고해야지. 언제까지 대한민국을 민주당 놀이터로 냅둘래?,True,1,2025-03-27T16:57:03+0900,855103747519414303,123,28,3
pari****,,,False,1,2025-03-27T16:43:42+0900,855102887569654108,0,0,2
cjsq****,5C5vw,원식아 쓸때없는 소리 하지말고 국개의원 300명 대리고 산불이나 꺼러 출동해라 .,True,1,2025-03-27T17:07:54+0900,855104446240129402,81,7,3
chob****,21YZr,"우원식 당신은 국회역사의 최악의 국회의장
저질의장으로 자손대대로 기록될것이다
국회를 동네 반상회 보다도 못하게운영하여
한국정치  70년을 후퇴시킨 장본인이다",True,1,2025-03-27T17:24:11+0900,855105495604658258,78,13,0
jins****,2u3Pg,니가 탄핵 추진한 장관들 전부 기각이야! 안쪽팔린가! 민주당 강아지 그 자리에서 내려와라!,True,1,2025-03-27T16:43:54+0900,855102900504887770,60,8,0
coch****,gtO1,아야.......중국공산당..........십 진 핑도 만났는지..............가까운 대림동이나 가서...........1950년 중공군 조선족부대 같은 것들이나 찾아봐라.............너들 편이여.........ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,True,1,2025-03-27T16:40:06+0900,855102655742083128,55,15,1
kalg****,H8ep,우원식 내란혐의로 구속해야...,True,1,2025-03-27T16:53:57+0900,855103547350450592,36,10,0
spk1****,6VVWy,"우원식너부터 빨리 탄색해야된다
이지경오도록한장본인이다",True,1,2025-03-27T16:39:21+0900,855102606568063176,35,11,0
frog****,holW,산불로 고통받는 국민은 눈에 안보이냐? 야비한 🐕,True,1,2025-03-27T17:30:54+0900,855105928372945275,26,2,0
mtr2****,,,False,1,2025-03-27T17:07:35+0900,855104426392682739,0,0,1
east****,9iNFA,공정해야 할 국회의장이란 작자가 더불어 찢쎄쎄 리죄명 교주 나팔수 노릇이나 하고 있으니.,True,1,2025-03-27T16:59:40+0900,855103915761336579,22,3,0
lgd6****,,,False,1,2025-03-27T17:00:41+0900,855103981628686621,0,0,0
kdu2****,6hEbL,중국에가서 꼬리나흔드는 인간,True,1,2025-03-27T17:10:02+0900,855104584199176208,17,0,0
0890****,1xbtg,나라가 산불때문에 난리이고 걱정인데 천날만날 정치싸움만 해대는구만...이런것들이 무슨 국민을 대표한다고,True,1,2025-03-27T18:25:12+0900,855109425852055637,16,0,0
rnjs****,be7WH,"이게 고민할일인가?
내가보구 니가보구 우리가보구 전세계가봤구만...ㅉㅉㅉ",True,1,2025-03-27T16:47:10+0900,855103110354305119,14,5,0
vivi****,20Qlx,ㅋㅋㅋ 그짝당이 시키던가요? 온통 기운것들 뿐이로세,True,1,2025-03-27T16:39:25+0900,855102611701891285,13,4,0
