user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hong****,2hhXo,여론전이라하지마 내란지지자들이 무슨 여론이야 미친거지,True,1,2025-03-29T11:33:13+0900,855268426715758668,32,19,3
ehdd****,3eb9L,미친헌재 보고 이렇게 대한민국이 끓고있는데 진정 망하길 기다리는거 아님  왜 판결을 미루는가??이러고도 헌재가 무사하길 바라는건가??,True,1,2025-03-29T12:49:39+0900,855273351365525643,14,1,0
kjh5****,1XFWH,국짐당은 해체하라 내란옹호하는 저런집단이 우리나라에 있다는게 어이가없다,True,1,2025-03-29T11:20:17+0900,855267593643098183,77,65,7
kjs1****,,,False,1,2025-03-29T12:35:47+0900,855272457861333196,0,0,4
ksj5****,,,False,1,2025-03-29T11:54:32+0900,855269799997997189,0,0,1
bb32****,,,False,1,2025-03-29T11:02:47+0900,855266466365178080,0,0,6
ju21****,1q8rN,부정선거 몽호하는 공산주의자들 많네ㅋㅋ 스브스 투표 빤스런도 기억나고ㅋㅋ,True,1,2025-03-29T13:10:21+0900,855274684466331755,7,1,0
fwfw****,7jZD,이게 찬반을 논 할 일이야?진짜 어이가 없다  이건 여야를  떠나서  국민 모두가 한마음  한 뜻으로  끌어내야 하는거 아니야?,True,1,2025-03-29T12:38:56+0900,855272661217968347,13,8,1
poon****,buZbE,2월말3월초에 선고했으면 지금 이 상황들은 정리되고 안정을 찿아가고 있을터인데 헌재가 질질 끄는 바람에 지금  일이 더 커저버리고 헌재는 지금와서  어러지도저러지도 못하는 상황이 된것같다  모두의 시선이 헌재로 가 있으니!!! 이 모든 책임은 내란을 일의킨 윤석열과 선고를 하지 못하고 미루고있는 헌재 책임이다 헌재는 반듯이  이사태가 지난간후 책임을 면치 못 할것이다  이 많은 국민들을 양쪽 진영의 길바닥으르  내모는  책임을 반듯이 져야한다,True,1,2025-03-29T14:13:18+0900,855278740140195936,6,1,0
ymbs****,2cZTOv,"범죄당 더민당이 당원, 민노총, 떼놈들 동원해서 우리나라 입법(범죄당), 언론(민노총), 사법(헌재)을 통해서 자유민주주의 체제를 흔들어 권력을 장기 집권 하려고 시도하고 있다.빠른 시간내 윤통이 복귀해서 내란공모한 범죄당 포함 관련자 형사처벌하고 부정선거 밝혀 국회해산해야 한다",True,1,2025-03-29T13:41:11+0900,855276670972592170,5,0,1
ks77****,3qD4,민주당이 슬슬 밀린다. 치밀한 법적 공작에 당하고 있네...,True,1,2025-03-29T11:00:57+0900,855266348136136962,11,7,1
hanr****,,,False,1,2025-03-29T13:40:11+0900,855276607152062498,0,0,2
quie****,1dW29,범죄 옹호를 계속 좌우문제로 다루는 언론들. 니들도 내란에 종사하고 있는 거나 마찬가지다.,True,1,2025-03-29T13:16:59+0900,855275112402780393,5,1,0
iloo****,aTYwq,탄핵반대합니다 . 사형시켜야합니다. 내란범에게 탄핵은 너무 가볍습니다. 반드시 사형!,True,1,2025-03-29T14:06:39+0900,855278311616544931,5,2,3
hwan****,5hw8N,뉴스를 보면 탄핵 찬반 논리만 나오고 불법계엄 뉴스는 없어졌다. 불법계엄 찬반 여론조사도 없고 불법계엄 반대집회도 없다. 벌써 불법계엄은 잊혀지고 탄핵 찬반만 남았는가? 불법계엄 찬반 여론조사도 보고 싶다.,True,1,2025-03-29T14:41:03+0900,855280528054550539,3,0,0
hanr****,,,False,1,2025-03-29T13:38:27+0900,855276494979596411,0,0,0
four****,,,False,1,2025-03-29T12:10:29+0900,855270827938021495,0,0,0
lsd7****,AuZH,탄핵과 예산 삭감으로 정부를 마비시킨 민주당을 탄핵하자.,True,1,2025-03-29T13:28:44+0900,855275869642424527,5,3,0
taeh****,,,False,1,2025-03-29T14:07:47+0900,855278384597434563,0,0,0
keo5****,3irPC,"옳고 그름에 여론전이라 ~ 바른소리, 바른 판단도 못하는 언론",True,1,2025-03-29T14:11:58+0900,855278654693835044,2,0,1
kimj****,,,False,1,2025-03-29T13:36:14+0900,855276352557809728,0,0,0
hjlc****,yddO,인용이든 기각이든 아무것도 안하는 재판관이 누굴까?! 헌법재판관이나 되서 헌법앞에 양심이 없네~! 나라가 망하는게 당신 뜻이냐?,True,1,2025-03-29T13:01:25+0900,855274108873605223,2,0,0
vkfk****,65dij,무조건 기각이네..,True,1,2025-03-29T11:09:25+0900,855266894167408756,17,16,0
yuch****,,,False,1,2025-03-29T13:16:51+0900,855275103376638168,0,0,0
kjs1****,,,False,1,2025-03-29T13:38:58+0900,855276528114598135,0,0,0
ecle****,2rSap,빨리 석방해라!!!!! 헌재는 공산민노이재명당이 무서워서 못하냐,True,1,2025-03-29T13:36:48+0900,855276388595269848,2,1,0
chju****,2813j,"국회의원이 허위로 탄핵할때 , 탄핵 무효시 동시에 ㄱ발안한 국회의원도 자동으로 탄핵되도록 묶어 집행해라.",True,1,2025-03-29T14:08:08+0900,855278407263453236,1,0,0
skec****,,,False,1,2025-03-29T12:05:35+0900,855270512291479714,0,0,0
kiy6****,,,False,1,2025-03-29T11:02:42+0900,855266461130686663,0,0,0
chih****,,,False,1,2025-03-29T11:22:33+0900,855267740091416723,0,0,2
nmbs****,1RgvX,K 나치 민주당 ㅡ2030이 살아갈나라를. 독재전체주의 사회주의로 만든 민주당과 이재명...,True,1,2025-03-29T11:03:33+0900,855266515371425927,13,13,4
joyk****,2A5YY,말도 안되는 30명 탄핵해서 나라마비 시킨건 왜? 내란이 아니냐? 더불어공산당 지지하는 늬들이 정상이냐?,True,1,2025-03-29T13:10:16+0900,855274679919706182,3,3,0
ux75****,532P5,"윤석열이 파면되지 않고 무죄로 풀려나면  이후의 대통령은 무조건 계엄을 할 것이고,  우리나라는 쿠테타가 만연한 후진국이 될것이다.",True,1,2025-03-29T14:51:00+0900,855281168675766276,1,1,0
ssjh****,,,False,1,2025-03-29T14:30:12+0900,855279828880851001,0,0,0
yids****,2OUrm,헌재 꼼수를방치해선 안될것같다.,True,1,2025-03-29T14:25:09+0900,855279504275275811,1,1,0
ohse****,54mEb,국민은 화마에 죽어가는데 여야는 지들밥그릇 싸움중 에휴~,True,1,2025-03-29T12:16:59+0900,855271246345011498,1,1,0
seo4****,1FjkJ,그럴시간에 산불이나 끄러가라.,True,1,2025-03-29T11:51:53+0900,855269629340156144,1,1,0
kwan****,15fAM,"그냥 아무것도 하지말고,끝까지 가 봅시다. 과연 우리나라가 어떻게 되는지 함 보자구요!",True,1,2025-03-29T10:57:33+0900,855266129042473108,1,1,0
love****,,,False,1,2025-03-29T15:18:34+0900,855282945198391439,0,0,0
jang****,,,False,1,2025-03-29T13:57:45+0900,855277738053861585,0,0,0
yh_k****,,,False,1,2025-03-29T13:39:18+0900,855276549941755981,0,0,0
leed****,d2S6x,찬성 사람 없다.반대 거의 중공군 수준,True,1,2025-03-29T13:32:27+0900,855276108784861307,0,0,0
ix******,,,False,1,2025-03-29T13:24:28+0900,855275594798071908,0,0,0
hlfl****,6fQSE,선과 악 헌법수호세력과  헌법파괴세력의 대결이다.친일 극우 정신병 반란세력들을 모두 처단해야 한다,True,1,2025-03-29T13:19:42+0900,855275287657578693,0,0,0
jaec****,2dYxo,헌법재판관 판사놈들 퇴출시키고 국민투표하자,True,1,2025-03-29T13:17:20+0900,855275135270125643,0,0,0
2jtp****,90vuM,조용히 기다리지 뭔 짓이여들,True,1,2025-03-29T13:12:49+0900,855274844218982609,0,0,0
fort****,37Hmn,헌재넘들이 저러다 저들을 객사시키겠다. 저걸 구경만 하면서 즐기는가?,True,1,2025-03-29T13:10:21+0900,855274685019979866,0,0,0
deat****,1qDOJ,정신 못차리는 스브스,True,1,2025-03-29T13:08:14+0900,855274548604436550,0,0,0
foma****,2xlfL,매주 토욜마다 집회 나갔는데 이게 무슨 소용인가싶다 결국 헌재는 국민들 목소리에 귀막고 입닫고 있는데 내전나길 바라는건지 월요일까지 지켜보고 아니다 싶으면 행동해야 할때,True,1,2025-03-29T13:08:11+0900,855274544762454069,0,0,0
nmck****,ayMoy,"투표 없에고 , , 양쪽 극렬지지자들로 군대만들어 지리산서 한판붙어서 이긴쪽이 장기집권해라 , 쌈질하는거 보는거 지겹고 지겨워서 이재는 뉴스도 보고십지 않다 , , 난 중도니 이긴쪽 지지하는게 맞다고 본다 , , ,",True,1,2025-03-29T13:03:36+0900,855274250104209566,0,0,0
dear****,VreB,찢만진당 부칸으로 다 끄져,True,1,2025-03-29T12:58:42+0900,855273933836910792,0,0,0
bc03****,51NoL,헌재가. 개검따라가능겨,True,1,2025-03-29T12:50:36+0900,855273412719804555,0,0,0
hank****,7LFHv,군대를 동원한 게엄을 찬반여론전아라고? 기사를 좀 신경써서써라. 기사 타이틀은 분명히 탄핵 인용세력과 계엄옹호짐승슬 이라고해야 맞다 동물이라고해도 어울리지 않는다 국민이 주인인 민주공화국에서 주권자에계 총을겨눈 미개인이 하는 짖이다,True,1,2025-03-29T12:43:46+0900,855272971713904840,0,0,0
khki****,,,False,1,2025-03-29T12:43:20+0900,855272943796617296,0,0,0
psmm****,gAo8,개. 아가들아. 산불이나 끄러가지 먼 잣거리냐.,True,1,2025-03-29T12:35:03+0900,855272410331480084,0,0,0
save****,12NLF,민주당의 탄핵남발은 정부일을 막는 수단에 불과하다 탄핵 당할 이유도 명확하디 않다 법에서도 일사부재리의 원칙이 있다 한번 판결이 난 사건에 재수사는 못하게 되어 있다 .탄핵역시 기각됐다면 다시는 탄핵에 탄짜도꺼내지 마라 역풍이 불것이다 민주당은 탄핵정당인가 일을 해야지 툭하면 정부일에 반대되는 것만 고집하단 국민들이 싫어하는 혐오당이 될수 있다는 점 명심 해라.,True,1,2025-03-29T12:11:22+0900,855270884812783716,0,0,1
ryui****,4ncph,쌰앙 니깟것들이 재판해라 재판해 온나라가 재판에 몰두해서 아주 🐕   판 이여 다 니깟 국 🐕 의원이라는 패기물들 때문에 사라져야할 오물들,True,1,2025-03-29T12:05:35+0900,855270512576692398,0,0,0
ghj5****,5sHNM,"국짐 벌레들은  정말  윤수괴가  돌아오길  바라는건가  만에 하나  복귀한다면  대한민국이  어떻게 될지  뻔히  보이는데  뭣때문에  저러는지....  지들은  잘먹고  잘살수  있을줄  아는건가  바보들이  나라를  수렁에  
  빠뜨릴려고  발악을 해대네",True,1,2025-03-29T11:53:50+0900,855269754783400163,0,0,0
ksj5****,,,False,1,2025-03-29T11:53:02+0900,855269703327678475,0,0,0
lgy5****,cSnqk,윤석열정권 찬탈을 위한 탄핵에  살기위해  몸부림치고 발버둥친  비상계엄 ! 국민여러분  동의하십니까 !,True,1,2025-03-29T11:52:47+0900,855269687859085512,0,0,0
