user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
yob2****,1l3m4,국무회의도 헌법기관이에요. 형법91조는 헌법에 의하여 설치된 국가기관을 강압에 의하여 전복 또는 그 권능행사를 불가능하게 하는 것을 국헌문란으로 규정하고 형법87조는 국헌문란을 목적으로 폭압적인 행동을 하면 내란죄로 규정하고 있어요. 쪽수로 국무회의를 줄탄핵하는 털보교주와 찢재명 공산당은 국헌문란 내란죄로 4형이 답이에요,True,1,2025-03-30T06:47:26+0900,855342787430711328,81,42,8
sung****,1aeCs,광신도들이문제,True,1,2025-03-30T07:32:40+0900,855345701247254614,12,7,0
shpa****,3lYcz,신속한 선고보다 중요한 것은 공정한 심리다 ~  4월18일에 구애받을 필요없다 ~  180일내에만 선고하면 된다,True,1,2025-03-30T09:13:01+0900,855352166565543941,7,2,0
soon****,23tWY,머리는 그냥 달고사나 계엄생중계 해놓고 무죄 란다.모지리추종자들은 다르구나 참,True,1,2025-03-30T08:38:41+0900,855349954187624580,42,38,6
w173****,1sSdx,무장한 군인이 국회에 난입하고 국지전이나 소요사태가 없는데 제대로 된 국무회의도 없이 계엄을 했는데 뭐가 문제라고 헌재는 판결을 못하냐 진짜 답답하네,True,1,2025-03-30T09:11:54+0900,855352094087970995,3,0,0
bskh****,LCrw,윤석열탄핵.헌재는 조속히 선고하라.믿을수없는 헌재!!!!국민신뢰 바닥이다!!!,True,1,2025-03-30T08:41:29+0900,855350134861463645,37,35,3
yhnm****,2WkAl,친일당들아 12시 땡 되서 기미가요틀고 사도광산 유네스코에 등록해주고 강제동원3자변제 니뽄 지진났다고 40억지원 돌아온건 뭐야 고등학교 교과서에도 독도 지네땅이라고 우겼잖아 빵진숙은 법인카드로 천만원 넘게 빵쓰고 거부권 25번 쓰고,True,1,2025-03-30T06:55:50+0900,855343327589957700,19,17,4
look****,ij0P,"신창원이 유무죄 탄반집회 하는 꼴이다. 내란우두머리 죄는 사형과 무기징역만 있기에 신창원보다 중범이다. 그런데도 정형식, 조한창, 김복형은 딴 생각을 한다는게 어처구니 없다",True,1,2025-03-30T09:04:35+0900,855351622966968456,4,2,2
hiin****,3aHqo,보수와 사이비 극우집단과 구별해야 한다. 극우는 보수의 탈을 쓴 광기어린 민주주의 파괴세력이다.,True,1,2025-03-30T15:10:53+0900,855375220993687795,2,0,0
rain****,1u8if,이재명 산불 현장가서 욕하는거 보고… 진짜 소름…,True,1,2025-03-30T09:33:13+0900,855353467521204277,2,0,0
boke****,av2VL,헌법재판소 판새들을 직무유기죄로 즉각구속하고 윤씨는 국민이 단죄한다 작두를 대령하랏~~,True,1,2025-03-30T09:44:56+0900,855354222261043420,6,5,0
kobe****,2lIwR,윤석열 풀어준 사법부나 규탄해라,True,1,2025-03-30T08:47:07+0900,855350497601650705,5,4,0
swea****,1tAVn,도대체 헌재는 죽었나 살았나? 윤석열 사형시키라고 했더니 지들이 먼저 죽은거야? 전세계인이 그놈의 잔인무도한 내란 쿠데타를 목도했는데 왜 아직 그 수괴놈 윤석열을 탄핵 사형시키지 않고 있는거냐? 그놈의 무당잡신이 나라를 온통 불바다로 만들고 있으니 당장 처단하라.,True,1,2025-03-30T09:26:12+0900,855353015140352040,4,3,0
dent****,akl6A,윤석열이 탄핵 안되면  어느 나라 앞에서 고개 들 수 있겠습니까    창피한줄 알아야 합니다,True,1,2025-03-30T10:10:23+0900,855355861378269258,3,2,0
hisr****,brhl,"대통령 잘못 뽑아서 대한민국이 두동강 나고 경제는 파탄지경, 전쟁의 공포까지 느껴야하는 상황.",True,1,2025-03-30T09:15:41+0900,855352337642815639,3,2,0
vjtm****,,,False,1,2025-03-30T12:29:50+0900,855364846349189323,0,0,0
kjs1****,,,False,1,2025-03-30T12:22:06+0900,855364347713552415,0,0,0
lkse****,11IVZ,어이  개검 심쌍정 촌장 당신 딸년 수사안해? 조국 십의 일 만큼만해? 우리가 당신 행님 멧돼지하고 교도소로. 반드시 보낸다.,True,1,2025-03-30T09:54:26+0900,855354834511986784,2,1,0
