user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
gp0s****,,,False,1,2025-01-10T14:10:40+0900,848042410242998544,0,0,0
viol****,2KnbL,투명하게  생중계 해라  국민의  알  권리다,True,1,2025-01-10T15:11:53+0900,848046353408852336,9,1,0
sjg3****,cJHVu,생중계  해라  재판관들 법해석 논리  국민들이 평가 할수 있게  공개해라    예전처럼 묵시적  범죄라며  개판치지 마라,True,1,2025-01-10T14:31:12+0900,848043733025816659,4,0,0
gp0s****,,,False,1,2025-01-10T14:12:36+0900,848042534377619731,0,0,0
cjy1****,3oQXz,생중계해라 국민을 개무시하네,True,1,2025-01-10T15:49:34+0900,848048781407551740,2,0,0
sale****,2CsQQ,생중계를 해야한다. 방청권 인터넷 신청이 제대로 되겠냐?,True,1,2025-01-10T14:29:11+0900,848043602717179981,1,0,0
kimy****,,,False,1,2025-01-10T14:12:08+0900,848042504530952263,0,0,0
moki****,uXc9,신천지 댓글금지,True,1,2025-01-24T07:39:34+0900,849316012011552870,0,0,0
cmid****,llsj,문형배 처단,True,1,2025-01-11T16:39:31+0900,848144770705391745,0,0,0
j743****,2VIgR,편파 판정하려고 작정하고 방송도 짜깁기로 설마 그러지는 않으시겠지 고고한 재판관님들께서,True,1,2025-01-11T09:27:34+0900,848116942572093572,0,0,0
exub****,2ymVS,생!방!송!,True,1,2025-01-10T23:20:45+0900,848077848353702105,0,0,0
succ****,brWpq,.,True,1,2025-01-10T19:55:02+0900,848064595779125261,0,0,0
dhxo****,aHmjh,기존에 법도 똑바로 안지킨 영장청구와 수사를 진행하고있으면서 모든 법조항 다 무시하고 이번건에는■ 예외로한다■ 이렇게 말장난식 입맛따라 법으로 진행하는거보면 이게 내란이지 뇌가 없는거냐 마치  민주당지지자들은 제발 핑핑이랑 정은이 찬양하며 북한 중국중 택1로 가서 살아라 피해주지말고 산소가 아깝다,True,1,2025-01-10T15:38:31+0900,848048069969707223,0,0,0
na10****,,,False,1,2025-01-10T14:42:57+0900,848044489846030750,0,0,0
shle****,5dPFM,개쫄리나보네 ㅋㅋㅋㅋ 겁나냐?,True,1,2025-01-10T14:16:38+0900,848042794139255062,0,0,0
vkfk****,2pe3W,"이런것만봐도 헌재는 좌편향적이야, 믿음이 안간다니까",True,1,2025-01-12T09:17:00+0900,848209032928821250,0,1,0
ap26****,1Bg5h,뻔히  좌파들만  입장시켜서  조작할라고 그러는거지.   한두번 보냐?,True,1,2025-01-11T13:00:24+0900,848130653835755626,0,1,0
fige****,22gsI,"민주당의 좌파공권력에 의해 국가원수가 불법체포를 
 당해야하다니 다수당의 횡포가 끝도한도 없이 만행을 저지르고있구나",True,1,2025-01-11T11:14:27+0900,848123828193198198,0,1,0
ohj5****,,,False,1,2025-01-10T14:10:32+0900,848042401149747426,0,0,1
wand****,6TNAo,잘했다. 시끄럽고 냄새나는 2찍들 들어가면 고역이실거다.,True,1,2025-01-10T14:09:13+0900,848042316257034316,0,6,1
