user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jinp****,e9Msb,광주는 200만명 가자,True,1,2025-02-08T19:16:36+0900,850752486540050596,2404,129,35
wndi****,534qQ,강기정이가 뭔대 집회의 자유를 가타부타 말하고있지 광주가 강기정것인가,True,1,2025-02-08T19:19:11+0900,850752653188137015,1852,15,27
annn****,aqylH,"5개 재판받는 전과4범찢이 192석으로 29회탄핵시키며 폴란드,체코방산과 사우디 원전건설막고, 카톡검열, 동해 대왕고래시추선 예산들없앴고, 전한길의 집회의 표현의자유를 고발하늗 찢민주당이 국민들을 블랙홀로 빠트린거다 개돼지들이 찢민주당에 몰표줘 나라망쳤으니, 대깨.개딸들에게 윤통이 계몽령한거로, 국민들은 찢같은 반국가종북세력들 척결해야 세계적인 나라된다",True,1,2025-02-08T19:18:14+0900,850752592421060671,1429,45,17
ykka****,1Ihuk,광장 인파들.사진도 올려 주시길... 얼마나 민심이 부글부글 끓고 있는지 안 깨어난 사람들에게도 보여 줘야 함.,True,1,2025-02-08T19:21:43+0900,850752817067982997,850,48,14
jojo****,1UgTr,개명방탄당 미친인간들 탄핵남발 특검남발 국정마비 폭거가 내란이다 윤대통령의 비상계엄은 옳았다 이게나라냐,True,1,2025-02-08T19:19:29+0900,850752673002029164,782,44,7
fhf1****,,,False,1,2025-02-08T19:31:40+0900,850753457135550609,0,0,3
capt****,51YdD,강기정은  집회의 자유를 거부하면  법원에서 재판을 받을수 밖에 없다~~너희 민주당  땅이냐? 대한민국의 국민은 누구든지 사용할수 있다~~강기정이 역사의 죄인이 되고싶어 환장을 했구나~~,True,1,2025-02-08T19:21:04+0900,850752774252527637,183,2,0
uhee****,6xX21,"국힘도 이런게 되는구나,,,,진작좀 하지 .  전한길씨 대단합니다.  응원합니다 ~^^",True,1,2025-02-08T19:26:47+0900,850753143217062058,186,8,3
foun****,635AK,정치인이 아닌 학생들을 가르치는 한국사 강사가 참다못해 일어난거다 ㆍ과유불급이라고 야당이 너무 폭주한건 맞았다...부메랑 효과,True,1,2025-02-08T19:22:33+0900,850752870318866559,168,9,3
sonh****,1WN7V,"타지역에서는 찬반 시위가 자연 스럽게 허가되는데 광주는 시장 이라는 작자 부터가 찬성 집회 불허 하는게 민 주주의 국가에서 있을수 있는 일인가?
그러니 많은 사람들이 그쪽 지역 하면 손사레  부터치는거야.",True,1,2025-02-08T19:43:12+0900,850754200785649714,137,1,0
capt****,51YdD,광주의 2030젊은 청년들이  누가 내란의 세력인지  진실을 알았습니다~ 대거 참석이 예상됩니다~~이건 진실을 왜곡하는 세력이 막을수 있는 상황이 아닙니다~~자유 대한민국의 새로운 역사를 이루어  가는 역사적인 현장이 될것입니다~가자 광주로~~~,True,1,2025-02-08T19:28:29+0900,850753252973609070,128,3,2
qudq****,8pEqw,"강기정. 저놈은. 완전.  사회주의자. 공산주의자 전라도와. 평양자매결연맷고
김정은. 수령님.  민주당과함께. 입당받아주시랑께요. 그게니들이 딱제격이다",True,1,2025-02-08T19:30:48+0900,850753401250644192,109,2,0
dhl1****,bALra,전한길쌤 응원합니다. 집회 가는거 생각해본적 없는데..이번에는 동참해보고 싶네요. 3월1일 서울 집회때 함께 하겠습니다!!!,True,1,2025-02-08T19:20:31+0900,850752738886156418,112,9,2
good****,VfJP,광주도 2030이  넘처난다.  윤석열탄핵이 문제가 아니고 이나라 불공정과 좌익이적단에게 나라를 지키는것이 핵심이다.,True,1,2025-02-08T19:31:13+0900,850753429134377004,101,6,0
sun8****,Cyu8,"5.18 광장이 광주시 전유물인가..??..그렇다면 5.18유공자가 받는 연금이나 피해보상도 광주시 재정으로 해야 된다...혈세 국고를 쓰는건 어불성설...민주당은되고 민노총도되는데... 왜  왜  왜..??
탄핵 반대집회는 민주화가아니고 그냥 일반 데모인가..??...전라도 욕 먹이지마시길....",True,1,2025-02-08T20:48:36+0900,850758413997572254,85,0,2
sk08****,Y8oZ,강기정 광주시장은 5·18 광장에 신청한 탄핵 반대 집회를 승인하지 않겠다고 밝혔습니다??  집회 시위의 자유를 외치던 인간들은 다 어디 갔는가? 표현의 자유를 외치던 인간들은?,True,1,2025-02-08T20:03:01+0900,850755477498232838,84,1,0
cheo****,,,False,1,2025-02-08T19:45:21+0900,850754338711142490,0,0,0
brun****,1pIw7,"강기정이 꼴갑 떠는거봐라..
저러니 절라공화국이라고 비판받는거야..",True,1,2025-02-08T19:25:31+0900,850753061730123909,68,3,0
jjhw****,1CSfx,서울에서 오세훈이가 좌파들 집회 불허했다 생각해보세요.부산에서 대구에서 좌파들 집회 불허했다 생각해보세요.난리 날겁니다.근데 강기정이 당신이 뭔데 518광장에서 탄핵반대 집회를 불허하냐?탄핵찬성 집회는 괜찮고 반대집회는 안되고.이걸보고도 광주시민들은 가만히 보고있다니..이런게 독재가 아니면 뭐가 독재냐..이게 자유민주주의 국가 맞어?국민여러분 보세요.좌파가 대한민국을 점령하면 광주처럼 될것 같네요,True,1,2025-02-08T23:38:28+0900,850769357708460152,62,1,0
mira****,2bIbom,이제는 호남도 50% 이상 돌아서기를 바래봅니다.,True,1,2025-02-08T19:28:59+0900,850753284833542391,64,4,0
mjja****,2X5pg,"기자님 기사 정정 해주세요. 평등해야죠. 

“부산에 이어 대구에선 1타 강사 전한길 씨가 참여한 🔺반대 집회가 진행됐고 서울에선 민주당 이재명 대표까지 나서 참여를 독려한 🔺탄핵 찬성 집회가 열렸습니다. ”

🔺🔺전한길 씨가 참여한 무슨 반대 집회인지 안쓰셨네요. 이재명쪽 지지 집회는 무슨 찬성 집회인지 쓰셨으면서 🔺🔺공정 하게 평등하게&gt;&gt;&gt; “전한길 씨기 참여한 탄핵 반대 집회” 로 정정해주세요.",True,1,2025-02-08T19:32:42+0900,850753524412186777,55,0,2
lhi0****,3uzLs,강기정 탄핵하자 광주가 네 땅이냐?,True,1,2025-02-08T19:59:47+0900,850755268789666008,55,2,1
bm77****,2T1kx,애국 선봉장 전한길 선생님!!  너무나 존경하고 응원합니다.  함께  선관위 민주당  민노총 등을 함께 섬멸합시다!!!,True,1,2025-02-08T19:40:09+0900,850754004391559221,54,5,0
hoon****,dd65y,탄핵반대 동대구역을 다녀왔습니다. 수많은 군중으로 없던 애국심이 생기네요 특히 젊은 청년들이 많이 참가하여 집회가 활력 있어 아직은 대한민국이 희망이 있다. 생각합니다.,True,1,2025-02-08T22:13:35+0900,850763889393008803,46,0,0
rohd****,28Fn2,광주 시장님! 이번 기회에 서울에서 아이들과 광주집회에 갈려고합니다...우리 자유대한민국 최고의 성지 아닙니까? 저처럼 전국에서 수많은 인원이 광주로 가서 관광도 하고 민주화 공원에 가서 추모도 하고 하면 경제적으로도 좋고 전국민에게 알리는 좋은 기회 아닌가요?,True,1,2025-02-08T21:24:11+0900,850760706402811960,44,1,1
vasi****,49xIS,난 별로 인정하진않지만 자칭  민주화의성지 라는 광주시민들 답해보세요. 작금의 이재명과 민주당의행위가 정말 민주적인건지? 강기정시장은 빨겡이 정율성기념공원은 끝까지 추진하면서 한길쌤을 막는건  민주적행동인지 밝혀보세요,True,1,2025-02-08T23:49:41+0900,850770080588365968,38,2,0
cs52****,3TLC0,"광주한번 믿어보자
변하는걸",True,1,2025-02-08T19:21:38+0900,850752811061739678,40,5,1
jgta****,2n0bX,전남.북 인들이여 이젠 깨어나야 합니다   자유민주주의를 지켜야 합니다,True,1,2025-02-08T19:45:36+0900,850754355052150941,35,2,2
gils****,9wkvD,"전라도는 대한민국 아니냐, 왜 반대 집회는 불허하냐 말로만 민주주의 외치고  행동은 공산주의 다",True,1,2025-02-08T20:39:57+0900,850757857044332816,31,0,0
joao****,4moFC,"대구 집회사진 올려주세요! 20만을 왜 5만으로 보도하나요?
대한민국 국민이면 정신차리세요 조선족댓글부대에 선동되지말고 홍콩이 전쟁없이 공산화 된건 아십니까? 우리나라 세금이 중국인 화교위해 얼마나 쓰이는지 아십니까? 미군에 내는 금액만큼 의료비가 나갑니다 중국인 유학생은 6등급도 의대가고 기득권층에 특혜랄 주고 세금거의 없습니다 민주당이 간첩법개정 반대하는 간 아십니까? 외국인 간첩은 차벌하지 말라는 겁니다 민주당이 중국간첩을 처벌하지 못하게 막는데 제발 정신 차리세요
중국인 화교 전형으로 로스쿨도 많아갑니다 정신차리세요",True,1,2025-02-09T00:16:42+0900,850771820654100648,27,1,0
algu****,8zCbM,이제야 진실을 알아서 분개하고 분통터트리는 사람들이 많구나~찢재명이가  손바닥으로 하늘을 가려본들 어찌 눈부신 진실의하늘을 가릴수 있으랴.,True,1,2025-02-08T19:41:54+0900,850754117067342011,27,1,0
cjj6****,eaGhL,대박입니다 서울이 영하17도 얼마나추웠는데  대규모인파가모였다니 대구는 역안에까지 엄청난인파가 모였읍니다 민심이 윤대통령탄핵반대쪽으로 완전 쏠렸읍니다 헌법재판관분들 이나라의 안정을 위해서 윤통을 속히 기각판결을 내려주시길 부탁드립니다,True,1,2025-02-08T19:54:22+0900,850754920159117419,30,5,0
seao****,,,False,1,2025-02-08T20:22:57+0900,850756760972034289,0,0,2
gagj****,1L4tH,"대한민국은 자유민주주의 공화국이다!!
대한민국 헌법 제1조2항, 대한민국 모든 권력과 주권은 국회와 사법부가 아닌 국민으로부터 나온다!!! 국민의 권리인 선거권을 조작하는 놈들은 반드시 엄벌에 쳐하며 다시는 대한민국에 가짜 정치인과 가짜 판사들이 없어야 한다!!",True,1,2025-02-08T21:03:09+0900,850759351424516140,23,0,0
jkgd****,,,False,1,2025-02-08T19:27:07+0900,850753163953700895,0,0,0
wkdx****,39fZN,광주시장이 광주518광장 못쓰게했다네요.. 광주에서 우리 전라도민들도 함 보여줍시다!! 기성세대가 만든 지역감정 개나줘버려라 광주시장은 518광장을 열어라!!!,True,1,2025-02-08T22:51:36+0900,850766337742471355,21,1,0
lk39****,24kKO,"광주는 뭐가 두려워서 자발적인 시민들의 집회를 막으려 애쓰는가? 그게 5.18 정신인가? 자기들이 시위하면 민주화운동, 남들이 하면 불법폭동. 그게 5.18 정신인가?",True,1,2025-02-08T23:59:10+0900,850770690809266221,18,0,0
harm****,6hhpu,"나라를 이렇게 혼란에 빠뜨리는 것은, 대통령의 고유권한 행사인 계엄이 아니라, 취임도 하기도 전 부터 탄핵을 계획하고 실행했던 공산민주당이 진짜 내란범 이다! 계엄은 합법이고, 그로인한 절차상 진행상 다소 위법한 일은, 헌법상 중대한 일이 아니기에 탄핵요건이 되지 못한다. 진짜 탄핵해야 할 것은 국가와 국민을 둘로 나뉘고 공산정권을 세우려는 공산민주당이다! 정신 바짝 차리지 않으면 6.25꼴 난다!",True,1,2025-02-08T20:35:07+0900,850757545256550439,18,2,0
dh78****,,,False,1,2025-02-08T23:36:58+0900,850769260887146730,0,0,1
mirl****,2r6da,강기정같은 좌파는 북조선이 조국인가? 집회의자유를 지 맘대로 불허하냐?,True,1,2025-02-08T21:04:05+0900,850759411939934229,16,1,0
bana****,17CNh,이게 민심이다. 좌파 시민단체와 민주당 끄나풀에서 고작 몇명나와서 깃발들고 휘두르는게 민심으로 보이냐??,True,1,2025-02-08T19:32:00+0900,850753479432470530,15,1,0
agap****,6ZmJI,"&lt;삼일절&gt;이 기대되고 기다려진다. ""이 날은 가장 신성한 날이요, 대한민국 자유와 평등과 정의의 날이니. 이 날은 한두 개인이 작정한 것이 아니라 자유민주주의 수호하는 국민의 혈로 작정한 신성한 날이오"". 드디어 3월1일은 역사적인 삼일절의 의미와 함께 대한민국 살리는 날. 깨어난 국민이 나라 지키기 위해 하나로 뭉치는 날.",True,1,2025-02-08T20:03:08+0900,850755484796321839,14,0,0
mkh0****,1FpmE,광주가 제일기대됨. 전라도에 깨어있는 국민들 모두 나와주시길,True,1,2025-02-08T21:53:45+0900,850762611338248413,13,0,0
ejrr****,Aavd,탄핵반대 전국에 4500만명 가야지,True,1,2025-02-08T19:20:26+0900,850752733634887786,16,4,2
hanj****,BiYF,싸벌 광주시장은 겁먹었나 왜 탄핵 반대 집회 신고를 안받겠다는거야.이죄명이 반대 하라고 시켰냐.집회의 자유를 보장해라.,True,1,2025-02-08T20:57:28+0900,850758985211445377,15,3,1
gga0****,xII0,"이건 단순 지역이나 좌우 문제가 아니라, 중국에 나라를 넘기려 한 반국가세력과 대한민국 국민들의 싸움입니다. 광주나 전라도 분들도 알고 계시고 동참하실겁니다.",True,1,2025-02-09T09:47:00+0900,850808561666621443,12,0,0
shin****,,,False,1,2025-02-09T08:39:56+0900,850804241634164899,0,0,1
eunh****,6lZ7l,"국민 대표로 이렇게 열심히 해주셔서 너무 감사해요. 내란 찢당 파멸시켜야 대한민국이 다시 일어납니다. 탄핵 무효 기각. 헌재, 선관위 부정선거 끝까지 조사해야 합니다",True,1,2025-02-09T00:17:58+0900,850771902594023623,12,0,0
luvi****,2JCOF,"빛고을 광주가 자유민주주의 대한민국을 밝히는 역할을 할 때가 도래했다. 거짓 선동 정치인들, 언론, 사법부, 선관위에게 전라도의 힘을 보여주세요. 그들이 국민 위에 있는 것이 아니라 국민이 그들 위에 있음을 보여주세요. 전라도 민심이 정말 중요합니다.",True,1,2025-02-09T00:10:31+0900,850771421960339601,11,0,0
hoon****,16N1h,"탄핵찬성 집회방송 mbc는 역시나 편파방송, 극소수인원을 클로즈업해서 마치 엄청 많이 모인것처럼,,, 좌파들은 왜이리 머리가나쁜지,,,",True,1,2025-02-09T09:28:52+0900,850807393871724722,10,0,0
juda****,,,False,1,2025-02-08T21:57:23+0900,850762845682401386,0,0,1
oppa****,1zN2O,저러니까 광주에는 민주주의가 없다는거야 저걸 승인 안하는게 말이 되냐? 다른 의견을 전혀 수용하지 않는게 뭔 개코나발 민주주의며 민주당이며 민주화야..,True,1,2025-02-08T20:47:17+0900,850758328970641500,10,0,0
wdk0****,,,False,1,2025-02-08T20:03:26+0900,850755504039788654,0,0,0
lhkt****,6eUfz,헌재는 대통령 탄핵 각하하고 법원은 공소기각석방해라! 진짜 내란은 이재명과 더불어공산당이다,True,1,2025-02-08T19:48:13+0900,850754524082602043,11,2,0
soon****,,,False,1,2025-02-09T05:49:08+0900,850793237307195402,0,0,1
