user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
whh8****,5I50y,간첩좌파들이 없는 세상에서 살고 십네,True,1,2025-04-04T13:44:02+0900,855833482780213273,47,18,8
cjw3****,bxWOj,이제 니차려다 내란동조원,True,1,2025-04-04T13:37:30+0900,855833062175408360,45,16,0
kang****,2gAFj,미르하목이 원달러환율떨어져서 본인투자 망할까봐 F4회의 소집헀나????,True,1,2025-04-04T13:47:36+0900,855833712426746186,25,3,0
afro****,15ChS,최상목은 꼭 처벌받고 감옥으로 가야 대한민국이 살아납니다. 국민들 재산난도질하고 재벌의 이익만 추구하는 최상목은 꼭 처벌받아야 합니다.,True,1,2025-04-04T13:59:19+0900,855834467334357149,30,10,2
dagi****,28mGb,대한민국의 경제를 책임지는 경제수장이 대한민국 망한다에 배팅을해? 정신나간거지.,True,1,2025-04-04T15:24:01+0900,855839924107083784,8,1,0
weus****,1DReg,한국 경제 수장이라는 작자가 원화 가치 똥값 되는 데 배팅해서 돈 버는 꼬라지 자체가 구역질이 난다.,True,1,2025-04-04T18:31:14+0900,855851985532878935,5,1,0
gims****,193Up,비열한인간.. 국가가 위난상황인데  본인은 미 채권에 베팅하여 재테크하셨어??,True,1,2025-04-04T23:02:42+0900,855869474203500774,3,0,0
iris****,,,False,1,2025-04-04T14:51:12+0900,855837809573888093,0,0,0
dhgm****,7Ocqs,경제를  파탄나게 하는 인사가 경제회의를  합니까? 자격이 없어요..내란동조자 는  빨리 탄핵해야합니다...경제도 바로서기위해  시급함,True,1,2025-04-04T15:27:50+0900,855840169457090913,4,2,1
gosh****,2wd5u,"ㅋㅋㅋㅋ 조만간 탄핵이다.
미국채권을 사는 경제부총리 ㅋㅋㅋ",True,1,2025-04-04T23:09:46+0900,855869930074013917,2,0,0
migh****,29dlx,진짜 미국채권이 말이되냐? 경제부총리가 !!!!!!최악중 최악,True,1,2025-04-04T20:22:59+0900,855859184434938223,2,0,0
dhkk****,YOQE,이놈도 빨리 탄핵하라,True,1,2025-04-04T13:47:57+0900,855833734673334727,2,1,0
ntee****,2w5yz,대통령놀이 재밌었어?,True,1,2025-04-04T13:38:56+0900,855833153762230744,2,1,0
lees****,bNkN1,경제수장이란놈이 다른나라 국체를 산게 말이돼냐,True,1,2025-04-06T12:40:01+0900,856014901276049415,1,0,0
kyso****,3Brx6,가장나쁜놈이다..꼭 국가 기숙사로 보내라,True,1,2025-04-06T09:04:01+0900,856000984927698946,1,0,0
nasa****,cg7w4,미국채권을 어덯게 살수있냐?,True,1,2025-04-05T10:31:34+0900,855913853932798092,1,0,0
1982****,6gIOi,뭐하는 사람이니...꺼지라,True,1,2025-04-04T20:25:54+0900,855859373128286524,1,0,0
hero****,1wlYQ,갑자기 환율이 떨어져서???,True,1,2025-04-04T15:21:19+0900,855839750144131243,1,0,1
hwan****,3dUkt,나라 망하게만드는 일등공신,True,1,2025-04-04T15:06:29+0900,855838794883006689,1,0,0
zhzh****,1ORwG,모기 때려잡자,True,1,2025-04-04T14:46:58+0900,855837537514553825,1,0,0
khan****,3kI7n,내가 본 최악의 간신배!!!,True,1,2025-04-04T14:26:14+0900,855836201410625656,1,0,0
sylp****,2yY0q,"민주당은 헌법과 법률 위반한 고위공무원 계속 탄핵하라! 국민이 사법카르텔 핵심 헌법재판소 똑똑히 봐야 한다! 버스기사는 800원만 빼돌려도 파면 정당한데, 공무원은 무슨 짓을 해도 기각이네!! 이게 나라냐? 헌법재판소 탄핵인용 안할거면 뭐하러 있나? 문닫아라! 검사가 기소권으로 출세하려고 범죄자 비호하면 당연히 탄핵해야 하지 않나? 감사원장이 천억대 관저이전공사 감사도 안하면 당연히 탄핵해야 하지 않나? 탄핵해야 할 걸 안하니 계엄에 검찰폭도가 기고만장이지! 두고보자! 50프로만 깨어있으면 개헌으로 싹 갈아엎을 수 있다!!!!!!",True,1,2025-04-04T13:55:02+0900,855834190980055067,1,0,0
mang****,3ziTI,범죄자 구속,True,1,2025-04-04T13:49:17+0900,855833821109551274,1,0,0
pure****,,,False,1,2025-04-04T13:36:59+0900,855833028218323437,0,0,0
bkh8****,,,False,1,2025-04-04T13:43:24+0900,855833441558593744,0,0,0
fact****,c4fnQ,나라를 이렇게 불확실하게 만들어 놓고 F4 회의를 점검해보아야 무슨 소용이 있ㅇㅡㄹ까? 이런 공직자는 국민들에게는 필요없는 존재다.,True,1,2025-04-04T15:24:47+0900,855839973297881454,1,1,0
