user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lees****,4mh,"이재명과 정청래가 사형감이네요~~~나이를 먹어도 뭘배우면서 나이를 먹은건지
뚫어진 입이라고 그렇게 악한 말을 하면서 이재명 방탄에 미쳐서 지껄이는 그 말을
당신 자식들과 손자들 앞에서 보여주세요",True,1,2025-01-07T22:18:30+0900,847795524684742858,17,1,0
rock****,1lUVb,저런 방화범 범죄자놈이 법사위원장 하는거 자체가 어이털리는거지,True,1,2025-01-08T07:09:46+0900,847829751228792956,17,3,0
kimk****,2cyCGI,"절대 질 수 없고, 져서도 안 되는 싸움입니다. 6.25전쟁 당시, 공산당과 좌익 세력에 의해 민간인들이 처참하게 학살 당했던 것처럼, 이 싸움에서 진다면 저들은 진짜 저들에 반하는 모든 자들을 모조리 사형선고 하고도 남을 것이기 때문입니다.",True,1,2025-01-08T00:05:44+0900,847802432518881536,15,1,0
kims****,gKz6,정청래넘을 사형시키자,True,1,2025-01-07T23:23:24+0900,847799705382420625,14,1,1
ensu****,63fj0,"이재명과 정청래 같은 똘만이들은 한마디로 인간의 탈을 쓴 악마임. 이들은 나중에 감옥가더라도 국내 정치범들이 들어가는 편안한 범털방에 수감시키면 안됨. 특히 쌍방울에 800만달러 대북송금하게 한 범죄는 유엔 대북제재 위반이므로, 이재명을 미국 연방법원에 신병인도해서 권도형처럼 징역 100년으로 미국 교도소에서 여생을 마감하게 해야한다.",True,1,2025-01-07T22:06:18+0900,847794738890276992,13,0,0
tiff****,3stZV,폭탄테러범이 이재명 대통령시키겠다고 미쳐버렸네,True,1,2025-01-07T22:51:35+0900,847797655995154650,12,0,0
hjw6****,,,False,1,2025-01-07T21:23:18+0900,847791968284049537,0,0,0
enti****,2w41C,북한에 있어야할것들이 국회의원되서  대통령 사형선고하니 웃기네,True,1,2025-01-07T21:39:52+0900,847793035029774709,12,1,0
alex****,1CjqO,계속 국민들은 부정선거가 어딨어 간첩이 어딨어라고 말해라 눈떠보면 공산화세상일꺼다,True,1,2025-01-08T06:56:58+0900,847828925856874636,11,0,0
ansu****,UhIM,공산당이냐? 대힌민국이 이따위 민주당에 휘둘리는게 개탄스럽다... 아직도 민주당 지지하는 인간들은 중국속국되고나면 정신차리려나?,True,1,2025-01-07T21:36:34+0900,847792823284531430,11,1,0
0rla****,6VpF1,미국대사관 점거해서 폭탄테러 자행한 정청래 같은 냐란세력들 때뮨에 국정이 마비되어 윤통이 계엄섬포한거다..이것들 때문에 국정운영이 마비되었잖아,True,1,2025-01-07T22:38:51+0900,847796835706732875,10,0,0
sall****,5E75j,부정선거로 당선된 가짜의원이 대통령을 죽이겠단다 나라가 저 거짓말쟁이들의 선동에 놀아나고있다    지하의 순국선열들이여 제발 나라를 구하소서 저 부정부패  사리사욕에 쩌든 정치가 언론인  판검사  모두를  잡아가소서,True,1,2025-01-07T21:45:47+0900,847793416224899430,10,0,0
yig6****,2mJxi,부정선거로 국개직 도둑질한게 들통날판이 되니 헛것이 보이나,True,1,2025-01-08T00:25:07+0900,847803681280622623,11,2,0
