user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
anas****,54wMb,"아무리 잔꾀를 부리고 발악을 해도, 결국 상식적인 대한민국 법원은 대통령직 파면과 무기징역 이상의 죄로 처단할 것이다",True,1,2025-01-28T03:26:23+0900,849670785051131928,136,49,10
hoho****,4NzkK,"신문조서가 왜 필요하지? 공수처에서. 수사불응 하고 묵비권을 행사 했는데? 날인거부까지
이미  영장도 거부  수사도 거부. 본인의 피의자로서의  권리행사을 했는데?
공수처 법이. 수사해서. 검찰로 인계 하면 검찰은 즉시 기소을 한다.  이게 공수처법이라고. 법원에서 영장기각을
한것인데  기자들은 왜 헛소리들을 하는거지?  썩어빠져가지고",True,1,2025-01-28T04:22:17+0900,849674387152961550,47,11,4
tjdf****,bperg,평화가 목적이 아닌 재물과 그걸 지키기 위한 권력을 지키기위해 선포한 계엄은  그냥 폭력이다 그러니 쉽게 폭력을 선택한 극우와 보수는 회개해야지 영혼이 지옥을 향해 계속타락하지않고 멈추게된다 다들 사이비종교에서 벗어나야한다 방송에 나온 침탈행위를 윤석렬은 하지않았다고 주장 하는것이나 마찬가지고 아직도 국민들을 죽이려한데 대해 조금의 반성도없고  각종 거짓말로 포장하고 있다,True,1,2025-01-28T04:47:53+0900,849676035698982963,46,15,0
kiji****,1e4S2,끝났어이제. 다 사실대로 불고 착하게살어 교도소에서..,True,1,2025-01-28T04:37:28+0900,849675365113659416,39,8,1
neoi****,,,False,1,2025-01-28T03:49:15+0900,849672258275246096,0,0,0
paxl****,,,False,1,2025-01-28T05:14:23+0900,849677743720235030,0,0,0
jasp****,2EMhN,"일 극우대학 히토쓰바시 출신 원조 친일파 할애비와 역시 히토쓰바시 출신 문부성 장학생 친일파 매국노 애비 밑에서 뒷구멍으로 역적질만 배운 모지리 검새가  ~~~~~~~~~
 자신과 처가를 다스리지못하고 국정은 팽개치고  온갖 주술 박수무당 을 끌여들여서 미신속에 찌들어서 호의호식하고 해외유람하면서는 국가망신만 당하며 2년반을 보내다가  ~~~~~~~~~~ 이런 모지리 인간백정이 급기야 똥볼차고 내란죄를 범했는데 사형선고 백프로다 !!!",True,1,2025-01-28T04:47:39+0900,849676020750483507,5,1,0
king****,17usH,고 입보다.  폰 몇개만 있어도 끝난다  볼꺼도없다  빨리 빨리 가자.  나라꼬라지가 이게 뭐냐?  저 인간은 솔직하게 업적이 있는것도 아니야  대한민국에서 저런인간은 없어도 아무 관계없어,True,1,2025-01-28T04:49:13+0900,849676121581551632,4,0,0
shim****,oGtN,계속 털면 좋겠어. 자폭하는 아갈머리.ㅋㅋㅋㅋㅋ변호인단이 함께 나락으로 밀고있잖아ㅋㅋㅋㅋ,True,1,2025-01-28T05:48:26+0900,849679937475444762,3,0,0
spy9****,2UrZj,"같잖은게 권력을 잡고 풍악을 울리다가, 지금은 짧은 세치혀로 자신의 죄를 숨기려고 날름거린다.",True,1,2025-01-28T04:39:58+0900,849675525973606454,3,0,0
4688****,1PSe,새빨간 거짓말로  당당하겠지 ㅋ,True,1,2025-01-28T04:01:29+0900,849673046720512032,4,2,0
wkdd****,ao8ce,헛소리와 거짓말만 하는 입~~  이젠 듣고싶지않고 빨리 사형시켜라. 그게 국민들의 정신건강에도 좋다,True,1,2025-01-28T05:44:52+0900,849679707644362823,2,0,0
sksa****,6NKyb,앞으로 흉악범들이 윤썩을열 흉내내면서 조사 거부하겠네. 범죄 저지르고 헛소리나 진술거부하면 더 불리하다는걸 박살을 내서 본보기를 보여라.,True,1,2025-01-28T05:38:33+0900,849679300159340582,2,0,0
inte****,1olb7,지금까지 죄명이가 머라고 했죠? 검찰독재라고 떠들었지? 그런데 지금보니 대통령이 검찰에 어떠한 영향력도 행사하지 않고 있었다는거 느껴지십니까? 민주당과 이재명에게 계속 속으면 우리국민은 바보가 됩니다.깨어나십시요,True,1,2025-01-28T05:39:25+0900,849679356228796434,3,2,1
modu****,1PJEi,내란죄까지는 오버인거 같은데 직접조사도 없이 구속기소한다? 뒷감당을 어찌하려고,True,1,2025-01-28T07:20:50+0900,849685890048458830,2,1,1
kbh1****,,,False,1,2025-01-28T05:07:27+0900,849677296187998232,0,0,0
simw****,3G0ER,죄수수형복 입혀서 재판정세워라.순 구라쟁이 내란수괴피의자에게 그게 합당하다,True,1,2025-01-28T07:27:07+0900,849686294480027666,1,0,0
k_00****,62QPs,내란죄를 수사 할 수 없는 공수처가 기소 요구한 것은 검수완박 취지에 맞지 않아서 무효 임.,True,1,2025-01-28T06:49:08+0900,849683847153975314,1,0,0
