user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
thsk****,2WPgL,"""대통령 탄핵 반대 집회는 불법 계엄을 정당화하는 행위""라고? 광주시장이 재판관인가? 오만방자한 소리하고 있다.",True,1,2025-02-12T03:50:42+0900,851063921010802743,1158,384,40
hpcl****,44YfP,"무슨 이런 막장 동네가 다있다니? 평화집회를 불허한다는게 말이나 되나?
광주시장 무지막지한 망나니가 전라도를 팔아먹는구나...",True,1,2025-02-12T04:47:06+0900,851067555375218695,606,226,28
lcy2****,PF19,높은 담장과 철망으로 둘러치고 지명도 북조선 공화국 이라고 해라 저런놈들이 광주를 욕 먹인다,True,1,2025-02-12T05:19:40+0900,851069653567406125,352,82,11
jmgo****,,,False,1,2025-02-12T05:20:48+0900,851069725860429877,0,0,14
oosk****,U53V,광주시장이 광주 대통령이나 되나보다,True,1,2025-02-12T04:23:44+0900,851066050005958712,214,48,9
itme****,1LB1e,"이게 광주정신이냐?? 이러니 라도,라도라고 비아냥 대는거다. 니네가 잘 했어봐.. 온갖 혜택으로 국가 곳간은 다 거덜내면서 애국집회는 막냐? 극좌 민노총 집회는 덩실덩실 춤을 추더니..",True,1,2025-02-12T08:55:54+0900,851083584293830930,89,15,6
kkbb****,230vC,이런 폐쇄적인 애들에게 국가 예산을 쓴다는 건 낭비다. 5.18이고 뭐고 지들끼리만 살아가게 하고 국가 지원 끊자.,True,1,2025-02-12T09:05:21+0900,851084192384024678,74,11,4
nara****,1qSTL,광주 시장  이  저렇수 있지   지금은  모든게 민주당  하자는 데로 돌아가는세상이지  누가 말릴수 있단  말인가  나라정국 전체 60% 이상을   좌파들이  트려잡고 있는데 오죽 했으면  육석열 대통령이  저리헀을까 자기한몸 바치면서~~,True,1,2025-02-12T08:56:03+0900,851083593370304527,58,12,1
knpk****,,,False,1,2025-02-12T09:22:23+0900,851085289848832150,0,0,3
spch****,2aOmU,역시 전라도는 대한민국이 아니군요,True,1,2025-02-12T08:56:23+0900,851083615449120871,50,8,0
kspk****,4Of3x,"멍청한 광주야.자영업자들 살리려거든 집회를 허용해서,타지역사람들이 와서 숙박도 하고 음식도 사먹고 여러가지로 경기가 활성화 되도록 해야지.지금 타지역 수많은 사람들이 집회를 기다리고 있다.2만명이상은 타지역에서 갈것이다.
이 좋은 찬스를 정치선동으로 또 가로막을려는 광주시장과 기독교단체는 반성해라",True,1,2025-02-12T09:01:23+0900,851083936950911064,49,8,3
sens****,1oUiA,중국공산당 찬가나 만든 정율성 기념공원이나 죽자사자 만드는 동네인데 뭔 민주화 성지냐?,True,1,2025-02-12T09:13:33+0900,851084720765665484,48,7,0
elli****,16b7l,518 이  민주화 냐 ??   라도 것들이 일으킨    폭 .  X   이 .지  !!,True,1,2025-02-12T06:33:13+0900,851074391738417175,55,17,2
jdsk****,27Pdm,"자랑스런 5.18 유공자 명단도 못밝히면서 특권은 누리고싶고
국가 세금 다 축내는 동네인데.,  옛날 모를때는 동정해 주고 
편들어 줬지만.. 이제 완전히 다른 동네 사람 대우를 해달라니
그렇게 대할 수 밖에 없지...",True,1,2025-02-12T09:39:49+0900,851086413234438464,34,3,4
