user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hens****,,,False,1,2025-02-22T20:27:49+0900,852055873655144668,0,0,20
silk****,dMwWR,"1달 1번 29 탄핵남발, 국민이 제기하는 부정선거 문제와 다수당 폭거가 국가 안위를 흔들었다.... 대법원이 비상계엄은 고도의 통치행위로 법원의 심사가 불가능하다는 사법심사 불가 원칙을 명확히 확립했다. 대법원은 비상계엄 선언이 헌법 제77조 제1항에 근거한 대통령의 고도의 통치행위에 해당하며, 비상계엄 선포가 국가의 안위와 관련된 중대한 문제로, 그 선언 여부와 시기, 범위 등은 대통령의 고유한 재량에 속하며, 법원은 이를 판단할 수 없다고 천명했다. 친중종북 반국가세력이 흔드는 국가 안위에 대한 비상계엄은 헌법상 권한이다.",True,1,2025-02-22T20:58:59+0900,852057880864489729,81,8,3
lee9****,1rRkO,진심 궁금해서 그러는데 무안공항참사는 얼마나 지원해줬길래 더이상 말안나오고 조용한검?,True,1,2025-02-22T21:18:27+0900,852059135145934989,69,0,3
2066****,5mfX0,"오늘 대전집회 참석했는데, 솔직히 너무 많아서 걸을수가 없을정도였다! 대전역 생긴이후 역대최고인듯! 이쯤되면, 헌재의 음란황제 음란재판관은 스스로 거취를 표명해라! 상황끝난듯! 31절은 1천만 이상 나올듯! 탄핵자체가 무효다",True,1,2025-02-22T21:21:12+0900,852059312799875135,48,5,3
adae****,czkN1,"&lt;거짓뿐인 “대통령 탄핵 심판”을 각하(却下)하라&gt;
.
1,홍장원의 거짓말로 시작된 “대통령 탄핵”
“싹다 잡아들여라?” 
여인형 방첩사령관이 “명단을 불러줬다?”는 
명백한 거짓으로 드러났다.
.
*헌법재판소에서 홍장원 증언은 
공관입구 공터에서 
메모지를 꺼내 적었다.
*채널A 인터뷰는
집무실에 가서 개인폰으로 했다.
cctv 확인결과 전부 거짓말이다.
.
2.더불어공산당은 “회유공작”을 했다.
김병주, 박선원, 박범계, 부승찬,등이 
거짓증언을 강요했다.
.
&amp;,헌법재판소는 거짓뿐인 
“대통령 탄핵 심판”을 각하(却下)하라.",True,1,2025-02-22T21:03:16+0900,852058157168459851,46,5,1
sung****,,,False,1,2025-02-22T20:55:18+0900,852057643819204693,0,0,0
bks8****,1Wgbr,"대통령, 국무 총리, 국방부 장관. 감사원장.행안부 장관. 법무부 장관. 경찰서장 나랏일하는 정부요인은 다 짤라버리고 비워 놓고는 대통령 심판하는 헌재는 인원수 한명 비는거 채우자고 발광하는거 보면 국가 국민을 위한 집단은 아니다..국회에서 국인들 개취급하느거 보면 이적성까지 느껴진다.. 대통령 탄핵이 문제가 아니라 이재명 민주당이 장각한 국회 해산과 헌재 가 누구말대로 가루가 되어 분쇄되는것이 우리나라엔 더 필요하다..대부분 국민이 그렇게 느낄것이다.. 민주당 카르텔 집단 빼곤 말이다. 집회를 보면 여실히 느껴진다.",True,1,2025-02-22T21:30:13+0900,852059893375434808,14,2,4
kbc1****,,,False,1,2025-02-22T21:33:30+0900,852060104298594442,0,0,0
grey****,1KIkQ,박종서 기자님!!  보수단체 소속이라고하지 마세요!!  자발적으로 나온 시민들입니다 !!  워딩 그렇게 쓰면 기자로서 안 부끄러운지?? 오히려 탄핵 찬성 집회가 민노총 대진연 민주당원들을 동원한거죠  모르는거 아니잖아요!!  박종서 기자님,True,1,2025-02-22T21:42:02+0900,852060654893269004,9,1,0
jhh4****,4GtDP,나랏일을 할사람들을 시도때도 없이 탄핵해서 국정을 마비시키고 정작 필요한 예산을 모두 삭감하고 나라를 마비 시킨게 누굴까? 정신줄놓고 살아간다는 대깨 개딸들 정신좀 차려라~~  이미 세뇌되어 옳고 그름을 분간 못하겠지만...,True,1,2025-02-22T21:21:30+0900,852059331321921676,9,1,0
hyun****,ZCrY,기각되어 복귀할것입니다 선관위도 조져야되고 공수처도 조져야되고 할일이 많습니다,True,1,2025-02-22T21:25:31+0900,852059590479577229,7,2,0
sgch****,2yj8t,우리는 자유를 잃을수 업습니다. 반드시 윤대통령 돌아와야합니다. 째명이  이재꼼에게 나라를 내어준디는것은 고양메게 생선을 맡기는 것입니다.,True,1,2025-02-22T21:20:25+0900,852059261344153709,6,2,0
sjk1****,K82n,"현직 대통령을 불법을 동원하여
  체포한 공수처장 서부지법 판사들을
   내란범 권력찬탈범으로 즉각 수사 체포하라",True,1,2025-02-22T21:39:37+0900,852060498747719819,5,1,0
qwes****,awqg8,"3.1일
2500만모이자
윤대통령만의 문제가 아니다
자유민주주의국가를 지키자
체제전쟁이다",True,1,2025-02-22T21:25:12+0900,852059570229477444,5,1,0
bowb****,,,False,1,2025-02-22T21:18:49+0900,852059158852141292,0,0,0
aeky****,29gwM,나와보세요~~탄핵반대가 항상 훨씬 많아요!,True,1,2025-02-23T12:56:31+0900,852119570033410182,4,1,0
gkrr****,vO96,100% 탄핵인용인데...또 지난번처럼 법원습격 폭동일으키지 말고....,True,1,2025-02-23T09:27:19+0900,852106091587174462,3,0,1
kkar****,1cZLO,반대는 전면사진 찬성은 뒷몃 동일선상 사진? 왜?,True,1,2025-02-23T04:05:14+0900,852085341945856021,3,0,0
gnyh****,,,False,1,2025-02-22T21:54:12+0900,852061438171152440,0,0,0
khw1****,5Boc9,언론을 아무리 장악하고 중국자본에 국민들을 세뇌하려 해도 똑똑한 국민을 속일 수는 없다,True,1,2025-02-22T21:35:01+0900,852060202126540804,3,0,0
rans****,eXJ2,탄핵인용은  민주당의  정략적 탄핵을  묵인하는  반국가적  내란이다,True,1,2025-02-22T21:24:00+0900,852059492769071108,3,0,0
koji****,1nGUp,윤석열 대통령은 얼른 복귀하셔서 좌파리들을 일거에 척결하시고 새로운 대한민국을 만들어주시기를 간절히 고대합니다!,True,1,2025-02-22T21:16:45+0900,852059025456496866,6,4,0
ju59****,2DCmE,윤통은 돌아온다! 꼭!,True,1,2025-02-22T21:25:43+0900,852059603247038675,5,3,0
rkde****,,,False,1,2025-02-22T22:40:00+0900,852064388763353091,0,0,0
ssck****,QcyN,파면은 라면에 파송송 썰어 끓인 것이고 복귀해서 반국가 세력 때려잡고 2030들에게 살길을 터주고 윤통과 나랑 막걸리 한잔하며 명예로운 퇴직을 의논하는 것!!! ~~~^^,True,1,2025-02-22T20:30:13+0900,852056027955200056,3,1,0
rain****,1cWno,"세계 정세가 한치 앞을 모르는데 모자한 놈이 이상한걸 해서는 나라 이미지 추락시키고, 지 마누라 공천개입 들통날까 사전에 계엄한건데… 나라 망할려면 복귀 시키던지…",True,1,2025-02-23T10:08:19+0900,852108733143056440,2,0,0
jjww****,18j5L,586운동권 척결이 우선순위 아닌가?20.30앞길막고 꿀빨고 사는 운동권(정치인)이것들을 잡아 족쳐야 되는데.,True,1,2025-02-22T21:29:54+0900,852059872336806153,2,0,1
seas****,4U4Rl,"밀려든 인파로 인해 사진과 달리 양방향 차선 모두 탄핵반대 집회 인파로 붐볐다. 기자는 사진 찍기 귀찮으면 그냥 달라고 요청 해라. 수많은 인파 사진, 전송 해줄게. 굳이 많은 인파를 보여주기 싫은게 아니라면 말이다.",True,1,2025-02-22T21:29:44+0900,852059862404694238,2,0,0
nfmp****,9viFO,다른 곳도 마찬가지지만 대전에서 압도했다. 윤석열 만세!!!,True,1,2025-02-22T21:28:44+0900,852059797527199963,2,0,0
chie****,1VCvb,나라꼴 이렇게 만든 자체가 범죄다. 이게 뭐냐? 도대체! 무슨 친탁 반탁도 아니고 말이지!!!,True,1,2025-02-22T21:21:07+0900,852059306441310237,2,0,0
hec5****,,,False,1,2025-02-22T21:45:44+0900,852060893163290812,0,0,0
1052****,,,False,1,2025-02-23T03:27:47+0900,852082929717739566,0,0,0
lege****,1HYld,"윤석열의 귀환이 된다면 대한민국은 종말이 될 것이다. 법치주의는 무너지고 계엄이
판치는 세상이 올것이면 진실보다는 궤변에 의한 진실의 왜곡이 판치는 세상이
올것이라고 본다.  만약 그렇지 않겠지만 그렇게 된다면 대한민국이라는 나라에
애국하는 것은 의미가 없을것이면 대한민국 탈출만이 답이 될것이다.
무법이 존중받는 시대는 대한민국의 종말이 될것이다. 윤석열은 대한민국에
돌아올 곳이 없다.",True,1,2025-02-23T11:10:15+0900,852112723654213694,3,2,0
wjft****,2cHHQc,"인용되서 파면되는 순간부터~ 걸레짝이 될것이다! 김건희도  
 마찬가지로",True,1,2025-02-23T18:49:09+0900,852142287692496930,2,1,0
