user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hans****,837WI,이재명 재판도  생중계 했으면,True,1,2025-03-02T18:26:23+0900,852790219915657299,574,227,28
reds****,,,False,1,2025-03-02T18:24:55+0900,852790125845807335,0,0,9
esth****,e17kp,김칫국 마시는 좌이티엔 심히 기분 나쁘네. 탄핵 무효다. 선관위의 부정이 매일 드러나고 선관위 감싸는 헌재 역겨운데 대통령이 옳다는 국민들이 바본줄 아냐?,True,1,2025-03-02T18:26:22+0900,852790219479449685,266,188,9
ds5v****,23E2,중국 및 북한 간첩들의 사형과 사망을 기원합니다,True,1,2025-03-02T18:36:54+0900,852790898017173723,81,10,4
kore****,oV4Z,전라도 사람인 저 조차도 윤 대통령님에 의해 개몽 되었습니다. 반드시 탄핵은 기각 되어야 마땅하고 거대 야당은 대한민국의 민주주의의 근간을 뒤집어 놨고 이 땅에 정치테러로 인해 한국의 입지는 바닦에 떨어졌습니다. 윤 대통령이 진심으로 계험을 할 거라면 밤이 아닌 새벽에 했어야 합니다. 그리고 전과자들로 득실거리는 정당은 반드시 해체 되어야 할 겁니다.,True,1,2025-03-02T18:31:27+0900,852790546970706042,388,361,34
stor****,1M3wX,하루라도 빨리 파면 인용해야 대한민국이 원래대로 돌아갑니다.,True,1,2025-03-02T19:37:52+0900,852794825395667160,44,20,3
st94****,430Ss,탄핵인용하면 중국관련 건물에 불지를테니 그런줄알아라..... 중국인이 헌법재판관 조종하는것을 이미 국민들은 다봐버렸다...그리고 부정선거가 계엄의 이유인데 이건 왜 수사조차안하고 뭉개냐???,True,1,2025-03-02T18:35:24+0900,852790800877092949,148,126,22
titi****,2wEi5,탄핵기각선고 생중계 가즈아~♥️,True,1,2025-03-02T18:25:03+0900,852790134284746764,36,19,3
dain****,3tJyV,윤석열은 공산주의자들과 힘겨운 싸움중입니다 부디 자유민주주의를 수호합시다,True,1,2025-03-02T19:22:27+0900,852793832587133063,29,14,3
fami****,1AzJk,내란수괴는 이재명이라고 봐야하는거지. 어떻게 정부여당이 쿠테타를 할 수 있냐? 말이되는소리를 좀 지꺼려라.... 이재명이 무섭냐고? 드러워서 피한다 드러워서. 똥이 무서워서 피하냐???,True,1,2025-03-02T20:29:21+0900,852798141949280361,19,5,3
shan****,,,False,1,2025-03-02T18:27:01+0900,852790261489598470,0,0,2
gang****,km8A,11일 멀다 이번주 안에 탄핵해라  나라가 태극기 노인네와 사이비 종교인들로 가판이다,True,1,2025-03-02T19:19:56+0900,852793669613256924,28,19,2
