user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
cant****,aoSnx,지가 잡아넣은 닭근혜보다 재임기간 짧은 쓰레기 알콜치매 개두창한테 공이란 게 있었나? ㅋㅋㅋㅋㅋ,True,1,2025-04-06T04:59:57+0900,855985261555744807,56,6,0
leee****,2jbui,지난 3년간 설익은 정책과 출처를 알수없는 즉흥적인 정책때문에 대한민국은 혼돈과 갈등의 도가니였다. 유일한 공이라면 군사독재를 겪지않은 젊은이들에게 자유와 일상의 소중함을 일깨워 주었디는거 하나! 나머지는 역대 최악이었다,True,1,2025-04-06T05:08:20+0900,855985801010348052,40,0,0
nobo****,dgWHI,YTN 미쳤냐 뭔 공과? 공이 어딨는데 웃기고 있어 정말,True,1,2025-04-06T05:30:13+0900,855987210816585740,17,1,0
douz****,Vzrq,느낌상 30년 같았다,True,1,2025-04-06T05:11:00+0900,855985973429796865,10,0,0
seog****,2gyhz,설마 공이란게 있나?  있다면 반면교사,True,1,2025-04-06T05:08:14+0900,855985794534342675,9,1,0
leeg****,4iDJk,나 개인도 윤괴수 이너미 당선 날부터  이상한 일들이 생길거라고 주측했는데  그대로 맞았다  세상은 정의와 자유가 이긴다,True,1,2025-04-06T05:17:17+0900,855986377626484748,6,2,0
libe****,zjRC,과는 수없이 많지만 유일한 공은 본의아니게 임기를 일찍 끝낸것 뿐이다.,True,1,2025-04-06T07:56:01+0900,855996604363046917,3,0,0
spin****,,,False,1,2025-04-06T05:46:23+0900,855988252430041105,0,0,0
qhaq****,2kO1F,홀모와 남매도 의절하고 쥴리의 음부속에서 폭탄주로 날새고 가짜출근과 거짓말로 살아온 자에게  무슨 공이 있더냐  그져 하는일이 격노 대노 역정 일장훈시 거짓말 국민팔이가 일상인 가짜 인생이 윤석열 이다  걸음걸이 건달이고 그 자세가 모든걸 말해준다  결코 성정이 정상인이 아니다,True,1,2025-04-06T05:14:49+0900,855986218914021416,3,1,0
kjha****,,,False,1,2025-04-06T09:02:14+0900,856000870389645368,0,0,0
ksb0****,2J39o,첫 시작부터 야당대표 수사에만 목매여. 야당과의 소통부재가  문제였고 김건희 특검을 받았어야 했으며 뉴라이트 인사등  이명박 정권사람들을 기용한것등.  모든게 문제였던것 같습니다. 가장 큰문제는. 윤 전대통령의 남의 말을 전혀. 귀담아 듣지 않는 독단적 성격등 !!!,True,1,2025-04-06T05:47:29+0900,855988323464773663,2,0,0
dugo****,zKZf,'초보운전자의 만취운전은 끝났다' &lt;기사인용&gt;,True,1,2025-04-06T05:40:27+0900,855987870261837846,2,0,0
ksh1****,Ei1h,"기사가 이상하다 
임기내내 일본과 미곡에 조아리기만했는데  3국동맹강화라니?  그리고 호시탐탐한 일본과 무슨 동맹?  임진왜란,  식민지 ?  벌써 까먹었냐? 
그리고 미국은 자기들 유리할대로  취했다가 버렸다가  하는 시뇌없는 국가인데  그들과 진정한 동맹?
  가소롭다.   동네 이장자격도 없는 시정잡배에게  
나라를 맡긴 국민의  자승자박이다. 국민이 나빴다.",True,1,2025-04-06T05:38:07+0900,855987720122531848,2,0,0
cch8****,CcAf,YTN도 내란공범.,True,1,2025-04-06T05:30:04+0900,855987201991770115,2,0,0
okkw****,,,False,1,2025-04-06T05:27:05+0900,855987009942978569,0,0,0
tdla****,aDoZs,"윤석열이 뭔 4대 개혁을 하겠다고 날뛰다가 지 맘대로 안되니까 계엄,탄핵,파면된건데, 윤석열이 검사출신인데 뭘 알고 그랬겠냐? 대통령실에 있는 진짜 책임있는 꼴통들이 탄핵을 당하고 파면당해야 된다. 특히 연금개혁 관련자, 의료개혁 관련자, 교육개혁관련자들은 특히 파면당해야 한다.",True,1,2025-04-07T00:10:44+0900,856059399720927371,1,0,0
dbst****,,,False,1,2025-04-06T09:20:02+0900,856002017162690569,0,0,0
cock****,qDPN,아프리카나라에 국가차관 국민의 혈세를 지맘데로 탕감한자.,True,1,2025-04-06T05:43:24+0900,855988060733571096,1,0,0
cats****,21VDg,이 정부에 공도 있었나? 정신나간 놈둘이 나라를 이토록 망쳐 먹었는데,True,1,2025-04-06T05:37:41+0900,855987692591120421,1,0,0
pipe****,48V6Q,공이라면 투표잘해야 한다는것을 깨닫게 된것. 나머지는 모두 과,True,1,2025-04-06T05:36:29+0900,855987615550144538,1,0,0
wbc8****,APG5,바보중의 바보.,True,1,2025-04-06T05:35:10+0900,855987530120560647,1,0,0
shcl****,3sSZ2,혈세만 수조원 까먹었다!  무슨 공이 있노??? 공이라면 관저에 골프공 몇개 굴러다니나 세봐라!!!!!,True,1,2025-04-06T05:31:12+0900,855987274754555917,1,0,0
seol****,5swQo,일본에 다 퍼주고 미국엔 핵핵 대다 끝난외교가 성과라고... 얼척이 없다.,True,1,2025-04-06T05:28:30+0900,855987100607053857,1,0,0
chkd****,1ghKO,유일하게 자신의 말을 실천한게 하나 있지. 굿짐을 박살내버리겠다는거.,True,1,2025-04-06T05:23:42+0900,855986791788838951,1,0,0
gaed****,aVfOM,계엄. 장난 잘햇다  그거 안햇다면  임기 내내 시끄럽고 고통스로워 힘들텐데  그나마 일찍 끝나 다행이다  어설픈 계엄  잘 하셧습니다,True,1,2025-04-06T05:20:11+0900,855986565363531785,1,0,0
run_****,56Uq,유일한 공은 투표가 얼마나 중요한지 계몽시킨것 하나다,True,1,2025-04-06T05:19:21+0900,855986511626108955,1,0,0
shoh****,ECiR,엔데믹 이후 윤석열 정부는 비유하자면..과격한 성격의 왕초보 음주 운전자가 눈길 심야운전을 하는데..그것마저 운전대를 조수석 무면허가 잡고 있었던 꼴,True,1,2025-04-06T05:14:41+0900,855986210173091876,1,0,0
bomb****,6MluU,"대한민국 절대권력 검찰 출신이 대통령이 되면 어떤 일이 벌어지는지 국민들이 똑똑히 봤다. 대한민국 형법상 최고 범죄인 내란을 저질러도 처벌하기가 이렇게 어렵다. 바이든 날리면 언론탄압 입틀막부터 공천개입, 채상병 수사외압 처럼 증거가 뻔히 드러난 그의 범죄 만행에도 불구하고 처벌은 커녕 아직 수사조차 안 받고 있다. 누가 법 앞에 만인이 평등하다 했나. 그동안 드러나지 않은 범죄혐의는 상상을 초월할 것. 이러한 검찰 기득권을 깨부수고 국민들의 공익을 우선했던 이재명대표가 그들에게 받은 핍박 또한 상상을 초월한다. 이제 끝내야 한다.",True,1,2025-04-06T05:36:39+0900,855987625784246306,2,2,0
sonh****,7qfjH,댓글좀 가려달아라 배우지못한사람들이 많은건가 중국인들이 많은건가,True,1,2025-04-06T05:36:31+0900,855987617664073752,1,1,1
gusc****,29zvB,잘못된 선택을 국민이 먼저했고 그 잘못된 선택이 오늘날의 탄핵으로 이어졌다. 정말 있어서는 안되는 대통령이고 그 부인이다. 역사에 꼭 새겨서 다시는 이런 머저리 사기꾼 부부가 탄생하지 않기를 바란다.,True,1,2025-04-06T05:35:10+0900,855987530741317637,1,1,0
chom****,,,False,1,2025-04-06T05:27:39+0900,855987046265651235,0,0,0
sowh****,45u6k,"오로지 사기치고
  사기녀일족들  범조세탁~세금으로 술파티~사기녀 이권 개입에 무슨 공과?
기자 니가  기자냐?",True,1,2025-04-07T14:36:03+0900,856115147305910299,0,0,0
zer0****,47iGP,윤석열에게 공이 하나 있다면 우리나라에 숨어살던 우리나라 망하기를 기도하는 온갖 인간쓰레기와 극우친일매국노들을 3년도 안돼서 거의 전부 수면위로 끌어올렸다는거..역대정치인들중 그 누구도 해내지못한 정말 힘든 일을 했기에 보답하는 의미로 반드시 평생 무상급식을 하게 해줘야 한다,True,1,2025-04-06T17:14:14+0900,856032567298621510,0,0,0
huan****,7FDfu,한미동맹 ㅋㅋㅋㅋ 동맹국 국가원수랑 여당 욕하고 그거 들키니까 구차하게 자국 야당 욕한거라 변명하고 일본에는 저자세로 굴종하는게 외교라고 생각하냐,True,1,2025-04-06T15:01:37+0900,856024023971135673,0,0,0
iou3****,1ExLo,기자님은 참 많이 좋으셨나 보네요!!!,True,1,2025-04-06T12:59:31+0900,856016157453320312,0,0,0
bbc-****,,,False,1,2025-04-06T12:26:52+0900,856014053321998534,0,0,0
bbc-****,,,False,1,2025-04-06T12:25:19+0900,856013953430454330,0,0,0
afin****,,,False,1,2025-04-06T10:46:30+0900,856007588221812839,0,0,0
plan****,,,False,1,2025-04-06T05:39:34+0900,855987814225936417,0,0,0
ync2****,1Wo1o,이재명이는 어차피 대통령도 안될건데 뭐,True,1,2025-04-06T05:36:27+0900,855987613067116568,0,0,0
idj1****,1Tpz2,유일한 공은 만나이 도입. 이거 말고 전부타 개판쳐놓음.,True,1,2025-04-06T05:33:58+0900,855987452945367095,0,0,0
luss****,5ODeU,기자야! 공이 있다고 생각하냐?,True,1,2025-04-06T05:32:04+0900,855987330152923141,0,0,0
yhc2****,sklx,"공은 무순 공 과만  있었지
이제는 뉴스보다가 TV 끌  일 없겠다",True,1,2025-04-06T05:26:49+0900,855986992259792934,0,0,0
euns****,,,False,1,2025-04-06T05:21:51+0900,855986672284729395,0,0,0
zsen****,1t8KK,공과? 같은 소리 하고 자빠졌네.,True,1,2025-04-06T05:16:54+0900,855986353064640555,0,0,0
kbs1****,ekC9D,전 국민을 불안장에로 만들어놓은거..!!!,True,1,2025-04-06T05:14:22+0900,855986190392754198,0,0,0
jyp9****,74g2t,설사만 하다 끝난 정부  윤똥 ㅋㄱ,True,1,2025-04-06T05:10:49+0900,855985961903849513,0,0,0
