user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
play****,3F5DF,좀탄핵하세요 자꾸 봐주니까 한덕수같은놈이 자꾸 헌법을 뭐같이 보잖아요진짜아,True,1,2025-04-09T21:11:18+0900,856326153646899302,95,38,2
chjo****,1MKxX,탄핵 되어야 한다 내란 동조자이다 바로 모여 회동 회의했는데 왜 동조자가 아니란건가,True,1,2025-04-09T19:30:32+0900,856319662491697345,115,76,5
kssl****,,,False,1,2025-04-09T20:54:46+0900,856325089149321498,0,0,0
daro****,18vAN,치졸하게 비겁하고 살기위해 수단과 방법을 안가리는 인간 말종들!윤방구와 용산내시들..한떡수를 포함한 국무위원이라는 놈들! 여생동안 사람되려고 노력이라도해라!,True,1,2025-04-09T19:34:23+0900,856319910056296585,44,31,1
utre****,2c0ZCa,"관심도 없다~~~ 정의와 공평에 입각해서 순수법리로 결정하지 않는다는걸 알아버렸다. 설문조사, 여론, 정치권눈치 이따위 정보들로 자기들 살길만 생각하는 헌재는 개인적으로 패스다.",True,1,2025-04-09T19:16:07+0900,856318733201702959,45,33,4
nda9****,22Ius,버스운전기사는 버스요금의 결산이 800원만 모자라도 해고된다. 법원의 판결이 그러하다. 그렇다면 한 나라의 법무부장관에게는 그 법의 잣대가 더 엄격해야 하지 않겠는가. 그러나 이 나라의 고위직 공무원은 그 누구도 파면되지 않는다. 내란 정도는 일으켜야 탄핵 사유가 되기때문이다. 안타깝지만 한 나라의 제도와 정책을 이끄는 이들의 직업적 윤리와 도덕적 잣대가 동네 버스운전기사만 못한 것이 우리의 현실이다.,True,1,2025-04-09T20:09:52+0900,856322196723728658,11,4,0
rhdi****,aXD4i,탄핵이 당연하다.,True,1,2025-04-09T20:22:38+0900,856323018404659410,9,3,1
ph00****,2cJ0il,계엄해제후 바로 안가에서 회동했는데 내란공범이 아니냐 이인규도 마찬가지 분명 죄를 물어야한다 내란은 아직 진행중이다,True,1,2025-04-09T19:35:08+0900,856319958777331767,7,2,0
kipk****,2RPU0,"한덕수보면 알겠죠 내란에 동의 않했다고 해도 벌써 한덕수는 윤썩렬의 방패라고 생각하는 국민이 많다 박성재부터 탄핵하고 한덕수 탄핵해야함. 국민은 끝났다고 생각했는데 한덕수의 윤썩렬 변호사,  장모의 변호사을 재판관 임명하는것은 중립을 지키지 못한처사 .새롭게 시작하는게 않될것 같음.",True,1,2025-04-09T21:20:40+0900,856326757274353924,4,0,0
uteu****,12K0l,의회독재가 어떤건지 실시간으로 보여주는 만진당. 위헌입법은 기본. 지금까지 이런 당은 없었다. 성추문에 돈봉투에,True,1,2025-04-09T23:32:14+0900,856335233576861764,3,0,0
yooj****,1G2YQ,참으로  웃긴게  국무위원  모두 탄핵  기각인데  대통은 인용이라~~   원인은   탄핵으로  국정운영 힘들다는데    ㅋㅋ,True,1,2025-04-09T20:39:48+0900,856324124878831912,3,0,0
ns64****,5ipyO,"트람프는 관세병,, 민주당은 탄핵중독,,",True,1,2025-04-09T19:40:15+0900,856320287946309736,37,35,5
zizi****,1ZCbY,윤석열 탄핵하고 나머지 기각.  분명다기각,True,1,2025-04-09T19:18:44+0900,856318902500589817,7,5,0
jp89****,,,False,1,2025-04-09T23:42:22+0900,856335886898430028,0,0,0
1365****,,,False,1,2025-04-09T23:16:41+0900,856334231708631230,0,0,0
2002****,,,False,1,2025-04-09T19:29:32+0900,856319598083965096,0,0,2
hyuk****,8snSF,"이제 헌재는 내란동자자들에게 자비를주어선 안됩니다
내란색출 헌재책임이 막중합니다",True,1,2025-04-09T20:29:06+0900,856323435201036328,2,1,0
minh****,1Qh1Q,하루살이 8마리?,True,1,2025-04-09T23:51:29+0900,856336473278906486,1,0,0
mkh5****,2lF82,탄핵이  답이다   내란공범들  수사해서  구속해야지,True,1,2025-04-09T23:49:21+0900,856336336209051725,1,0,0
stud****,,,False,1,2025-04-09T23:08:12+0900,856333685610250299,0,0,0
soi1****,2UWyG,한덕수는 윤돼지 전에 선고한게 운이좋았던것! 한덕수는 탄핵되어야 마땅하지만 한덕수가 파면선고되었음 폭도들이  윤석열선고날에 벼르고 있을 난리통을 피한거아닐까 생각된다,True,1,2025-04-09T22:08:22+0900,856329830658998392,1,0,0
tuim****,17Y4h,한덕수 탄핵 못한 헌재 ..두고두고 역사에 부끄러울것,True,1,2025-04-09T21:59:59+0900,856329290784964941,1,0,0
ycis****,I0a1,만장일치 탄핵을 확신합니다.,True,1,2025-04-09T21:59:21+0900,856329249647231105,1,0,0
sung****,43zFC,윤석열 기각이 되겠나 했던 사람들이 박성재 탄핵인용 댓글을 다네 어이없네. 인용이 될 수가 없잖아  안그래? 이재명 째려봐서 탄핵이라는게 말이 되냐고,True,1,2025-04-09T21:59:03+0900,856329230034665499,1,0,0
nami****,ax78D,자꾸 기각시켜 봐주니 헌법과 헌재를 우습게 아는 한덕수 같은 내란범이 뻔뻔하게 날뛰잖아요. 탄핵 좀 하세요.,True,1,2025-04-09T21:54:53+0900,856328962404516181,1,0,0
hkj5****,1J2Q1,안가회동한자들이 핸드폰 바꾼게 조직범죄다.,True,1,2025-04-09T21:42:30+0900,856328164463345849,1,0,0
yeso****,bwDgl,째려봐서...탄핵?    이해가  안가네..정상인 생각 이라면..,True,1,2025-04-09T20:56:48+0900,856325220196155701,1,0,0
yoo_****,17ZNV,위헌인데 정도가 중하지 않다라는 🐕 솔을 시전한다면 헌재 없에는게 맞아..,True,1,2025-04-09T20:35:06+0900,856323821982973994,1,0,0
eomy****,9QhPF,하거나 말거나 마음 대로 해라,True,1,2025-04-09T19:22:24+0900,856319137868152967,1,0,0
kgj3****,24ncp,내란 선동 민주당을 탄핵하자,True,1,2025-04-09T19:46:19+0900,856320679174209649,10,10,2
sdj5****,eltAX,민주당은 이래도 저래도 자기들마음안들면 탄핵 재탄핵 역대최악정당 반드시 국민들에 심판받아 대선 대패할것이다,True,1,2025-04-09T20:44:23+0900,856324420174610579,5,5,2
daej****,3sxDw,내란범 사형시켜아 민주주의가 바로선다,True,1,2025-04-09T20:21:30+0900,856322945977417912,3,3,0
swy5****,34ykI,"12월 4일 안가에 모인 놈들 탄핵은 당연하고, 구속해서 내란죄로 처벌해야함...",True,1,2025-04-09T23:08:55+0900,856333731093283070,2,2,0
rbst****,2gEiS,"법을 무시하는 법무장관
권력에 아부하는 법무장관
탄핵선고 당연합니다",True,1,2025-04-09T21:25:19+0900,856327056546332797,2,2,1
kdn0****,hXcX,"미 대사관. 불 지른 ㄴ이.   법사 위원장 ᆢ 푸ㅎㅎㅎ
 ㅎㅎㅎ. 완전. 강아지 판이네",True,1,2025-04-09T19:45:56+0900,856320653974831395,2,2,0
sky_****,7Pc4f,"***Yoon Again***
선거관리위원장을 맡았었던 헌법재판관들의 심판을 누가 믿겠는가?
중립성과 법치주의를 위반하는 헌법재판소 해산하고, 부정선거 수사하라!!!
자유 민주주의에서 자유를 빼고 '민주주의'를 내세우며, 공산화를 추구하는 종북좌파 반국가세력 더불어 민주당 해체하라!!!",True,1,2025-04-09T23:50:16+0900,856336395684282442,1,1,0
mysk****,2Dip5,너무 관대하게 법을 위반을 사람을 봐주니까 한덕수이교활한자가 위법을 또 저지르잖아요. 내란동조세력들은 봐주면 안됩니다,True,1,2025-04-09T22:00:39+0900,856329333717860582,1,1,0
jwtg****,3k9TB,이 사람 탄핵사유는 민주당 국회의원들을 노려본다는 것이다,True,1,2025-04-09T21:05:41+0900,856325791779127531,1,1,0
clou****,12C77,탄핵전문기관이네,True,1,2025-04-09T19:40:36+0900,856320310394224823,1,1,0
lma0****,1DJR0,탄핵~~~~~~,True,1,2025-04-10T13:31:07+0900,856389277871767594,0,0,0
ehrd****,3gi2i,"헌법과 법리를 무시하고 쓰레기 판결 한 8적 이 무슨,? 누구의 협박받고 윤대통령 을 인용 했는지나 밝혀 이것들아",True,1,2025-04-10T12:43:29+0900,856386209100857492,0,0,0
dald****,67vhB,만약에 풀려나면 다시 탄핵신청하자.. 새로운 대통령 이재명 이 취임할때까지.,True,1,2025-04-10T00:52:14+0900,856340387705389093,0,0,0
delu****,3JhL3,헌재    쓰레기들  니들이 판사야 정치딸랑이야,True,1,2025-04-10T00:06:29+0900,856337440384745586,0,0,0
