user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
soon****,,,False,1,2024-12-31T20:18:37+0900,847138402204647629,0,0,54
youn****,2ciI6O,아직도 윤깡통 탄핵반대가 29%라니 극우사이비 유투브좀 그만봐라,True,1,2024-12-31T20:21:24+0900,847138580865220731,505,111,10
mysa****,,,False,1,2024-12-31T20:58:50+0900,847140993009451291,0,0,3
doni****,1AEHW,경상도 어디 읍내가서 조사했나??? 신기하네...,True,1,2024-12-31T20:21:39+0900,847138597390778564,221,35,13
akas****,1D22b,이재명  아웃도 좀 조사해봐라!!!,True,1,2024-12-31T20:22:58+0900,847138682417709374,384,353,23
dmdd****,,,False,1,2024-12-31T23:33:01+0900,847150926027292681,0,0,1
coff****,47xQG,10명 중 7명 “이재명 구속 찬성”...,True,1,2024-12-31T23:22:41+0900,847150260743569608,10,0,0
chan****,2A9Db,"10명 중 9명 ""이재명 구속 찬성""",True,1,2025-01-01T00:35:13+0900,847154933567324229,8,0,0
hiau****,skY6,폭동과 발포없으면 내란죄 불가능,True,1,2024-12-31T23:39:21+0900,847151333797527684,8,0,0
m337****,oZ12,탄핵 반대,True,1,2024-12-31T22:29:14+0900,847146817236762710,7,0,0
bles****,5U2en,10명 9명 이죄명 구속 찬성이다,True,1,2024-12-31T22:36:56+0900,847147312818946400,10,4,0
sayh****,nXkg,ㅋㅋㅋㅋ  ᆢ난 탄핵반대다ᆢ난 전화 못 받았다ᆢ대통령의 고유권한 행사다ᆢ,True,1,2025-01-01T00:53:10+0900,847156089685278766,8,2,0
gisu****,6DqYk,윤통탄핵반대합니다 꼴뵈죄명이를탄핵해라,True,1,2024-12-31T23:27:32+0900,847150572413911231,8,2,0
chim****,2Wu1p,"29%라..민주주의 체제에서 교육받고 자유롭게 살아왔으면서 어떻게 체제 전복을 시도한 내란범 탄핵을 반대하지? 심지어 북도발로 전쟁까지 일으키려 한 자를? 참 생각은 다양하다지만, 글케 독재가 좋으면 월북을 하든가. 왜 대한민국에 살면서 이딴 민폐 짓거리지? 국짐내란당 의원 중에도 군부독재도 괜찮다고 한 놈들도 여럿 있다니 다같이 월북하든 꺼져줬음 좋겠네.",True,1,2024-12-31T22:21:49+0900,847146339086106902,8,2,1
sung****,bzfne,이재명 구속 여론나 해라 꼴통들아~,True,1,2024-12-31T23:09:42+0900,847149423728263412,7,1,0
yhl3****,,,False,1,2025-01-01T02:30:28+0900,847162358391373885,0,0,0
bard****,CeQ9,중국인 10명중 7명이 찬성이구나,True,1,2025-01-01T01:30:05+0900,847158468325408788,6,0,1
choi****,6RX4b,내란 우두머리 빨리 사형시켜라,True,1,2025-01-01T01:17:58+0900,847157686960128245,6,0,1
dong****,esxpK,100% 아닌게 더 이상하지 않나요?,True,1,2025-01-01T00:04:51+0900,847152976488300791,6,0,0
yuji****,2ipuP,남아있는 30%는 독재정권을 좋아하는 거 같은데…북한으로 보내주고 싶다…,True,1,2024-12-31T21:37:42+0900,847143496354627825,6,0,0
over****,,,False,1,2025-01-01T01:00:49+0900,847156582415335661,0,0,0
forr****,2p2TT,웃기고있네 국힘이 민주당 추월했다 윤통 지지 젊은층 급상승중이다 정은이 딸랑이 경향신문 가짜뉴스 주범이다,True,1,2024-12-31T23:05:21+0900,847149143632642177,8,3,0
kim8****,3XKCk,"10명중 10명 ""이재명 아웃"" 찬성",True,1,2024-12-31T23:00:26+0900,847148826727809208,8,3,0
khss****,eiplm,내란수괴 에게 29%개돼지 는뭐야,True,1,2025-01-01T04:59:42+0900,847171972860215341,7,2,0
karp****,wDqI,계엄은 대통령의 고유권한이구 정당한 통치행위다.어디 종북한테만 여론조사했냐.좌파들 신났다.그러나 윤석열 대통령님은 기각되서 돌아올것이구 종북들 청산해서 아름다운 대한민국을 만들것이다.,True,1,2024-12-31T22:33:32+0900,847147094346039466,6,1,3
sada****,2EOhI,반대가 30%라고~?  진짜 미친인간들 많구나,True,1,2024-12-31T21:42:53+0900,847143830875537677,6,1,0
gell****,2U5nj,"나라가. 독재국가가되도 29%는 좋단다,
29%는 북한으로보내라 그들만의 꿈의 나라로",True,1,2025-01-01T06:05:46+0900,847176229122474039,5,0,0
risi****,2ppv1,아직 대한민국이 민주국가 수준도 낮다는 반증이다. 탄핵 찬성 90% 정도가 되어야 우리나라 경제수준 세계 10위 위상에 어울리는 민주국가 라 할 수 있겠지?,True,1,2025-01-01T00:16:36+0900,847153733358846171,5,0,1
kim4****,,,False,1,2024-12-31T23:58:42+0900,847152581066096884,0,0,0
csel****,,,False,1,2024-12-31T22:14:43+0900,847145881420431610,0,0,0
hany****,44NqW,어디서 조사했냐!? 그 시작은 부정선거인데 그건 어디가고 이딴 기사로 선동질이냐!?,True,1,2024-12-31T21:22:23+0900,847142509887881365,5,0,0
dreg****,hU09,"10명중 7명 ""이재명 구속 찬성""",True,1,2024-12-31T21:29:45+0900,847142984431436040,8,4,0
blue****,2p2gO,그리고 10명중8명정도는 이재명 감옥가길 원합니다,True,1,2025-01-01T02:02:32+0900,847160558699413594,7,3,0
s264****,1HcKf,니들이  뭐래도 이재명이 교도소 행이 먼저;,True,1,2024-12-31T22:21:31+0900,847146319976857779,7,3,1
