user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
aloe****,,,False,1,2024-12-16T07:31:52+0900,845697435425570956,0,0,31
fbrm****,3hinQ,계엄이 정당하다는 인간들은 머릿속에 무엇이 든걸까,True,1,2024-12-16T07:15:35+0900,845696385490616409,513,368,45
gber****,52Akz,탄핵 반대입니다.,True,1,2024-12-16T07:35:27+0900,845697665894187083,215,100,12
7179****,,,False,1,2024-12-16T07:13:58+0900,845696281337659534,0,0,11
g0mi****,7Lw4J,계엄이 정당한 이유=윤통 직무 정지되자마자 이재명이 추경 제안한것은 직전 예산안은 민생이 아니라 오직 정쟁으로 처리했다는 것을 스스로 시인하는 것이다. 거대야당이 입법독주와 더불어 모든 현안을 정쟁으로 다스리는 이 상황은 내란이 맞고 2년동안 22번 탄핵이라는 비정상적인 상황에서 대통령이 갖고있는 권한으로 적법하게 계엄하고 적법하게 혜지했으므로 법적으로 아무 문제 없다. 내란 주범은 법도 민생도 오로지 자신의 방탄으로 이용하고 있는 이재명이다!,True,1,2024-12-16T07:55:39+0900,845698967470604423,61,7,3
kjh4****,2697e,헌재는 부정선거여부부터 확인하고 탄핵재판 진행해야 함. 정상적인 선관위라면 선거부정이 의심스럽다 하면 제도정비가 우선인데 대통령에 맞서며 거부한다는게 말이 안됨.,True,1,2024-12-16T07:38:37+0900,845697869804470368,39,4,2
qpfm****,yR7i,이게 정당하다고 외치는 사람은 조두순이 내란의힘달고 출마해도 찍어주는 대구갱북 제국주의 우리가남이가 인민공화국하고 6~70대밖에없다.,True,1,2024-12-16T07:14:03+0900,845696287243239432,197,163,25
phh7****,4HQvs,"계엄이 정다하다는게 아닙니다
배경을 꼼꼼히 따지고 그것이 정말 탄핵까지 시켜가며 한 나라의 대통령을 또다시 끌어내리고 말아야 하는건지 정확히 짚고 넘어가야 한다는 겁니다
지금 부정선거며 여러 법적인 문제점들을 재정비 하고 나가야할 필요가 있다는 겁니다",True,1,2024-12-16T07:45:17+0900,845698299737407531,34,4,2
sbry****,,,False,1,2024-12-16T07:54:20+0900,845698882175238207,0,0,4
stea****,3ISJy,계엄 이유도 모르고 단 두글자에 선동당하는 멍멍꿀꿀들 세월충때나 지금이나 발전이 없다,True,1,2024-12-16T07:41:51+0900,845698078412374161,28,2,0
hjp3****,2svid,"계엄이 정당하다는게 아니고..민주당의 행태에 의해 계엄을 할수밖에 없던 상황이라는게 첫째이유고, 두번째는 1심유죄판결난 전과자가 대권을 노린다는게 2번째 이유다.",True,1,2024-12-16T08:08:08+0900,845699771065696299,27,3,4
firs****,ZEHh,"이재명 선고도 6,3,3. 에 밎춰 빠르게. 진행해라.",True,1,2024-12-16T07:24:22+0900,845696951419666485,23,3,1
gksm****,190Zt,"대통령이 전시·사변 또는 이에 준하는 국가비상사태 시 적과 교전(交戰) 상태에 있거나 사회질서가 극도로 교란(攪亂)되어 행정 및 사법(司法) 기능의 수행이 현저히 곤란한 경우에 군사상 필요에 따르거나 공공의 안녕질서를 유지하기 위하여 선포한다.
&gt;  12.3일은 평시였습니다...또한 국회를 무력화시키려한것역이 명백한 헌법위반이고 범죄이고 중대한 내란입니다!! 다툼의 여지가 없는 사항입니다!! 
제발 뇌 청소좀들 하세요!",True,1,2024-12-16T07:27:47+0900,845697171922616432,104,89,12
ksyf****,3fs1A,계엄 찬성. 탄핵 반대!! 대통령이 잘못이 있다면 그렇개 밖에 할 수 없었던 민주당 거대 야당의 행태와 잘못도 같이 따져봐라!,True,1,2024-12-16T08:22:27+0900,845700694265561195,13,0,0
