user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lss8****,3BqMR,지지율하락에 마음급한 전과자이죄명..불법집회를선동해도.이죄명은 안됩니다..,True,1,2025-02-08T17:02:12+0900,850743828624179249,344,180,23
them****,eCgE7,"503, 0010번을 배출한 당이 아직 정신을 못차린걸 보니 안타깝네요...",True,1,2025-02-08T17:57:55+0900,850747417757221103,193,64,17
kang****,4Bphv,대놓고 법을 어지럽히는 자가 내란 선동 아닌가요??,True,1,2025-02-08T17:18:04+0900,850744850323079186,77,14,1
bugb****,sqPR,이재명이 진짜 내란선동한것이다 이놈을 구속하라,True,1,2025-02-08T18:05:09+0900,850747883509514281,117,61,6
jyh3****,K3ce,거야 190석으로  그동안 한것은  탄핵/파면/해임/고소/고발/신고/선동 /  하면서 혈세만 꼬박 꼬박 받아갔다 /누굴위한 의회폭거 인것이냐? 전과4범 잡범 위해 민생을 외면한 더불어 타이타닉당  침몰많이 나라 경제가 산다,True,1,2025-02-08T18:09:08+0900,850748140301582364,95,40,10
cele****,ZxdJ,내란동조당이 할말은 아닌듯,True,1,2025-02-08T20:28:33+0900,850757121967390865,53,2,0
sato****,bI9U5,난동범들 영 치금넣어준 놈들이 할말은 아니지,True,1,2025-02-08T19:17:47+0900,850752562675056828,51,2,1
godm****,3x5ZT,이재명이 두려운 적폐들,True,1,2025-02-08T19:14:07+0900,850752326703513629,48,3,5
muso****,,,False,1,2025-02-08T17:51:02+0900,850746974637391886,0,0,0
saja****,4mpNd,일부 개딸들을 보고 국민이라고 호도하는 민주당이 정상인가?,True,1,2025-02-08T18:50:24+0900,850750798668234860,10,2,0
owow****,2d2Whf,이 엄동설한 한파에 ㅈㅁㅇㄴㅁㅇ카페 개딸들에게 집회 참석 독려해 놓고 정작 본인은 불참한 게 맞나?ㅋㅋㅋ,True,1,2025-02-08T17:58:25+0900,850747450472792167,11,4,0
sook****,,,False,1,2025-02-08T19:17:59+0900,850752575593513172,0,0,0
sogo****,pJDy,니들이 감옥에 안 가고 그러고 있는게 내란이다 이놈아.,True,1,2025-02-08T21:14:47+0900,850760100963418314,6,0,0
espa****,2cUJOv,이자사진 치워라 감옥이나 빨리가라,True,1,2025-02-08T21:19:06+0900,850760378810892326,7,2,0
mont****,6u3dl,오늘 집회보니 보급견들 백명도 안되던데 ㅋㅋㅋ 역시 조작 날조 아니면 계양에서도 뺏지 못달지^^,True,1,2025-02-08T19:11:47+0900,850752176379658444,6,1,1
aria****,4Hxkw,이재명은 절대 용이 되지 못할 이무기!!,True,1,2025-02-08T21:13:00+0900,850759985905270786,7,3,1
baek****,bJ1gy,급한건 국짐이고 짐쌀준비나해라,True,1,2025-02-08T21:32:52+0900,850761266090737884,6,2,0
desi****,hMMQ,가짜뉴스 여당이 퍼나름,True,1,2025-02-08T22:10:15+0900,850763673789005898,5,1,0
hitc****,9fvF,"전과자가 대한민국 대선후보라니 왠말인가...
전세계가 놀랄일이고 창피한 일이다...",True,1,2025-02-08T21:44:02+0900,850761985413873671,4,0,1
570d****,bCXzS,저런 몰상식한 정당이 집권당이라니... 한국의 비애다.  왜놈이 뿌린 씨앗.  친왜극우독재망국 정당,True,1,2025-02-08T21:58:19+0900,850762905476399188,3,0,0
ej50****,6cajl,윤석열이나 빨리  파면되기를~~~,True,1,2025-02-08T21:53:09+0900,850762573019086888,3,0,0
kjkj****,bJMMj,반국가세력들  개딸들에게 사과에 독을 뭍혀서  퍼나르는  단계   무섭다   누구를 위한 민주당  아니라  북한중국에 굴종하는  현정국을 어떻게 극복할까 걱정 이구나,True,1,2025-02-08T20:48:34+0900,850758411380326525,3,0,0
lees****,2POFF,찢죄명과 그 추종 세력이 내란선동 세력이다. 아주 나라를 엉망으로 만들면서까지 권력욕에 사로잡힌 것들,True,1,2025-02-08T19:58:20+0900,850755175256686669,3,0,2
sato****,bI9U5,대통령이란자가 얼굴뜨겁게 거짓말만하는걸 하루종일 뉴스에 보여주는데 우리가 답답할게 머있어서 이추위에 나갈까,True,1,2025-02-08T19:22:14+0900,850752849464787002,7,5,0
lees****,2wlza,나도 급해 헌재는 포고령만봐도 탄핵인데  왜  늦장피는거지. 얼른 정상국가 만들어서.   내란범배출당 청소해야. 되는데.,True,1,2025-02-08T21:29:26+0900,850761044396605557,5,3,0
