user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
yous****,41Ozz,헛소리 하지말고 생중계해라 아니 이명박 박근혜는 원하지도 않는데 국민의 알권이 이러면서 생중계 해놓고 윤석열이 국민의 알권리니 생중계를 자처하는데도 안된다고 하는건 뭐냐? 헌재 니네가 그러고도 대한민국 최후의 양심이라고 할 수 있냐? 반박해봐라 니들은 더 이상 인간이 아니야 ㅋㅋ,True,1,2024-12-26T18:50:35+0900,846668873561276585,30,3,3
ms_s****,340LQ,한 나라의 대통령이 탄핵되냐 마냐 기로에 서있는데.. 속이는거 없이 국민들에게 다 공개해라,True,1,2024-12-26T21:54:44+0900,846680737519239378,12,0,0
xeux****,310aN,재명이꺼랑 석열이꺼 생중계 국민이 알권리다,True,1,2024-12-26T19:01:06+0900,846669551461466142,6,2,0
thda****,3pyX8,이죄명이는 다음차례군,True,1,2024-12-26T21:33:03+0900,846679341235437582,2,0,0
hone****,17LW8,🐕🐕🐕빨리 죄 밝혀지면  우선  쇠고랑  먼저 채워라.죄수복  입혀라.포승줄로  묶어라.,True,1,2024-12-26T19:01:22+0900,846669568674889840,0,0,0
alph****,,,False,1,2024-12-26T19:00:28+0900,846669510139183216,0,0,0
soso****,1a8pW,생중계하고 방청객 없애라.,True,1,2024-12-26T18:56:56+0900,846669282875015427,0,0,0
horo****,2jMnU,윤석열 화이팅! 대한민국을 구해주세요,True,1,2024-12-26T19:17:59+0900,846670638708949293,2,3,0
giok****,3nSVm,생중개 해야된다  생중개  안하는 이유가 죄없는 대통령께 강제로 죄 뒤집어 씌우려고  한다고 본다 생중개하도록 해라 온국민들이 원한다,True,1,2024-12-26T18:57:36+0900,846669326210564260,2,3,0
akaz****,,,False,1,2024-12-26T19:47:02+0900,846672511079809040,0,0,0
apxk****,5t80X,생중계는 하고 논쟁이 될 만한 댓글쓰기는 금지해놔라,True,1,2024-12-26T19:39:44+0900,846672040898330834,0,1,0
xeux****,310aN,재명이 재판도 강제로 진행해 봐라 도대체 몇년을 지연 하는 거냐. 둘다 국가의 암적인 존재들이다.,True,1,2024-12-26T19:02:24+0900,846669635330769018,0,1,0
