user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
cmsb****,,,False,1,2025-01-14T14:31:02+0900,848414807076896790,0,0,2
than****,1wVHl,"저들도 탄핵 인용될 거 알고 있음. 그래서 절차에 문제가 있었다는 프레임을 걸기 위해 이렇게 지저분하게 질질 끄는 것임. 팩트만 기억합시다. 군인을 앞세운 불법 계엄이 있었고, 동원된 군, 경찰들이 윤석열의 지시가 있었다고 진술 했음.",True,1,2025-01-14T14:57:07+0900,848416487432519746,26,11,2
shin****,30ISd,"어떻게든 하루라도 더 살려고 할수있는 똘짓 다 하네, 그 정신으로 대통령질 했으면 지금 그상황 안생겼다",True,1,2025-01-14T15:00:37+0900,848416713505505560,11,2,0
ejra****,2GLoj,헌법 41조 1항 지켜라,True,1,2025-01-14T14:41:58+0900,848415511250207124,3,0,0
choi****,,,False,1,2025-01-14T14:31:12+0900,848414817629765719,0,0,0
agjk****,d9orc,똑같은 집단 소굴인데 ~ 함 디비봐야 정신 차리려나 좌파 소굴헌재!,True,1,2025-01-14T14:50:18+0900,848416048657989781,2,1,0
hiro****,rfBZ,판사 부인과 탄핵소추 변호인 남편 ㅋㅋ 부부가 함께  윤통 조리돌림하자는건가?,True,1,2025-01-14T14:59:50+0900,848416661999452521,1,0,0
kimj****,,,False,1,2025-01-14T14:59:05+0900,848416614318604320,0,0,1
kek0****,12Z94,나라를 말아먹으려고 작정을 했네,True,1,2025-01-14T14:56:24+0900,848416440825413825,1,0,0
zakk****,3hWkb,헌재도 썩었네,True,1,2025-01-14T14:29:11+0900,848414688428425300,14,14,0
doin****,bvKW,사법기관이 정치적 중립이라는 대명제를 스스로 확립하지 못하고 그들만의 리그로 전락한다면 존재 이유가 없어짐,True,1,2025-01-14T14:33:17+0900,848414951579058296,6,6,0
asm9****,6FxZq,"골때리네 나라가 엉망이군 이건뭐
헌재가 신이네  양심속이고 재판해서
존나라 만들어라 이나라는 이제 희망없다",True,1,2025-01-14T14:44:38+0900,848415683401220386,5,5,1
jung****,3Bvtb,"윤통 탄핵시키고 내각재 하려는 민주당,국힘당 정치인. 이런거중국이 바라는 거 아님?",True,1,2025-01-14T14:31:11+0900,848414817294221386,3,3,0
suji****,7qVMs,"대통령지키는게우선.왕따한테 협치가 가능했던가? 도와준사람들 한자리씩 않줬다고 이재명의 그녀가 그래서 윤석열이 싫다더라. 언론은 거짓말 올리지말고 현실직시, 민주당 탄핵질29회로 나라기능 마비 행정마비 대통령협박 업무수행 마비 상태에 이르게한 야당의행태가 곧 내란으로 판결 나야하는 이유. 민주당 내란으로 경제마비. 코로나를 이용하여 경제마비 의료시스템마비,결혼막음,가정에 감기걸린사람 가둠, 기독교 주일예배 가로막은 죄가 너무많다.죄가엄중하다. 판사들은 올바르고 공정한 판결 내주시길. 국민80%대다수는 민주당의 악의적 행태에 등을돌렸다",True,1,2025-01-14T14:59:10+0900,848416619754422359,2,2,1
kspi****,nmic,헌재가  미친것이다. 저런가  나라를  더  혼란으로 몰고 간다. 헌재 없어져야  한다.,True,1,2025-01-14T14:48:00+0900,848415900229959687,2,2,0
ybh9****,6sd6W,내란 관련된 몆 몆넘만 빨리처형하면 조무래기들은. 자연소멸된다.,True,1,2025-01-14T14:59:34+0900,848416645624889597,1,1,0
eorn****,,,False,1,2025-01-14T14:44:23+0900,848415667563528367,0,0,0
haki****,1SFl2,"계엄에 대한
법적 도덕적 책임 다 지겠다던
윤석열은 어디에?",True,1,2025-01-14T19:52:05+0900,848435490162999326,0,0,0
topn****,dCNqR,저딴놈한테 뭔 헌법 심판이냐 종로한복판에 매달아 국민재판 받게하자,True,1,2025-01-14T15:34:49+0900,848418916756619650,0,0,0
ybh9****,6sd6W,대한민국 사법체계를 뿌리째뒤흔들어놓는 개보수. 짝퉁들 이것들을 처리해야 대한민국이 앞으로 전진할수있다. 이것들 이번엔 제대로 뿌리를 뽑아내야한다.,True,1,2025-01-14T15:34:13+0900,848418878068359290,0,0,0
zets****,BzD7,애들 테세전환 진짜 웃기네 탄핵투표때는 탄핵안돼 이러다가 탄핵되니까 헌재가면 탄핵기각이야 이러더니 지금 와서는 헌재도 좌빨 이러고 있어 ㅋㅋ,True,1,2025-01-14T15:00:05+0900,848416678860554281,0,0,0
jinh****,fFnZ,건방진놈,True,1,2025-01-14T14:47:08+0900,848415844680597592,0,0,0
sjh3****,1b8ZE,수괴가 죽어야 끝나는 싸움인가,True,1,2025-01-14T14:44:36+0900,848415681471840558,0,0,0
jyjj****,,,False,1,2025-01-14T14:31:24+0900,848414830900543678,0,0,0
piec****,1uir9,피아식별 중~~~~,True,1,2025-01-14T14:26:25+0900,848414510120173743,0,0,0
sd23****,9sCc,빨갱이가 되어버린 헌재 쓰레기들...,True,1,2025-01-14T14:24:21+0900,848414376825192612,0,0,0
ims2****,2bLWG9,법위에 군림해 이래라 저래라 지멋대로허던 멧돼지의 봄은 지나갔다!!!범죄자 내란수괴괴물 앞에는 엄정한 법의 심판만 기다리니 화려허던 지난날을 더는 꿈꾸지 말거라!!!,True,1,2025-01-14T14:34:33+0900,848415033401540839,10,11,0
vmfv****,Twht,진짜 짜치네 윤석렬 ㅡ ㅡ,True,1,2025-01-14T14:35:40+0900,848415105761673521,2,3,0
kje0****,aBGNu,"대한민국 국민은  윤석열대통령을  원합니다!
지지지율이  무섭게 치솟고 있는게 증거입니다!
윤석열 대통령을 응원하고 지지합니다! .
지금  한반도에..국민과  윤석열 대통령밖에 없습니다!!
이들이  대한민국을 지킬것입니다...이들이 지킨 대한민국 땅안에서  민주당도..이재명도..행복하게  살 일만 남은 겁니다!!",True,1,2025-01-14T15:05:13+0900,848417009002610803,1,2,0
im79****,NAad,헌재  재판관님들 고생이 많으십니다 2월 춘봄 맞아 윤뚱띵을 👍👍👍👍👍파면한다👍👍👍👍👍👍👍👍,True,1,2025-01-14T15:07:07+0900,848417131526619187,0,1,0
naya****,rQ9R,"헌법재판소마저 흔들려는 
윤건희 수령님 이하 극우정치병자들,",True,1,2025-01-14T14:30:42+0900,848414785870496036,20,22,1
tn******,nlrc,"자타공인 좌파의 괴수 김선수 대법관조차도 이재명 재판에서는 자기 친구라고 회피해서 재판부에서 빠지는 양심을 보였는데, 지금의 헌법재판소는 그놈의 되도 않을 진보이념 때문에 양심마저 팔아먹는 거냐?",True,1,2025-01-14T14:45:31+0900,848415740359868653,5,7,2
mys2****,,,False,1,2025-01-14T14:51:43+0900,848416139724718393,0,0,0
bbeu****,2wzsx,탄핵결정나도 꼬투리잡고 극우파 선동하며 인정하지 않다가 멧돼지처럼 끌려 나올 것으로 보인다.,True,1,2025-01-14T14:43:27+0900,848415607014555905,0,2,0
rdh8****,6k7u5,헌재결과도 위법이라고 할걸? 윤틀러와 신나치당원여러분 그렇지않소?,True,1,2025-01-14T14:39:11+0900,848415331767550047,1,4,0
bles****,,,False,1,2025-01-14T14:35:56+0900,848415123226755487,0,0,0
wkdv****,20s6L,입벌구 윤두창 입만열면거짓말 대국민 방송으로도 거짓말 하는 작자,True,1,2025-01-14T14:46:03+0900,848415774065295383,0,5,0
kyu6****,,,False,1,2025-01-14T14:25:09+0900,848414428029255754,0,0,5
