user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
yyy0****,1fY9r,"제 2의 바이든&amp;날리면 2탄, 계엄은 계몽이고, 의원은 요원으로 이런 말장난을 하는거 보면 국민의 내란당 당원은 믿을지 모르나 정상적인 대한민국 국민은 절대 안믿지",True,1,2025-01-24T17:01:31+0900,849352215045865658,76,21,7
msk0****,3eMek,이건궤변도  아니고 개변이다,True,1,2025-01-24T17:25:44+0900,849353775175958794,20,0,0
cjs0****,3s2G1,못난인간 조폭 같다  보는것만으로도 혐오스럽다,True,1,2025-01-24T17:03:38+0900,849352350723211499,22,5,1
warr****,uTzX,바이든 날리면보다 더 황당하다,True,1,2025-01-24T17:11:33+0900,849352861723656371,15,3,0
isla****,7zc6b,영상보면 특전사령관도 분명 요원 이라고 말했는데 더불어 공산당이 국회의원 으로 바꿔치기 했다가 들통나니 이렇게 온갖 쇼로 물타기 하는 듯,True,1,2025-01-24T18:34:34+0900,849358209226375328,13,6,1
wgba****,2CP4n,"김병주 TV 라는 좌파 채널이 있다. 이중 ""단독] '내란계엄' 핵심 특전사령관, 양심고백! ""장관이 국회의원 끌어내라 지시"""" 라는 영상이 있는데 이 영상(https://www.youtube.com/watch?v=uvSzxC34gZ0)에서 특전 사령관이 ""국회의사당에서 인원들을 요원들을 밖으로 빼내라""지시했다고 말하는데 중간에 끼어든 민주당 김병주의원이 ""국회의원을 끌어내라""로 둔갑하는 현장...민주당의 겁박에 의한 조작임이 분명하다.",True,1,2025-01-24T17:12:11+0900,849352902341296190,35,30,3
naol****,5WPb5,김병주 라이브 방송에서 곽종근 사령관이 요원이라고 분명히 말하는 영상이 있습니다. 찾아보세요.,True,1,2025-01-24T18:18:21+0900,849357164425248885,6,1,0
wong****,3F216,재판관을  유치원생  쯤으로  생각하나봐  바보들  아녀 ?,True,1,2025-01-24T18:39:44+0900,849358542103118043,4,0,0
keel****,1dS9w,정상적 논리적 사고하는 사람들은 지금 다 조용히 지켜보고만 있다. 판단력 상실한 무식한 자기네 지지자들만 보고 있으니 이런 코미디를 국민들이 믿을 줄 아나보네,True,1,2025-01-24T17:58:19+0900,849355873754021973,4,0,0
skc6****,24eU9,특전사요원 끌어내라는 얘기였다고 김병주의원 라이브방송에 까지 방영 됬다는데 왜들 이 난리들인지. ㅉ ㅉ 사실은 사실대로 인정해야지. 보고 싶은대로 듣고 싶은 대로 본인들 편한대로 인지하면 어쩌란 건지. ㅉ  ㅉ,True,1,2025-01-24T20:24:27+0900,849365288724988024,4,1,0
nan-****,aokBP,바이든 나리며 시즌2   코미디   입벌구 아니  거짓말도 엔간히 해야지 부하들을 전부 거짓말쟁이로 만드는 재주는  골목대장도 이렇게 치졸하지는 않는다김용현이 군인인데 왜 요원을 끌어내나고 하냐  요원들을 철수 시켜라고 해야 맞는거지  전국민상대로 청력테스트 하더니 시력 테스트까지 하나 모지리  한심하다 빨리 파면하라 전국민은 계엄 불면증에 고통받고 있다 분통터진다,True,1,2025-01-24T18:32:57+0900,849358105090195765,4,1,0
eomb****,11kYV,특전사령관도 유튜브 나와서 처음에 요원들 즉 특전사유원들 끌어내라는 지시받았다고 발언했다. 그러니까 민주당의원들이 급히 의원들  아니냐고 유도발언했고.,True,1,2025-01-24T18:28:42+0900,849357831453802711,3,0,0
