user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lmn0****,dpkck,검찰 조서가 헌재에서 탄핵 증거로 법적으로 될수가 없는데 문형배 이미선 정계선같은 김정은 지령받는 간첩들이 법치주의를 훼손시키기 바쁘구나,True,1,2025-02-10T18:49:57+0900,850936312348279092,75,32,10
vask****,2hHyU,좌파들아. 니들도 잘 생각해봐. 이건 좌우 문제가 아니다. 헌법재판소가 헌법을 위반한다는건. 그것도 대통령 상대로. 니들은 대한민국 국민 아니냐? 니들한텐 안돌아갈 것 같냐? 제발 생각 좀 하고 살자,True,1,2025-02-10T19:20:24+0900,850938274225586313,33,13,5
choi****,4NaFI,"법도 자기맘대로
계엄령도 맘대로
독재정권해서 맘대로 하실려고 하셨네요",True,1,2025-02-10T18:21:48+0900,850934498680897808,38,20,4
jmk1****,67OL8,"헌재 불법을 저지르네!!!검찰 공소장이 허여로 작성된것 알면서~~사법부가 썩었다.
재판지연하는 판사 ~오판하는판사들 처벌하는법만들어라!!!",True,1,2025-02-10T19:13:55+0900,850937856187695422,18,5,1
fly6****,,,False,1,2025-02-10T18:49:47+0900,850936302298726672,0,0,1
kbuw****,3izPb,이럴거면 윤석열은 대통령 하지 말고 재판관 하지 그랬냐? 검사출신이면서 법도 지멋대로 해석해 바꾸는 게 무슨 검사야. 니가 법을 만들어 니 혼자 무인도에ㅐ 가서 니 멋대로 법적용하고 니 멋대로 살면되는데 왜 대통령을 했냐?,True,1,2025-02-10T18:13:15+0900,850933947851341901,30,25,6
youn****,,,False,1,2025-02-10T19:10:12+0900,850937617162698814,0,0,0
higo****,,,False,1,2025-02-10T18:10:58+0900,850933801520464269,0,0,1
qqda****,6BMtA,윤썩렬이 박근혜 한테 써먹던 원님재판 그대로 당하네.,True,1,2025-02-10T19:41:31+0900,850939635176571065,3,0,0
ggki****,15O00,그런식이면 재명이는 2차도 필요없어 벌써 빵에서 나라밥먹어섰야지 헌재야 정신차려라 무엇이 무서워 그리 빨리 도망치냐,True,1,2025-02-10T19:29:57+0900,850938889211216246,3,0,0
melc****,eW7A,"헌재가 국민들의 매를 벌고 있군! 탄핵기각 없으면, 헌재판사는 각오해야 할 것!!",True,1,2025-02-10T19:19:13+0900,850938198191243333,3,0,1
yeoy****,qWJ5,헌재 좌파 소장이 이렇게 지시해도 우파 재판관들은 소신껏 판단해주세요. 합의 안된 조서를 증거로 채택하다니요.,True,1,2025-02-10T19:14:16+0900,850937878870491216,3,0,0
suji****,7qVMs,탄핵 남발한 민주당 이제명이 내란  무정부상태로 만들어 거대야당이 독재를 했지 위협하고 언론선동 조작일삼았으면 얼마나 큰죄인지 국민들은 다알잔어,True,1,2025-02-10T18:45:27+0900,850936022672867486,4,2,0
song****,1ulPr,"탄핵심판은 형소법준용 혀소법은 공판중심주의
그러나 헌재재판관은 공판중심주의위반 이게 재판이냐 답정너  해놓은 개판이지",True,1,2025-02-10T21:26:28+0900,850946395723530423,2,0,0
jbo1****,,,False,1,2025-02-10T18:16:52+0900,850934181725733170,0,0,2
gaep****,,,False,1,2025-02-10T18:34:35+0900,850935322727416041,0,0,4
link****,1Klxc,내란수괴 윤석열 놈을 어서 총살해야,True,1,2025-02-10T19:38:17+0900,850939426149236842,4,3,1
gong****,9bxMS,합법적 계엄이고 당당하고 아무 문제가 없고 심지어 아무 일도 없었다면서 재판관이 누가되던 법원이 어디든 무슨 증거를 가져다 쓰던 상관없는것 아닙니까?ㅋㅋㅋㅋㅋㅋㅋ 깜짝쑈의  문제없는 계엄이었다면서 대체 뭐가 무서워서 이러는지?,True,1,2025-02-10T18:42:24+0900,850935826563989629,4,3,2
choi****,2XDYx,계엄직후 내란몰이에 넘어가 허언한걸 증거로 삼는다고? 그러면 국민중 누가 승복하겠냐.,True,1,2025-02-10T19:24:10+0900,850938517059010605,2,1,0
acco****,3sjVH,재판관 나리들이 법을 어깁니까요?  .하이고 그런 판결이 내란이지,True,1,2025-02-10T18:46:01+0900,850936059364638731,2,1,0
licj****,2cf8EK,헌법재판소 전혀필요가없다,True,1,2025-02-11T05:54:51+0900,850979148842139728,1,0,0
wake****,,,False,1,2025-02-10T22:21:30+0900,850949941789458605,0,0,0
coff****,,,False,1,2025-02-10T20:30:34+0900,850942794410229949,0,0,1
