user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
fire****,1k2cJ,"아청법 형배방, 불법투기 이미선 같은 애들이 남아있는데 무슨 놈의 심판",True,1,2025-02-14T17:16:50+0900,851301399080730928,207,59,11
wjdg****,cqsP5,여긴 ai 목인들밖에 없으니 생각이란게 없네 ㅋㅋㅋ 아니 형사재판 있어갖고 출석해서 변론하기도 바쁜데 여건 안따지고 그냥 20일로 밀어붙이는게 비정상 아닌가? 니네 수령님은 2년도 끌었잖아 ㅋㅋ,True,1,2025-02-14T17:42:08+0900,851303028584611893,116,22,5
isll****,gTd3,인권위 권고 받아들여야겠지?방어권 보장 해야지,True,1,2025-02-14T17:40:32+0900,851302926042267851,101,25,8
78mi****,2jhAP,ㅋㅋ 좌파들이 우파들보고 중국 북한으로 가라고 하네요  ㅋㅋㅋ 아전인수 작반하장이 장난아님 ㅋㅋㅋ,True,1,2025-02-14T16:45:45+0900,851299395780477267,68,18,11
dhs5****,3OJ1U,"아 중국인좀 쫒아내라 제발 여기가 한국인지 중국인지
유학생들이 왜 뉴스댓글을 점령하노 구속심사 있으니 미뤄달라는데 상식이 아예 안통하는 한글 모르는것들이 댓글다네",True,1,2025-02-14T17:45:32+0900,851303248080928994,47,3,2
dizz****,2bCOHj,재판이 하도 불공정하니까 인권위에서도 대통령 방어권 보장하라고 권고까지 했는데 20일에 일정이 겹치니 당연히 연기해줘야지,True,1,2025-02-14T18:01:15+0900,851304260149706841,14,2,1
leej****,7G6X,",압색하면 ip주소 다 나온다. 책임 못질 댓글 달고 후회하지 말아라. 심판의 시간이 곧 다가온다. 중공에 있는 아해들은 예외. 
지우고 튄다고 사라지지 않는다. 네 눈에만 안 보일뿐!",True,1,2025-02-14T17:32:55+0900,851302434989932886,16,5,1
cher****,,,False,1,2025-02-14T20:29:06+0900,851313785632194594,0,0,0
kms0****,6A1AE,꼭 니가 안나와도된다.. 대통령씩이나 했던놈이 부끄러운줄도 모르고 꼬박꼬박 나와서 헛소리하냐.. 자존심이나 좀 있어라.. 어디서 조작질이냐.. 개검때 하던짓을..,True,1,2025-02-14T21:35:41+0900,851318074626801860,4,0,0
mikg****,dT3vJ,"어차피파면인데~~
구질구질 하게  뭐하는짖인가~?",True,1,2025-02-14T18:47:05+0900,851307213090717719,5,2,0
