user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
loel****,7Dngi,"내란 동조죄로 탄핵 시켯는데 200정족수도 안채우고. 

내란죄를 없애니 이게 무슨 탄핵이 가당키나 한 소리냐?? 

진짜 적당히좀 해라 어이가 없어서 복장이 다 터진다ㅋㅋㅋㅋㅋ",True,1,2025-02-19T16:17:19+0900,851761420444893338,28,13,2
jjun****,6mXpw,"54일만에 첫 변론...  것도 1시간 30분만에 종결.
  행배쿤 장난해?",True,1,2025-02-19T16:33:41+0900,851762475027136799,12,2,3
inhw****,25V6A,진짜 부끄러운줄 모르나? 총리 탄핵사유가 맞냐? ㅋㅋㅋ 지나가는 개도 안 웃겠다,True,1,2025-02-19T16:32:10+0900,851762377668952145,6,1,0
ojh5****,3sr6A,더불어탄핵당의 무리수가 곧 밝혀질것이다.,True,1,2025-02-19T16:36:45+0900,851762673249943866,1,1,0
tech****,2rJXI,불합리한 총리 ! 불합리한 인간 !,True,1,2025-02-20T15:12:04+0900,851849988190240794,0,0,0
kwon****,1G2Kg,착한 중국인은 오직! 죽은 중국인뿐임!!!! 헌법재판소야~~ 착해져라!!!!,True,1,2025-02-19T21:04:27+0900,851779919103918248,0,0,0
yuky****,,,False,1,2025-02-19T20:50:22+0900,851779012228284546,0,0,0
leew****,,,False,1,2025-02-19T16:31:53+0900,851762359365009788,0,0,0
d143****,8kQpG,입 달렸다고 말을 잘 한다,True,1,2025-02-19T16:28:08+0900,851762118142197805,3,4,0
rran****,5jRXL,한덕수 내란죄 ㆍ국무총리가 내란 을 눈감고 모른척한거는  중죄에속한다 내란죄가확실하다 ㅡ  권한대행때에도  특검수사를 계속 거부한것도  직무유기!!! 처벌을 쎄게 때려야합니다,True,1,2025-02-19T18:33:07+0900,851770169628819494,1,2,0
dukh****,wcsX,대통령 권한 대행이면 본인이 판단도 할 줄 알아야지 재판관 임명 하나도 못해서 국회에 다시 넘기고 시간만 질질 끄는 허수아비 같은 사람이 국무총리 자리에 있을 필요가 있나? 차라리 한동훈 전 대표가 국무총리하는게 낫겠다.,True,1,2025-02-19T16:35:16+0900,851762577619812458,1,2,0
yhle****,,,False,1,2025-02-19T23:48:13+0900,851790470144065598,0,0,0
grem****,3Thbf,헌법53조에 따라 대통령이 거부권을 행사하면 국회는 200석으로 의결하면 거부권을 무력화 할 수 있다. 결국 헌법재판관 임명은 여야합의를 통해 임명할 수 있는 것이다.,True,1,2025-02-19T22:13:48+0900,851784387295969548,0,1,0
ejsl****,,,False,1,2025-02-19T16:59:56+0900,851764166539608397,0,0,0
shba****,351Rz,"넌 대행때 나라를 위한 모든 특검 거부하고,헌번 재판관 선임도 거부하고, 특히 채상병 특검이건 의료 대란때 너가 했던 언행에 반성하고 그에 합당한 벌을  받아라!!",True,1,2025-02-19T16:31:24+0900,851762327874175166,2,4,0
chik****,2n6HV,행배야 !! 부끄러운줄 알아야지 ~~,True,1,2025-02-19T16:50:27+0900,851763555614064839,0,2,1
