user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
artp****,1vStE,내란죄 수사권이 없는 공수처가 절차를 무시하고 불법적인 영장청구와 조작된 가짜영장으로 국민이 선출한 대통령을 강제로 체포한 상태에서 민주당 의원들의 증인에 대한 회유가 들어났음에도 헌재의 탄핵심판이 좌편향 인사들에 의해 강제적으로 이루어지고 있다는 것은 법률이 정한 절차적 정당성이 훼손된 것으로 더이상 위법적인 국가권력에 대해 신뢰할 필요가 없어진 것입니다. 따라서 국민들은 국민저항권을 발동 불법을 저지른 자들에 대한 단죄가 이루어져야 합니다. 헌법에 따라 대한민국의 주권은 국민에게 있고 모든 권력은 국민으로부터 나오기 때문입니다.,True,1,2025-02-23T06:33:32+0900,852094895798616116,279,117,19
dmsw****,4bO4n,"윤석열 대통령이 왜 계엄을 했는지 좀 똑바로 봐라 
이 내란당 꼴통들아 중국 공산당에 나라 넘어가면 그땐
너네들 지금 누리는 자유 못 누려. 태어날때부터 공산당나라에 살았던 중국인들은 그 삶에 불편함을 크게 못 느끼지만 우린 다르다. 자유를 공기처럼 누렸던 우리가 중국 공산당 치하에 살 수 잏겠냐! 으이구 꼴통들",True,1,2025-02-23T07:09:35+0900,852097218839052344,191,86,18
el_j****,6p1Q7,2025년 대통령 납치사건 계엄 아니였음 나라 그냥 중국에 넘어가서 제2의 홍콩 됐겠지 공안들한테 시위 진압 당하는 거 봐라 그나마 중국에 저항하던 민주당도 해산되고 윤통 못 지키면 우리나라도 그 꼴 나지 뭐 ㅎ 민주당 지지자들은 그 때 가서 후회하려나? 아니면 그냥 포기하고 중국 속국 돼서 검열 배급 받으며 살려나...ㅋㅋ,True,1,2025-02-23T07:56:54+0900,852100267225645164,101,43,10
gipi****,FPYE,대통령 다시 돌아와서 우리들 그리고 국제인권 무리들  사법부에서  내 보내고  화교들이  특권을 누리는 모든것  정상화 시켜 주시기 바라며  민주당  내란  동조세력들 처단하고  군  경찰  정보부내  좌북 정보부력 척결해 주시길,True,1,2025-02-23T08:13:32+0900,852101338333446204,55,28,4
gs53****,,,False,1,2025-02-23T07:53:06+0900,852100022177628177,0,0,7
sksk****,3sUfe,지긋지긋하다  속히 사형해라.,True,1,2025-02-23T08:33:50+0900,852102646654304389,25,13,0
samy****,1Ddg0,헌재재판관들은. 들어라. 구국에영웅이되려면. 탄핵기각하라. 국민의염원이다!….,True,1,2025-02-23T08:47:10+0900,852103505144447005,16,7,0
rkfl****,38B7U,"멸공!!! 윤대통령님 빨리 돌아와주세요!
CCP OUT STOP THE STEAL
중국인 조선족 화교 친화적인 모든 정책에 강력히 반대합니다",True,1,2025-02-23T07:56:37+0900,852100248904925266,12,5,0
eden****,EWsF,솔직히 헌재를 나는 신뢰하기 어렵다. 자기는 대본에 적힌 대로 말하고 있다는 발언도 어이가 없고 황당하다.,True,1,2025-02-23T09:11:09+0900,852105050711916582,11,4,0
swat****,2cF3X,탄핵반대,True,1,2025-02-23T11:00:10+0900,852112074006855714,7,1,0
bubh****,47KEW,탄핵 무효,True,1,2025-02-23T09:09:52+0900,852104968184791199,8,3,0
spho****,1L2AV,이재명은 3심을 몇년째 질질끌고 윤석열은 단심에 초고속으로 끝내네 ㅠ,True,1,2025-02-23T07:42:14+0900,852099321661751328,8,3,1
seog****,1Jiyh,이런뉴스는 보기도 징글징글하다 하루빨리 단1초라도 빨리 쿠테타세력 수거하고 새롭게 안정된 나라세우고 동조세력 철처히 척결시키고 앞으로 재발방지를 위한 원천적인 법리 재정비하라,True,1,2025-02-23T08:19:58+0900,852101753032671394,6,2,0
rlaw****,cRUi2,공수처 오동훈 윤대통령 한마큼 똑같이 피를말려 구속시켜 사회와 격리시켜야 한다,True,1,2025-02-23T08:52:11+0900,852103828441399320,5,1,0
jhw7****,SVwS,본인은 죄가 없고 부하들만 죄가 있다는...숨쉬는거 빼고 모든게 구라인 10썩열은 사형이 정답입니다!!!,True,1,2025-02-23T08:41:50+0900,852103162134265989,12,9,0
hope****,1wUH5,좌파공산무리들의 사기탄핵,True,1,2025-02-23T08:16:05+0900,852101502632722447,4,1,0
qeen****,,,False,1,2025-02-23T07:58:32+0900,852100372452343884,0,0,1
past****,2ZaoC,"현재 중국이 외국에 대해 구사하는 전술을 소위 ‘초한전(超限戰)’이라고 명명하고 있다.초한전은 중국 공산당이 전세계를 상대로 전개하는 새로운 전쟁으로서,세계 패권 장악이라는 대외전략을 달성하기 위해 “수단과 방법을 가리지 않고 상대방을 무너뜨리는 무제한의 전쟁”이다.쎄쎼 리짜이밍&amp;프럼프보다 중국 시진핑을 알현 굴종한 우원식~중공인 의혹의 이진 헌재 공보관 뿐만 아니라.헌법연구관 ""오훤""은 아버지가 북한인이며 어머니가 중공인이라고 합니다.오훤은 중공에서 출생하여 한국 국적을 취득했으며 한가지 명확한건 중공 북한과 밀접한 관계가 있다.",True,1,2025-02-23T10:12:29+0900,852109001393963131,4,2,0
youn****,34SiL,박근혜는 바로 하더만 너무 특해 많내,True,1,2025-02-23T11:00:35+0900,852112100229644442,3,1,0
stoc****,2xt10,"형배야
동네반장선거하냐?",True,1,2025-02-23T09:40:58+0900,852106971317272786,3,1,0
chna****,,,False,1,2025-02-23T08:24:01+0900,852102014438473730,0,0,0
dlaq****,3tEXJ,윤대통령 복귀 한다,True,1,2025-02-23T09:06:49+0900,852104771572596887,2,0,2
looz****,csT0z,"3월 14일 파면선고,   5월 13일(화)  대선",True,1,2025-02-23T08:28:41+0900,852102314297655404,33,32,3
nova****,xezs,어찌 저짝들은 뽑는족족 파면아니면 구속일까.. 그런인간들이 뽑히는걸까 아님 멀쩡한인간도 저짝당에 들어가면 저리 변하는걸까.,True,1,2025-02-23T08:34:34+0900,852102693479514209,7,6,0
dha2****,7StfQ,하루빨리 탄핵하고 내란우두머리 무기확정,True,1,2025-02-23T08:30:39+0900,852102441468952673,5,4,0
unch****,59OEs,석열이는 말 할수록 자기 발등찍는 말만 계속 할거다. ㅋ,True,1,2025-02-23T10:35:50+0900,852110505823699120,4,3,0
yblu****,,,False,1,2025-02-23T10:21:16+0900,852109567692111943,0,0,1
jiun****,30eGh,"김대중,,노무현,,문죄앙 정권,,전과4범 다중범죄자 이죄명과 내로남불 범죄자 집더불어범죄당 이,,만들어 놓은 국회 와사법부재판관들헌재는, 민노총  군대 까지도, ,민주 를사칭한 공산국가 이념을가진 진보라는인간들로 염색 된지,,오래다!,,,,! 그중,악질중의악질은  추잡하고 비열한거짓말 과 입바꾸기의 마왕  진실이 전혀 없는 패륜 아이죄명과,,전라와호남 인간들 범죄자 다수의 현재의 더불어범죄당 이다!",True,1,2025-02-23T10:19:16+0900,852109438775984188,3,2,0
good****,65Zk4,"ㅋㅋㅋ 추잡하고 리더쉽도 없고 
부하를 방패삼고 희생시키는 가장 더라운 인간",True,1,2025-02-23T09:07:12+0900,852104796268658718,3,2,1
kpyo****,3H0NX,입만 열면 줄출이 거짓말 무제한 배설,True,1,2025-02-23T12:52:43+0900,852119324800843942,2,1,0
dali****,3Pw3U,헌재는 즉각 기각하라,True,1,2025-02-23T10:26:14+0900,852109887465848913,2,1,0
ehfi****,1vHNl,"■2024년 11월 ※한미상호방위조약 3조 수정----&gt; 트럼프 대통령과 미국이 작금의 사태에 언제든 개입 가능한 상황----&gt; 윤통 복귀와 한미대통령 공조----&gt;■이죄명과 더불어공산당, 국회, 공수처, 국수본, 검찰, 경찰, 군, 국정원, 법원, 헌법재판소, 언론(MBC,JTBC,YTN...), 여론조사업체, 시민사회 등등에서 암약하던 ※※반국가세력들 일거에 모두 체포하여 처형 or 관타나모 수감...",True,1,2025-02-23T10:05:06+0900,852108525743112225,2,1,0
peac****,8Sx4t,"12.3 전세계인들에게 실시간으로 현장 생중계되었는데, 굥똥 모지리가 검토하고 직접 발표까지 한 계엄포고문도 있는데, 많은 현장 군 지휘관들의 굥똥 모지리의 반헌법적인 명령을 증언하고 있는데, 이외 다수의 반헌법적인 인권탄압을 즌비했던 증언들이 있는데~!!!!!!! 이 많은 증거들을 보면서도 굥똥 모지리를 지지하는 타락한 개독 먹사들과 그 추종자들은 하루 빨리 정신병원에 가 봐라!!! 멍청한 이단놈들!!",True,1,2025-02-23T08:22:28+0900,852101913909395520,2,1,0
mihu****,,,False,1,2025-02-23T21:06:31+0900,852151138093367439,0,0,0
remi****,1xz72,댓글도 중국공산당이 열심히 달고있게ㅉ지,True,1,2025-02-23T20:32:59+0900,852148977104060709,1,0,0
lyka****,,,False,1,2025-02-23T17:01:31+0900,852135353300025492,0,0,0
y332****,1HjXa,공산당들이 제일 무서워하는게 극우다.우리는 극우가 되어야 한다,True,1,2025-02-23T13:13:00+0900,852120631376871427,1,0,1
room****,1clMX,"새로운 말이 있겠나? 머리가 없는데..야당 탄핵남발,부정선거,애국청년,유튜브,법치부정,남탓을 두서없이 씨부리다 끝날듯.",True,1,2025-02-23T13:00:44+0900,852119841790754992,1,0,0
envy****,175wy,탄핵 무효!! 대통령 복귀!!,True,1,2025-02-23T11:05:39+0900,852112426932371599,1,0,0
804j****,5pj0r,지가 메세지는 무슨 메세지 !,True,1,2025-02-23T10:47:21+0900,852111247963848787,1,0,0
dogg****,b0QDG,공소처 오동운이랑 헌재.. 선관위가 법정에 서야되는거 아님?,True,1,2025-02-23T10:46:57+0900,852111222563143906,1,0,0
fbwp****,7yzg,무제한 헛소리  억지 구라 만 쳐대겠네,True,1,2025-02-23T10:44:50+0900,852111086332149962,1,0,0
iqua****,9WrN7,우리의 현명한 국민들이 나섰기에 국민들은 자유를 누리는 것이다. 그렇지 않았으면 벌써 공산화의 길로 들어서고 있을게 명약관화할 것이다. 우크라이나에 체포된  북한병사들을 대하는 민주당의 행태를 보면 그들의 정체를 쉽게 알 수 있다.,True,1,2025-02-23T10:41:28+0900,852110868916207722,1,0,0
king****,1iswt,최악의 최악의 대통령....,True,1,2025-02-23T09:41:25+0900,852107000375410784,1,0,0
moca****,,,False,1,2025-02-23T09:37:28+0900,852106745982484565,0,0,0
ctrl****,ruvs,"이런 희대의 사기꾼에게 무슨 말을 들으려고 기회를 또 주는가? ""입벌사""라고 입만 벌리면 사기인데 그 때마다 국민은 혈압이 오른다. 지금까지 확인된 사항만으로 법과 원칙, 양심에 따라 판결하라. 자꾸 시간을 줘봐야 물에 빠진 잡귀들의 생존을 워한 최후 발악의 고성만 가득찰 뿐이다. 도리도리 &amp;쥴리 사바하!",True,1,2025-02-23T09:02:56+0900,852104521508192427,1,0,0
tlst****,,,False,1,2025-02-23T09:02:24+0900,852104486812909629,0,0,0
youn****,cEyd,윤석렬메시지  뻔하죠  본인과 김건희를 위해 반대파를 제거하려고 계몽한거다   ~~토리,True,1,2025-02-23T08:58:49+0900,852104256042303629,1,0,0
inte****,2s0gP,얘는 헌정사 최초로 하는걸 다 해보는구나~,True,1,2025-02-23T08:10:50+0900,852101164940918910,1,0,0
meon****,1y8Zo,"일장춘몽 화무십일홍 이라
 배신자는
내부 배신자집단 음모에의해서
 역시
버림밨고
 쓸쓸히 뒤안길로 사라지는것이다",True,1,2025-02-23T07:20:05+0900,852097895531282438,1,0,0
misa****,20B5s,저런 개종자 한 마리에게 무슨 변론의 기회를 더주나 빨리 끌어내리고 교수형이 답이다,True,1,2025-02-23T06:54:12+0900,852096227775348752,10,10,0
ss51****,4lIZc,국민을 분열시키고 갈라치기한 한죄는 용서해서는 안된다. 사형,True,1,2025-02-23T08:06:15+0900,852100869729026078,6,6,1
hear****,,,False,1,2025-02-23T09:58:43+0900,852108114818760861,0,0,0
miru****,1jVEJ,일부 극우들은 자기들 의견이 국민을 대변한다고 착각함.  그럼 내가 모든 중도를 대변하고 진보는 모든 진보를 대변하겠네 . 나는 탄핵찬성임. 진보도 마찬가지일테고. 국민 70프로가 탄핵찬성임. 얼른 탄핵심판하고 재선거 해야함.,True,1,2025-02-23T09:49:11+0900,852107500370001958,3,3,0
ps18****,c6U1,"인품도 훌륭하고 똑똑한 애국자 윤석열대통령은 죄가 없습니다,,,,모든책임은 175석 국회과반이상의석의더듬어만진당의 입법독재,예산독재,장관 판검사등 29회 탄핵 의회 민주주의 폭거로 국정방해등으로인한
식물대통령으로 만들어 헌정질서 유지를 위한 불가피한 강도높은 통치행위 구국의 비상계엄선포는 정당했고 아무런 법적인책임 없어 무죄로서 즉각 석방하여 대통령실로 복귀시켜야 나라가 안정이 되어 국민이행복해 짐니다,,",True,1,2025-02-23T17:31:52+0900,852137309171089608,1,1,0
life****,Ince,"개소리 시전이나 하겠지. 파면 후에는 수괴는 내란 재판, 김박사는 주가조작으로 시작해서 국기문란지 수사와 재판이 시작되겠지. 잘들가시게. 인과응보",True,1,2025-02-23T17:05:42+0900,852135623446757553,1,1,0
hugn****,9yoQf,역사상 최악의 대통령. 지난 3년간 국격과 국력이 얼마나 망가졌는지 봐라!,True,1,2025-02-23T16:28:47+0900,852133244672409814,1,1,1
ymj0****,2oI5w,진짜 지겹다 빨리 끌어내리고  대선가자,True,1,2025-02-23T13:04:11+0900,852120063082233896,1,1,0
ghj9****,1dO3y,죽기 직전이니 발악을 해보는거지 ㅋ,True,1,2025-02-23T12:24:51+0900,852117529168969912,1,1,0
badb****,,,False,1,2025-02-23T11:46:58+0900,852115088755130602,0,0,0
qhae****,7JE5S,사형시켜라,True,1,2025-02-23T11:04:52+0900,852112376248402128,1,1,0
myeo****,,,False,1,2025-02-23T11:03:55+0900,852112315028340955,0,0,0
vvxx****,2mou9,"입만 열면 거짓말. 최종변론에서 또 얼마나 거짓말을 해댈까. 어차피 탄핵은 빼박인데 들을 가치도 없다. 지 살라고 다른 사람한테 죄를 뒤집어 씌우는 비굴한 놈. 김건희가 지금 국민세금으로 굿을 하는 모양인데 암만 굿을 백번,천번 해봐라.신도 인간말종은 돕지않아.국민죽이려 했음 그 죗값 받아라",True,1,2025-02-23T10:50:52+0900,852111474942804171,1,1,0
ace7****,8VS3z,여기또 중국산 댓글부대들 나타나셨네.... 이젠 딱 봐도 니들인줄 알겠어.,True,1,2025-02-23T10:43:49+0900,852111020599017670,1,1,0
kwon****,1029P,"빠른 탄핵, 빠른 사형선고, 빠른 집행, 끝!!",True,1,2025-02-23T10:36:43+0900,852110563050782900,1,1,0
envi****,O8cF,룬써글이 23시간 50분 혼자 떠들려면 소주 한짝 갖다놔라,True,1,2025-02-23T10:35:59+0900,852110515588038865,1,1,0
yks1****,w3Rb,그냥 죄값받어,True,1,2025-02-23T10:28:59+0900,852110064515809507,1,1,0
aaaz****,65ZwI,이나라를. 위해서는  탄핵이 답이다!!!,True,1,2025-02-23T09:26:26+0900,852106034930516056,1,1,0
hy66****,,,False,1,2025-02-23T09:16:51+0900,852105417646407852,0,0,0
juo6****,,,False,1,2025-02-24T07:08:43+0900,852189934633615463,0,0,0
jsj0****,bHy8H,반국가세력 관타나모행 ㄱㄱ,True,1,2025-02-24T02:22:42+0900,852171507932069944,0,0,0
kdy2****,1qWQq,"직무배제된 문상호, 2번이나 진급 누락으로 전역 앞둔 곽종근, 성추행으로 불명예 퇴역한 노상원. 이런 무능한 군인들 약 쳐서 내란에 이용해먹은 더러운 대통령 주제에 복귀한다고? 온통 부정을 일삶는 공정함이란 찾아볼 수 없는 부부 사기꾼들.",True,1,2025-02-24T00:32:37+0900,852164415162679425,0,0,0
ujbe****,,,False,1,2025-02-23T22:05:29+0900,852154936656396458,0,0,1
82yk****,,,False,1,2025-02-23T22:02:04+0900,852154716858089488,0,0,0
jogo****,1zmb5,내란 수괴는  개작두형으로  처단하고ㅡㅡ주요 종사자들은  삼족을   멸하라ㅡㅡ포청천,True,1,2025-02-23T19:46:33+0900,852145985726447725,0,0,0
busa****,,,False,1,2025-02-23T17:35:21+0900,852137533767680117,0,0,0
chuc****,35cZE,"주요언론사 방송내보내지 맙시다
국민건강관리차원",True,1,2025-02-23T17:28:02+0900,852137061673598990,0,0,0
mh36****,2tlEF,배우자를 잘 선택해야한다는 교훈을 남기네  씁쓸하군...,True,1,2025-02-23T16:43:32+0900,852134195235913863,0,0,0
na89****,435Yd,빨리 좀 끝내고 경제 살리자 더이상 화면에서 보고싶지않아,True,1,2025-02-23T16:23:55+0900,852132931039133923,0,0,0
beam****,P6NA,저자슥 말이 그렇게 많다는데 디질때까지 나불대것네 ㅋ,True,1,2025-02-23T15:37:13+0900,852129923035299897,0,0,0
seon****,oCYi,"되도 않는 부정선거, 중국, 반국가세력 얘기 하다가 결국 노인네 일베 극우 놈들에게 살려달라고 빌다 끝나겠지. 제대로 된 문장 하나 완성도 못한 채.",True,1,2025-02-23T15:11:33+0900,852128269187678358,0,0,0
yysy****,7KQUI,"국민을 호도하고. 선동질하는  발언 이 대부분 일걸
아마 남탓. 야당탓  어쩌면 건희탓 하면 좋은대
한심한 대통령.  잘한게1도없는 무능하고 
남탓만 하는 내로남불격 이다",True,1,2025-02-23T14:52:34+0900,852127046480953480,0,0,0
prot****,167Qx,답은 댕 강 이다,True,1,2025-02-23T14:23:49+0900,852125193454223571,0,0,0
junj****,6ZGoU,망상에 빠진 비겁한 지도자가 무슨 메세지가 있겠냐?지겹다 빨리 끝내라,True,1,2025-02-23T13:50:00+0900,852123015452819458,0,0,0
csw6****,2Gf2e,죽기 싫어서 마지막 발악을 하는군,True,1,2025-02-23T13:14:54+0900,852120753682776278,0,0,0
heed****,1bdzt,반국가세력 처단해서 본인들이 공산당되려 함,True,1,2025-02-23T13:09:21+0900,852120396730728533,0,0,0
kona****,cdkPr,뭐 안들어봐도 뻔하지. 마지막 한번만 참으면 다시는 이상한 궤변 안들어도 되겠지요,True,1,2025-02-23T12:57:09+0900,852119610634272815,0,0,0
1dla****,,,False,1,2025-02-23T12:30:16+0900,852117877984067666,0,0,0
meto****,1l5FN,굥가리 변호사도 참 돈벌어. 먹느라. 속터지겠네ㆍㆍ하긴 살인범도 변호해야 하는것이 변호사지만ㆍㆍ여변호사 표정보니 애구 ㆍ저 드=응신 ㆍ하고 있네ㆍㆍㅉㅉㅉ,True,1,2025-02-23T12:28:47+0900,852117783025025229,0,0,0
miso****,1JfKG,"그동안,  노예로 살았던 것보다, 더 비참해진 것이고, 더 처참해 질 것이다.",True,1,2025-02-23T12:22:36+0900,852117384851357852,0,0,0
