user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
1040****,eI0c,"지금 대한 민국의 현실을 보여주는것같아  슬프다~
국민들의 감정의 골은 더 깊어질것같다.  문재인도..  윤석렬도... 지지층에 기대어 상대방에게 손내밀지 않았고.  이재명은 그 극단을 볼것같다~  우리나라가 생존하려면 국민화합을 우선으로  하는 정치인의 출현이 절실하다.  상대방을 존중하고 내가 틀릴수도 있다는 마음가짐이 필요할것같다.  지금 정치도 3류  국민성도 3류 아닐까?  이렇게 만든건 우리들이다.",True,1,2025-04-07T16:12:46+0900,856121378397487450,552,74,33
yuic****,3ltwn,음 분명 극좌가 폭력을 휘둘렀을거다,True,1,2025-04-07T15:01:07+0900,856116762414940215,1175,745,66
many****,1xtxQ,"대한한공직원에게  직접 들음. 극좌 기장이 좌편향 유투브 내용으로  이야기 시작. 부기장이 윤통 편을 들며 이해한다는 모드. 기장 흥분해서 난리침. 호텔 들어가서도 흥분 못가라앉히고 주먹 휘두르고 서로 치고 받고
좌파들은 어딜가나 자기가 옳은양 목소리 크게 내고 다른 의견은 적이라 생각함
보수는 의견 다르면 적보다는 안타까운 시선으로 그 사람을 바라보고 제발 정신차리라고",True,1,2025-04-07T16:30:03+0900,856122491733540889,746,327,37
nowh****,75BAR,"좌파면서 왜 대한항공에서 일하냐? 아시아나나 중국 항공사 가서 일하지ㅋ 돈은 벌고 자본주의, 민주주의 그리고 전 세계 돌아다니면서 누릴거 다 누리면서 좌파 공산주의 북한, 중국 추종하는 좌파를 지지하냐?ㅋ 먹고 살만하니깐 이상주의에 빠져가지고 앞뒤가 다른거봐라. 역시 좌파 내로남불은 과학.",True,1,2025-04-07T16:51:35+0900,856123879863615782,270,80,11
adam****,2b419,찬성한 놈 100000000000% 확률로 ㅉ ㅏㅇ ㄲㅐ,True,1,2025-04-07T14:54:29+0900,856116335132803311,280,178,22
ogc2****,1ZQeX,이런 부모 형제 아무리 친한 친구 지인 이라도 정치 고향 재산 이런건 이야기 하면 안되요,True,1,2025-04-07T15:38:40+0900,856119181488161107,42,0,0
wmel****,2zcQE,기장은 5060 좌파. 부기장은 3040우파.  똥팔육들 지들이 민주화 세대인줄 착각하고 민주당이 정의이고 민주주의인줄 안다. 북에서 내려온 남파간첩과 일당 종북주사파에 의해 집단 가스라이팅 세뇌당한줄 모르고 일본여행가고 자식은 미국보낸다.,True,1,2025-04-07T17:27:40+0900,856126203474477345,53,15,0
depp****,5KLwt,찬성한놈은 짤라야지 배급받고 살자,True,1,2025-04-07T14:55:47+0900,856116419085992279,91,61,4
jeju****,44sSy,사기탄핵 윤 어게인,True,1,2025-04-07T15:28:17+0900,856118512983212178,29,6,0
mrch****,58Bxj,오늘 또 중국인이 수원 공군비행장 촬영하다 잡혔단다 처벌도 못하고 ㅋㅋㅋㅋㅋ,True,1,2025-04-07T20:42:07+0900,856138730971332660,23,1,2
qorr****,dEXbt,좌파는 논리적으로 설명을 못하니 .. 먼저 선빵을 날렸겠지..,True,1,2025-04-07T18:10:11+0900,856128942992523319,27,6,4
aidi****,2ei0y,"탄핵이 인용되고 폭력 사태 없었던 이유는 전혀 예상치 못한 결과에 모두가 뒤통수 맞은듯 허무 황당 허탈 분노 대한민국의미래에대한두려움 등의 감정으로 감정을 추스릴 시간이 필여헤 그런것이었지만, 내 좌파동생한테 들어보니 탄핵 기각이었으면 좌파들은 전쟁 일으키려 했다며? 너희의 폭력성이 어디 가겠냐, 점잖은 우파 좀 보고 배워라 좌들아. 하긴 민노총만 봐도 그게 깡패 조폭 집단이지 ㅉㅉ 그런걸 뒷배 삼는 민주당이며 좋다고 하는 좌파들 하며 ㅉㅉ",True,1,2025-04-07T17:34:24+0900,856126637517832361,29,10,4
byun****,7qCUg,20년된 모임도깨졌다 정치색이 다르다고 길길이뛰고 난리치더니 개딸 둘이 나갔다 너~~무 너무너무 좋아서 우리끼리 여행간다,True,1,2025-04-07T18:22:38+0900,856129745664868577,20,1,4
soul****,3gfR0,이제는 같은 국민이라고 생각안한다. 우파들도 이제는 좌파를 사람으로 안봐 좌파는 안변해 계속 그래왔고 앞으로도 그럴거고 선 너무 쌔게 넘었어,True,1,2025-04-07T16:25:44+0900,856122214188056929,32,15,3
loll****,23d2c,"문재인이 망친 나라 정말로 심각하다 
정치, 성별, 지역, 직업 기타등등 갈등 조장하여 편 가르고 
싸우는 이 상황 징글징글하다 
찢이 대통령 되어 사법 입법 행정 모두 장악하면 난 진심으로 탈 조선을 위해 최선의 노력을 다 할것이다 내 새끼들 키울 나라가 못된다",True,1,2025-04-07T20:15:11+0900,856136996307861580,18,2,4
ykss****,3g9iI,한놈이 전라도놈이구만,True,1,2025-04-07T16:11:08+0900,856121272952684603,31,17,2
skdy****,hjcA,기장이 입원한거보니 태극기노인이 객기부리다 젊은 부기장한테 맞고 입원했네,True,1,2025-04-07T15:07:32+0900,856117176023646467,175,162,18
tlfk****,5ruCr,왜 싸우나 윤석열보다 이재명이 더나쁘다,True,1,2025-04-07T18:24:46+0900,856129882852163915,21,8,1
ctda****,,,False,1,2025-04-07T18:53:01+0900,856131702542565384,0,0,1
