user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
benz****,74rMr,내란동조 뿐만아니라 뒷통수치기 권력에 줄서기 간신배 등극,True,1,2024-12-11T11:09:33+0900,845247602311037188,72,11,2
come****,3Entf,"참 이상하네. 이재명이 자기를 수사한 검사를 탄핵하고, 유죄가 되게 한 법조항을 삭제하려 하는 것 정도는 민주주의의 위기가 아니라고 생각하셨나?",True,1,2024-12-11T11:25:56+0900,845248657816027601,81,53,8
juns****,au1q9,"엘리트 의식은 문제 있지만.엘리트 자체는 문제 없다. 당신도 축구 엘리트잖아. 
기득권도 문제 없다. 기득권을 얻기 위해 노력했으니까. 기득권을 유지하려고 불법을 저지르는 것이 잘못된 것.",True,1,2024-12-11T11:09:55+0900,845247626268901767,18,12,2
anyu****,EZ0B,권력때문에 내란했다고?ㅎㅎ 군이한게먼지 모르나바?부정선거서버복사그리고 국회의원들 다들어가서 표결하게해줬는데 참 겉만알고있는 선동에 빠져서는,True,1,2024-12-11T13:03:42+0900,845254956955992398,10,4,0
hjab****,33nFE,역시 연예인이고 나발이고 전부사상검증 시작되었네ㅋㅋㅋ빨리 정치색보여서 이름알리고 좋네ㅋㅋㅋㅋ,True,1,2024-12-11T11:27:09+0900,845248736618610761,7,2,0
tjdr****,iXkR,"왜 이재명,조국의 치부에 대해서는 입 뻥끗 못 하면서 쯧쯧
이때다 주목 받고 싶냐? 윤석열,이재명,조국 모두 대한민국 국민들을 위해서 OUT되어야 할 인간들이다.

국민의힘 의원만 쓰레기냐? 더불어민주당 의원들은 폐기물 아니니?",True,1,2024-12-11T11:13:42+0900,845247870360617309,46,42,4
doom****,6lkft,그래 짧게살았는데 뭘 알겠나.. 좀 더 크렴~~!!!  옳고그름을 물결타지말고. 정직하게 살면 보여요!!  김정은을 모시는 어리석은 개가되지말길,True,1,2024-12-11T11:18:42+0900,845248191761744198,24,20,0
chro****,2vAk2,진짜 팬이라면 치욕스럽니 뭐니 하기보다는 과오를 바로잡으라고 해야 맞는 것이죠,True,1,2024-12-11T11:24:13+0900,845248547723935851,4,0,0
hoho****,aVQbG,케이리그2면... 그냥 중소기업 수준이네.. 이걸로 한번 유명세 타볼라하는게보인다,True,1,2024-12-11T11:18:02+0900,845248149315387408,6,3,0
6118****,3w4wV,탄핵에 반대하는 것도 소신 아닌가 자신과 다른 답을 한다해서  비난 할 이유가 있나?  내란을.적용하려면 민주당에게 적용해야한다.,True,1,2024-12-17T02:08:01+0900,845769342741118978,3,0,0
yash****,2MY3n,무식한 사람이 이념을 가지면 무서움,True,1,2024-12-11T13:06:29+0900,845255136539312362,3,0,0
bcck****,KQTf,축구 한가지나 똑바로 잘하지   읏음 나오네,True,1,2024-12-11T11:24:05+0900,845248539402436648,12,10,0
ujoo****,m6P3,아주 꼴값하는구먼,True,1,2024-12-11T11:21:55+0900,845248399077802402,4,2,0
worl****,2cVkM,"아는게없는 임민혁!!!! 모르면서 무지하면 차라리 아닥하고 있어..좌파가 자랑할짓이냐? 니가 훗날 가까이에있는 인간때매 배신당할날 , 똥인지 된장인지 맛봐야 아니?  공부좀 해라. 그리고 윤석열대통령님 연설 들어봐라..초등학생도 이해할거다..",True,1,2024-12-17T15:41:01+0900,845821719682744335,2,0,0
ezi0****,4q96I,뭘 알고 떠드는 거야 무식한거 동네방네 자랑이네,True,1,2024-12-11T15:00:23+0900,845262474256056493,2,0,0
p644****,3uHnQ,간신이야,True,1,2024-12-11T11:30:36+0900,845248959134826741,2,0,0
hone****,2qJr5,축구나 해라 민혁아 민주주의가 뭔지도 모르는게 감정만 앞서노 의회독재는 무슨말인지 알긴하냐,True,1,2024-12-11T11:30:14+0900,845248934673645676,4,3,1
dkdl****,qrq5,코미디하고 있네 축구도 못 하는 것이 말 본새없고   참  웃긴다 왜 이재명이가 위대하다고 말하지,True,1,2024-12-11T11:28:29+0900,845248822685728987,4,3,0
lims****,4gBIq,그냥 관종,True,1,2024-12-11T12:50:07+0900,845254081285980227,2,1,0
ache****,5QqvX,종북좌파 축구선수라고 자살골 넣냐,True,1,2024-12-11T11:16:07+0900,845248025549865014,2,1,0
wkso****,3FYmu,오지랖이 헤드트릭이네. 너도 찢이냐?,True,1,2024-12-11T11:15:00+0900,845247954011815937,2,1,0
save****,2ccsK0,얜 누군데 튀려고 발악하지?,True,1,2024-12-17T22:06:30+0900,845846553686966483,1,0,0
tjgk****,1Ffu4,모야 저듭보는 ㅋ 축구선수 사겨봤는데 겁나 무식함,True,1,2024-12-16T21:55:35+0900,845753079562240249,1,0,0
phu8****,,,False,1,2024-12-16T12:28:36+0900,845716552140456233,0,0,0
kilo****,eOPTn,종잇장같은 열팍한 지식으로  축구선수나 열심히  해라. 조정훈의원이  너같은 견~을 알고지내주신 것도 평생 감사해라. 암것도 모르면서 입만 산 견~아,True,1,2024-12-15T16:17:13+0900,845638509397016643,1,0,0
jy02****,3Yfid,마포구 의원이면 여의도까지 제일 빨리 갔겠다ㅋㅋㅋㅋㅋㅋ,True,1,2024-12-11T18:55:39+0900,845277630843322613,1,0,0
lhj8****,3bHfO,그래도 작가 셔서 그런지 사고력이 깊으시네. 조정훈은 담 ㅈ동선때  마포서 꺼지길,True,1,2024-12-11T14:36:11+0900,845260915233259633,1,0,0
ecom****,H5e8,밥 먹은건 밥 먹은거고 앞으로 안 만나면 되지 뭐 저렇게까지 하나 싶었는데... 이거 알고 또 우루루 몰려와서 방출해라 축구 못하게 해라 등등 난리 칠까봐 선그은건가 싶기도 하네요... 참 사람들 못됐어.,True,1,2024-12-11T13:03:50+0900,845254964975501715,1,0,0
kth5****,H7fG,임민혁 선수의 바른 마음과 뜻을 응원합니다!! 멋집니다!,True,1,2024-12-11T12:56:34+0900,845254496689848609,1,0,0
ksho****,3hCwd,너가 정치아냐 이제껏  공만차고 공놀이만  한것이  정치는 권모술수야 너 권모술수 할줄아냐,True,1,2024-12-11T11:35:31+0900,845249275251130606,1,0,0
skdn****,dyrkA,멋지다...임....민....혁....,True,1,2024-12-11T11:13:43+0900,845247871048483155,17,17,0
hwj6****,4M2xa,운동만하세요 정치논하지마세요  훌륭하산분 논하지마세요 그냥 후원안하사면 됩니다. 어려워서 아무에게나 후원요청하고 허리굽히는것이지  선생님에게 이런소리들으려고 허리굽히시는분아닙니다  금수저로 태어나셨으면  아주큰일하실분입니다  부탁드립니다 험담은 자제해주세요 갸인적 정치성향은 이슌산장균동성엎에서 해주세요,True,1,2024-12-12T11:14:13+0900,845340674336227446,1,1,0
saky****,cbcq9,이런 분이 많은  세상에  살고 싶습니다.,True,1,2024-12-11T11:51:27+0900,845250301781868762,1,1,0
69lo****,2Eqo7,운동선수들은 무식하다는 선입견이 있죠. 하지만 이 사람이 그 선입견을 깨주네요. 현역 국회의원과 맞서기가 쉽지 않았을텐데...응원하겠습니다.,True,1,2024-12-11T11:20:12+0900,845248289052819552,1,1,0
jels****,,,False,1,2024-12-11T11:06:06+0900,845247380415578150,0,0,0
jdh3****,27GaE,"운동선수 딴따라들 있는척 할려고..
쯧쯧",True,1,2024-12-18T16:50:05+0900,845918940428238893,0,0,0
slee****,5662o,다음 국회의원 선거때 투표 구걸하는 조정훈씨 모습 꼭 보고싶습니다. 마포에서 선거 유세시 당신이 부역자였던걸 리마인드시키도로 저두 노력하겠습니다,True,1,2024-12-18T16:44:55+0900,845918607434056110,0,0,0
qnft****,1zM7H,"최소한 부끄럽게 살지 않았다고라?
 그래 니말 맞지..그래서 남들도 그렇게 살면 안되지.
근데 조정훈 욕하기전에 혹시 법카로 쇠고기 사쳐먹은 재명이한테는 뭐라했니?",True,1,2024-12-18T13:13:33+0900,845904990374461688,0,0,0
knjs****,OWnM,민주당 공천?,True,1,2024-12-18T00:11:22+0900,845854598227820651,0,0,0
