user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lak1****,2w6R2,정치에 관심없던 아이들이 놀라고 부끄러워하게 만든 대통령부부,True,1,2024-12-11T09:13:35+0900,845240131735519460,260,26,7
chon****,3W3qh,김건희도 출국금지하고 수사해라!!!,True,1,2024-12-11T09:23:27+0900,845240767139020957,73,4,2
soay****,2c3yxS,내란죄 9수 돌대가리윤 국민속인 술집 쥴리18년 김명신 개명한 꽃뱀 하나가 철없이 떠드는무식한 9수 돌머리 배나온 18윤오빠랑 놀다 온갖 오빠들과 밤새 카톡질 여관주인 사기꾼엄마닮아 국민을 속이네 방송개진숙탄핵되도 국민돈월급받는다며 같은성괴들 얼굴학력 출신조작 대국민사기죄 세계영부인망신 우리세금 청화대 무당 명태천공 석유사기돈 세계 여행비 귀싸대기터지기 전에 국민생활고 25만안주고 니여행비국민세금으로 대야되니?세계여행경비600억 술집쥴리농단 꽃뱀거니와 구속해라 이건희회장님존함더럽힌다 여론조작 당선무효 북한시비전쟁말고 탄핵이다,True,1,2024-12-11T09:23:56+0900,845240798092984661,68,9,4
kymj****,,,False,1,2024-12-11T09:27:05+0900,845241001667723295,0,0,0
inye****,,,False,1,2024-12-11T09:15:15+0900,845240238958706783,0,0,5
into****,eVLA,탄핵 반대하는 목소리도 취재해 주세요 탄핵 찬성만 국민입니까? 공정하게 합시다,True,1,2024-12-11T11:17:08+0900,845248091215888447,9,3,0
wand****,6TNAo,ㅍㅎㅎㅎ 걔 거기는 제대로 나왔니? 일주이루여행다녀와서도 졸업이라고 쓰는 여자라. 고등학교는 성형전 개명전 김명신일때 나와서 제대로 검증되나?,True,1,2024-12-11T10:30:16+0900,845245071870656601,5,0,0
rebo****,7nEgX,"줄리 자체가 수치일텐데, 후배 어쩌고 저쩌고 하지 마라",True,1,2024-12-11T10:45:28+0900,845246051106423014,4,1,0
xuem****,dHgdc,김거니는 탈북자 아닌가?이름도 바뀌고 얼굴도 다 바뀌고 신분 세탁하고 우리나라에서 여기저기 남자들한테 꼬리쳐서 학력위조에 주가조작에 범죄의 달인으로 거듭난 쥴리 김거니,True,1,2024-12-11T09:42:09+0900,845241972129005624,3,0,0
1026****,aRbt,"이제대통령 영부인 소리도하기싫다
나라의  쓰레기 폐급 나라돈 훔치는 도둑",True,1,2024-12-11T09:23:09+0900,845240748298207287,3,1,0
good****,206mx,쥴리는 선배가 아니야. 쥴리 후배들은 다 룸빵에 있어. 그냥 성형수괴라고 불러줘.,True,1,2024-12-11T11:12:27+0900,845247789561544915,2,0,0
info****,2CXae,"고려대, 성균관대  대좌보는  왜  보도  안하나?",True,1,2024-12-11T10:56:21+0900,845246751873958052,2,0,0
3d-t****,bhzGs,"명일여고는
앞으로 대자보 붙힐때
김건희의  원래 면상을 컬러로  같이 붙혔으면
좋겠습니다.",True,1,2024-12-11T10:36:10+0900,845245451522277469,2,0,0
tzco****,,,False,1,2024-12-11T10:19:14+0900,845244361405890670,0,0,0
sdli****,20e8W,충암하고 명일..명문 학교됐네..,True,1,2024-12-11T10:19:11+0900,845244357496799308,2,0,0
kyk4****,,,False,1,2024-12-11T10:00:25+0900,845243148530614435,0,0,1
yohe****,2HI7Z,"건희 아줌마, 2년 동안 행복했죠? 그 10배인 20년 동안 불행하시길 바랍니다. 억장 무너진 국민들이 5천만인데, 그거에 비하면 20년은 싸다 싸. ㅋㅋㅋㅋㅋ",True,1,2024-12-11T10:35:57+0900,845245438150836637,2,1,0
rall****,,,False,1,2024-12-11T11:23:33+0900,845248504606490883,0,0,0
s810****,hpeJ,전국민의 홍위병화 ㅋㅋㅋ,True,1,2024-12-11T10:45:29+0900,845246052666704106,1,0,0
allp****,27Bj5,"봉건시대 연좌제도 아니고 미친  대한대깨종족, 대깨들의 대깨짓거리가 극에 달하고 잇다. 대깨를 징벌하라고 뽑아줫더니, 대깨에게 쳐당한 석열이",True,1,2024-12-11T10:44:21+0900,845245979283161250,1,0,0
dahi****,1Mngw,이정도면 광기아니냐 ㅋㅋㅋㅋ,True,1,2024-12-11T10:32:24+0900,845245209024397486,1,0,0
nhs7****,2IYgs,이러다 유치원 교사까지 애들 교육시키는건 아닌가?,True,1,2024-12-11T10:13:27+0900,845243988700037372,1,0,0
