user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
83lm****,,,False,1,2024-12-12T21:03:16+0900,845378623610290282,0,0,4
happ****,2hymr,"탄핵되도 헌재 생중계하자도함 대통령이.이건진짜.뭐 있다는거다 영웅이다.영웅 
오늘.담화문 보니 대통령 입장에서 보면.진짜 거부권이나 행가하고 임기끝내면된다 근데. 감옥갈거 진짜.매장당할거알고 저렇게.행동란거면 진짜.대단하다 끝까지 응원합니다

윤석열.대통령님",True,1,2024-12-12T20:54:42+0900,845378072008982802,120,81,4
chuc****,64qVR,"안철수 의원님이, 가족을 해체하는 동성혼 법제화를 입법화 한 김예지와 함께 탄핵 동참했을때, 정말 실망했습니다.. 국민이 뽑은 대통령을 취임부터 178회나 탄핵하고 나라를 쑥대밭으로 만들며 탄핵하고자 하는데, 동참한 이름들을 기억하겠습니다",True,1,2024-12-12T21:29:51+0900,845380336211722546,83,46,7
jsnl****,14bj2,"범죄자 방탄을 위해 국정을 마비시키고 대통령을 끌어내리려 해 벌어진 이번 사태의 원흉이 이재명과 민주당인데, 이들이 오히려 대통령 끌어내리기를 탄핵으로 마무리하려 한다. 더 웃기는 건 여당이라는 국힘당이 여기에 동조하려 한다는 거다. 대통령을 끌어내리고 범죄자를 대통령으로 만들면 대한민국이 정상국가일까? 정의를 버리고 범죄자 이재명의 품안에서 2중대 노릇을 하며 연명하면 영광일까?",True,1,2024-12-12T22:15:54+0900,845383303497253209,35,8,3
qudd****,wQJO,조국혁신당 느그들 대장 빵갔다 ㅋㅋ,True,1,2024-12-12T21:09:12+0900,845379005845602380,28,10,1
ms_s****,340LQ,탄핵 못시켜서 안달난 귀신이 붙었나,True,1,2024-12-12T22:18:19+0900,845383458636169343,21,7,4
1636****,,,False,1,2024-12-12T23:00:21+0900,845386166562717828,0,0,3
ydch****,,,False,1,2024-12-12T22:03:43+0900,845382517904113896,0,0,0
wogu****,6TDoK,윤대통령 탄핵 반대. 윤대통령 지지함. 정치 관심 1도 없다가 민주당 실체 ㄹㅇ 잘 알았다 이번에,True,1,2024-12-13T03:06:22+0900,845402016065781785,14,2,0
hufs****,54VJq,"국회해산권을 부활시키던가..
일방적인 국회는 어쩔거",True,1,2024-12-12T20:57:16+0900,845378237549772894,15,4,0
foee****,64SFH,군인.언론 다 매수해서  음모씌워   모함해봐라..그게 먹히나..  이재명의 수법  다안다  한둘이야 그런게..군인 잘관리해라  또 죽는놈생긴다,True,1,2024-12-12T21:58:09+0900,845382160046096441,10,3,0
thdd****,2TVbR,대통령님을 지지하고 응원합니다. 대한민국을 위해끝까지 싸워서 이기십시요. 대한민국 만세!!! 윤대통령님 만세!!!,True,1,2024-12-13T09:29:40+0900,845426710366126321,8,1,0
nora****,,,False,1,2024-12-13T07:56:00+0900,845420675819634693,0,0,0
dmsr****,2rz0U,민주당 언론선동 ㅜㅜ박근혜때야 그나마 명분이있었지만 대통령특권인 계엄령을두고.. 모르겠네 국회의원들의 불체포특권부터 없애서 잡아넣고 말하면모를까 그냥 야당 국회의원들과 일부 여당의원들이 합심해서 몰아내려는걸로밖에안보임 끼리끼리,True,1,2024-12-12T22:22:36+0900,845383734470377690,9,3,0
zmsd****,cJZnb,공산당 해산,True,1,2024-12-12T22:09:23+0900,845382883697754230,6,0,0
inhi****,2KZaJ,탄핵사유도 아니고 내란은 더욱 아님. 오히려 이 상황까지 몰고 온 거대야당의 책임이 큼. 이재명 한 사람을 위해 행정부와 사법부를 마비시키고 장악함. 친중종북 세력과 연대함. 이게 더 내란적 행동임. 사법부가 냉정하게 판단바람.,True,1,2024-12-14T09:49:37+0900,845520766593138861,6,1,0
pink****,2jgiy,윤대통령!! 우리 국민이 지킨다!!!,True,1,2024-12-13T13:09:13+0900,845440854582624354,5,1,0
yu00****,,,False,1,2024-12-12T23:43:31+0900,845388947654705296,0,0,0
emet****,1twHh,"민주공산당 이제 지겹다
올해 내내 국내증시 금투세로 아작내더니
이제 탄핵탄핵 핵핵 거리면 나라 침몰 시키려하네
허허 이재명 대표님  조국 감방 간다더이다
님도 얼마 안남은거 같소
그렇게 가기 싫어서 나라를 이지경으로 만들다니..
역사앞에 후손들에게 부끄럽지 않소?",True,1,2024-12-13T08:04:35+0900,845421229098664069,4,0,0
jong****,4wdIH,탄핵이 점점 심해지는데 이러다 남미 꼴 나겠다 지들 이익 챙길려고 나라 망치네,True,1,2024-12-13T01:35:13+0900,845396144006627351,4,0,0
