user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
cho0****,5oxUB,확  그냥끌어내면 안되나 ?   내란수괴범인데 뭔이유가 이리많아  왜이렇게  시끄럽게 구는건지 욕심이끝이없네,True,1,2024-12-17T20:57:25+0900,845842103010328732,5,2,0
jaey****,,,False,1,2024-12-17T23:37:43+0900,845852430343078132,0,0,0
boi2****,2gLST,순서가 바꼈자나 이미 탄핵소추 투표 후에 법사위 구성 말이 되나,True,1,2024-12-18T13:21:36+0900,845905509092425992,1,0,0
duda****,5LIaX,계엄령이 잘못 됐으면 그냥 잘못됐다 해라! 그다음 여당야당 따지고,True,1,2024-12-17T20:52:08+0900,845841763036823602,2,2,0
regi****,dwnvW,대물이 얼마나 부러우면 소추들이 난리냐,True,1,2024-12-18T14:38:54+0900,845910489207669125,0,0,0
skb3****,4PED3,윤가야 국제망신에 쪽팔림은 국민의 몫인가 ㅡㅡ당장 내란죄로 체포해라 ㅡㅡ,True,1,2024-12-18T08:10:18+0900,845885453591642187,0,0,0
rlae****,eTWVQ,"⭕ 
한총리는 싸가지없는 찢주당 애들이 최근 국회에서 얼마나심한 모멸감을 줬는지 잘 기억해야제..ㅉ 
그래서 헌법재판관 3명 추가 임명 거부해서 6명으로 턴핵 심리 진행케 하고, 
윤석열은 찢의 재판지연전술 잘 배워서 고대로 써먹어라..
그럼 1년 이상 끌 수 있다..
그래도 안 되면 보수 재판관 1명이 사직해서 탄핵판결을 나가리 시켜라!
근디
김동연은 몰라도 찢만은 안 돼..
어떻게 전과 4범(+5범?)의 파렴치한 소시오패스 놈을 대통령으로 뽑냐?
탄핵이든 임기단축이든 조기 대선을 하더라도, 찢을 감빵에 쳐넣은 후 해야제..",True,1,2024-12-17T21:48:27+0900,845845391260778691,0,0,0
yunp****,cgA2s,보수 대동단결하여 독재정당 민주당 몰아내자 독재타도 민주당,True,1,2024-12-18T00:51:31+0900,845857184787988577,1,2,1
ktou****,vzKv,정청래 파이팅 윤석열 박살내버리자,True,1,2024-12-18T00:45:07+0900,845856772538236956,1,2,0
wnsg****,2vDhA,공산당 늬우스,True,1,2024-12-17T20:51:26+0900,845841717906112658,0,3,0
