user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
plat****,159xE,참 좌파들의 선동솜씨는 상상을 초월한다,True,1,2024-12-21T00:10:23+0900,846132849529585771,580,111,28
tusc****,15IVv,비상계엄 옹호는 안하지만 사망자0명에 국민불편없도록하겠다고 강조했는데 애들까지 끌어들이는 좌파들은 인간이 맞나싶네요,True,1,2024-12-21T00:25:32+0900,846133824772374625,271,64,17
piao****,,,False,1,2024-12-21T00:24:04+0900,846133730249539596,0,0,5
sang****,yuV3,뉴시스 최윤서야 ㅋ 이런 기사를 쓰니까 니네가 맨날 가난한 언론사인거야ㅋㅋ 인턴인데 입사한지 얼마나 됐다고 기자가 좌향좌냐 민노총이냐??,True,1,2024-12-21T00:26:04+0900,846133859266330643,153,15,4
djst****,r0fn,애들 팔아먹지 마라 진짜 중국 기관지인가 여긴?,True,1,2024-12-21T00:20:12+0900,846133482013851692,146,17,4
drea****,RH1C,정상적인 부모라면 자기 자식이 저런 글을 쓰고 있는데 가만히 둘까요?? 막 흐뭇하고 자랑스러울까요? 저도 초등학교 자녀가 있지만 아이 앞에선 정치이야기 하지 않습니다.. 정말 저 부모들은 모 하는 사람들일지.. ㄷㄷ,True,1,2024-12-21T00:44:12+0900,846135028235632678,54,3,1
as13****,2m2at,이건 아동학대아님? 애들이 정치적인 소견이 있나 뭘있나. 이런 애들을 이 추운 날 데리고 저러는건 아동학대같은데,True,1,2024-12-21T00:44:39+0900,846135056941449349,39,2,0
bhsb****,drRFF,좌파들 애들데리고 하는건 광우병선동 20년전이나 똑같네 좀바꿔라. 그땐 유모차에 걷지도 못하는애들로 하더만,True,1,2024-12-21T00:44:35+0900,846135052294160494,33,2,2
sang****,,,False,1,2024-12-21T00:25:05+0900,846133795965894680,0,0,1
qtgi****,4SerW,"놀고들 자빠졌네!!~
이걸  기사화하는  거지같은   인간들아!!~
정신차려!!~
나들의  난동으로  나라가 더 힘든겨!!~
계엄령으로  누가 죽었니?!!!!
이재명이  이나라에  얼미나 큰피해를 주는지  아직 모르니!!~
민주당의  독재정치가 뭔지  공부좀하고   떠들어!!~",True,1,2024-12-21T01:10:09+0900,846136699112128544,21,0,2
rksk****,2qoCh,이런거 보면 오히려 탄핵되면 안될거같다 정상인 애들도 사상이 저래될거같네,True,1,2024-12-21T01:08:00+0900,846136561421516802,15,0,2
jyki****,2ZK2M,정말 심각하구나.애들이 뭘 안다고 이렇게 애들이 한다면 도대체 얼마나 심각한 갈라치기와 세뇌를 한 것인지 끔찍하다..,True,1,2024-12-21T01:01:34+0900,846136146890063956,15,0,1
akm_****,,,False,1,2024-12-21T00:26:10+0900,846133865524232228,0,0,0
cons****,ec9KV,근데 수괴가 대체 무슨말임? 주범도 아니고 수괴는 30평생 첨 듣는데? 중국말 아님? 대체 어떤 한국인이 씀?,True,1,2024-12-21T01:39:16+0900,846138574871986204,12,0,2
litt****,11jtf,"초등생들이 나라걱정 이라는 의미를 알까?
초등생들이 뉴스를 많이 보나? 아님 핸드폰에서 뉴스를 일부러 찾아보나? 아이들은 뉴스 안보는데. 그래 느그들 나라 걱정 마니해라. 부모님들이 용돈 마니 줄거다.",True,1,2024-12-21T00:29:56+0900,846134108659646657,12,0,0
hojo****,AEED,"알고보면 민노총 자식들 ㅋㅋㅋㅋ 하다하다 시체팔이로 안되니, 자식팔이 까지도 하네 ㅋ 중국 놈 댈고 하는거 아닌지? 이 기자도 휴가를 미국 일본 가겠지 ㅋㅋㅋㅋ",True,1,2024-12-21T02:14:42+0900,846140858183974988,11,1,0
yhk0****,4hyYU,중졸 고졸 연예인들이 뭘 안다고 설치고 나대니 이젠 초딩들도 날뛰네 ㅋㅋㅋ. 한심하다.,True,1,2024-12-21T03:38:33+0900,846146259944210473,6,0,0
83i7****,awKlZ,공산당이 싫어요~ 때랑 비슷하네...애들아 이죄명 아저씨에 대해서도 공부좀해오렴~~^^,True,1,2024-12-21T00:39:56+0900,846134752418201773,6,0,0
nept****,2cZnkJ,아기들한테까지 선동하는 세력은 반국가 세력이 틀림이 없다.  처벌하라,True,1,2024-12-21T04:10:08+0900,846148295003734029,5,0,0
