user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
skgu****,2nLcm,이번 기회에 국가 발전과 국민화합에 크게 방해되는 국짐당을 해체하고 꼴통 보수 유투버들 여기엔 사이비 종교 지도자들 이들이 광화문 에 늙은 아줌마 들을내쫒아  추위에 떨게 만든 주범들이다 갱상도 강원도에 말뚝 밖아 놓고 해먹는 늙다리 정치인들 다 청소하자,True,1,2024-12-22T06:59:34+0900,846251982023819313,126,51,11
enrl****,c7LOU,고마워 너희들이 얼마 쓰레긴지 몰랐던 사람들까지 다 알게해줘서,True,1,2024-12-22T08:25:04+0900,846257490285821965,63,7,4
myop****,,,False,1,2024-12-22T08:05:03+0900,846256200956772359,0,0,5
csum****,16ce5,윤석렬 탄핵되고 내란죄 확정되면 국힘당은 위헌정당심판을통해 해산되어야,True,1,2024-12-22T09:19:34+0900,846261001471918194,43,15,2
7744****,,,False,1,2024-12-22T09:36:51+0900,846262114237546693,0,0,0
shin****,cZs1y,윤석렬이 잘못했네  헌법재판관 한명만 더 없애서 5인체제 만들어 놓고 게엄선포를 했어야는데 그러면 탄핵 받을일이 없었는데   바보중에 바보로다     국힘당 국회의원들은 내일이 없구나,True,1,2024-12-22T06:15:02+0900,846249112868225026,14,7,5
bmha****,4koxD,권성동의 주장이 아닌 추미애 박범계 우원식 박주민 등이 8년전에 했던 주장임 당시 이재명은 황교안 권한대행이 마사회장 임명한다고 탄핵하자고 난리쳤던 사기전과자임,True,1,2024-12-22T09:49:37+0900,846262936707006601,7,1,0
rhof****,2aJdx,이제 다시 문죄인시대보다 더한 더불어 좌익세상.선동세상.돈퍼주는 포퓰리즘세상.민주.인권.정의로 포장된 운동권세상.천하의 사기꾼.잡범이 대통렁될수도있는세상.유투브로 농락하고 노조장악 방송으로 선동하고 민노총.촛불부대.전교조에 배운 세대등이 세상을 장악하는 세상,True,1,2024-12-22T10:01:50+0900,846263724615401647,7,2,0
hyou****,2pQXe,김상욱아 유승민아 지금까지 국회몫 헌법재판관 추천을 계속 미룬게 누구냐 바로 민주당 아니냐 좀 생각을 하고 말해라~,True,1,2024-12-22T09:41:40+0900,846262424750260379,5,1,0
trac****,1hubO,"국힘당은 진정한 보수가 아니고, 꼴통 극우단체와 다름없네...",True,1,2024-12-22T09:59:10+0900,846263552346947620,4,1,0
gcor****,4I05D,"국민의 적, 내란의 힘, 쿠테타의 힘, 주술의 힘,  당장. 해체",True,1,2024-12-22T09:54:35+0900,846263257017614473,4,1,0
