user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
aih6****,8XkAb,"김근식씨! 민주당에서도 이재명방탄 잘못인지 알면서도 단일대오로 가는게 당을위한거라고 갑니다. 당신은 지잘난척하느라 당을 생각하지  않습니다. 당신이 국힘에 있을자리가 없습니다.소신에 안맞으면 떠나서 떠드세요, 어려울때 도울사람은 소리지르지 안습니다.",True,1,2024-12-23T16:34:33+0900,846381796101718238,19,4,0
lyc3****,,,False,1,2024-12-23T16:41:10+0900,846382222679212113,0,0,0
abku****,,,False,1,2024-12-23T15:51:41+0900,846379034571964702,0,0,0
noon****,2qLo2,"김근식 당협위원장.. 평소에 당신을 지지하는 사람은 아니지만,, 지금 귀하가 가지는 생각이 국민 대다수의 생각인걸,, 국민의 힘 주류만 모르는 것 같네요.... 지극히 평범하고 당연한 생각인데,, 이걸 대단한 생각이다라고 인정해야 하는 제 자신에게 현타가 오네요...",True,1,2024-12-23T15:38:44+0900,846378200090018110,15,7,0
gtle****,5lwgI,"하지마. 누가 시키나. 제발 뭔가 훌륭한 척, 꼴깝 좀 그만",True,1,2024-12-23T15:58:57+0900,846379502639513979,8,1,0
park****,3WLbf,"잘하고 계신 대통령 탓하는 무능한 근식이~
무능한것들이 꼭 대통령 탓하지~
얼마나 무능하면 강남 3구 송파에서 국개 한번 못하냐~",True,1,2024-12-25T16:56:18+0900,846568739519332427,5,0,0
ichl****,bylOa,"근식아!! 대통령이 뭘 잘못했는데???  이재명과 더듬어 탄핵당 반국가세력이 잘못됐다고 해야지!!  지금 탄핵에 동조하는 거임??  걍 너두 더불어탄핵당으로 꺼지지 그러니! 개딸, 종북주사파들 국민만 국민이지?",True,1,2024-12-25T14:33:40+0900,846559550906564774,5,0,0
ydh6****,3hgiI,국힘당 탈당해라,True,1,2024-12-23T17:09:14+0900,846384030105469015,5,0,0
sato****,2N6pj,"근식아
민주당으로 가라",True,1,2024-12-25T05:58:23+0900,846526354517131292,4,0,0
sinj****,1WsiQ,배신자 스파이,True,1,2024-12-24T04:28:58+0900,846427821642350654,4,0,0
park****,8wICe,아직도 금뱃지 욕심을 못 버리고 ㅋㅋ 또 나오면 4수 아니냐? 수 틀린다고 그렇게 선긋기나 하니까 안되는거야,True,1,2024-12-23T15:26:14+0900,846377394934644830,5,2,0
gbmd****,,,False,1,2024-12-23T15:36:19+0900,846378044380676233,0,0,0
wonf****,6cFdV,나가라,True,1,2024-12-23T16:04:46+0900,846379876855316768,3,1,0
skin****,4UeNB,미친. 너도 민주당으로 꺼지세요,True,1,2024-12-26T07:46:35+0900,846626096475537505,2,0,0
osw6****,iv0U,그래 역쉬 넌 그짝 이였잖아...,True,1,2024-12-26T09:20:59+0900,846632177176150333,1,0,0
jbk1****,,,False,1,2024-12-26T04:59:23+0900,846615324244574227,0,0,0
kims****,eeqLL,이늠 언론에 나와서하는소리 들어보면 반성같은소리하고 자빠졌네 다른보수패널들은 헌법재판관임명은 해야된다고하는데 MBN에서 하는소리보면 서두를필요가있냐 하면서 민주당욕만하는놈이 덕수가 헌법재판관도 국회서 논의하라고 했다는데 이런놈들은 다시는 정치하게하면 안된다,True,1,2024-12-26T00:34:54+0900,846598284901351570,1,0,0
vhgk****,8OFib,사과할것없고꺼져라,True,1,2024-12-23T16:29:25+0900,846381464969805996,1,0,0
bnw1****,1Diz3,김근식... 그대가 다시 보이네....,True,1,2024-12-23T15:24:23+0900,846377275933851789,1,0,0
