user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ssat****,6B0IN,리베라 CC 볼치러 갔다가  ㅎㅎㅎ 코다리 식사 친구들과 맛있게 했습니다 ㅎㅎㅎㅎ 멸공 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,True,1,2025-01-07T08:52:26+0900,847743593681518724,1077,431,44
bbb6****,5AZpg,우파여러분 많이 도와주세요,True,1,2025-01-07T08:52:36+0900,847743604402159788,563,139,30
quee****,11mx4,이런 정신병자들은 방송계에서 퇴출이 답이다.,True,1,2025-01-07T08:55:52+0900,847743814637453538,1129,731,37
chul****,KK7r,맛만 있던데  먼 소리야  그러나마나  코다리식당에  밥 먹으러 간다,True,1,2025-01-07T08:55:03+0900,847743762795855887,466,154,10
tjql****,YIS4,돌아이들,True,1,2025-01-07T08:52:10+0900,847743576853971000,288,79,5
kpsp****,1NnIO,북한 가서 살아라 미친놈들아. 대한민국헌법을 부정하며 어떻게 여기서 사냐. 이놈들은 군대보내 국회를 폐쇄하려는거 티브로 보고도 헛소리 하다니 독재언론탄압 북한 가 살아라 이놈들아.,True,1,2025-01-07T09:18:21+0900,847745263249391757,112,20,9
bs15****,6vuvq,아무리그래봐야 극좌 쟤넨 별점테러할생각부터 하지ㅋㅋㄱㅋ우파는 직접 가서 매출 올려주러 갈 생각부터 한다ㅋㅋㅋ행동력이나 자발성이나 자금력이나 다 극좌는 게임이 안돼~~~,True,1,2025-01-07T09:10:42+0900,847744771173646558,91,16,5
ghle****,6aEvH,와 대박. 그럼 국민도 다 간첩이겠네?,True,1,2025-01-07T09:08:48+0900,847744647877886203,62,7,4
hy00****,3K8Xa,오늘 돈쭐 내주러 갑니다!! 멸공!! 반국가세력 아웃!!!,True,1,2025-01-07T09:16:14+0900,847745126850625608,69,20,5
ivy6****,QuZZ,총부리를 겨눈게 정당하다고? 선을 넘었네...,True,1,2025-01-07T09:02:52+0900,847744265760014595,63,26,7
whdg****,4ffVV,한물간 3류들 신년모임이네 어디 콩고물 떨어지는거 받아먹으려고 아부떠는 준 친일파 후예들ㅋㅋㅋㅋㅋ,True,1,2025-01-07T08:50:36+0900,847743475335037094,70,46,11
core****,,,False,1,2025-01-07T09:44:58+0900,847746978333851983,0,0,1
thal****,1Mma8,참 다들 우울하게 생겼다. 면상은 과학이다,True,1,2025-01-07T09:13:49+0900,847744971829149990,54,32,5
