user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
mkka****,2w5dd,대통령을향한. 초법화탄핵. 민주당작품. 국민들의눈이. 무섭지않나? 우리나라. 공산화위한. 마지막발작인듯. 누굴. 바보로아나.,True,1,2025-01-10T16:03:18+0900,848049665818493056,10,4,2
reme****,3LPkh,"이참에 국회의원 불체포 특권부터 없애야 한다. 대통령도 없는 불체포 특권을 국회의원이 뭐라고 ㅋㅋㅋ 애시당초 국회의원한테 적용되는 법을 국회의원들이 만드는 것도 웃김. 그러니까 민주당이 문재인한테는 수백억 특활비 책정, 윤통한테는 0원 특활비 책정하고 국회의원 월급은 1억 6000천으로 올렸겠지 ㅋㅋㅋㅋㅋ",True,1,2025-01-10T16:09:13+0900,848050047584043095,5,1,0
love****,2cPK39,재판에 재판에 재판 장난하는것도아니고 나랏돈으로 장난하네,True,1,2025-01-10T16:36:45+0900,848051821422313794,1,0,0
777s****,1oc1b,빨리 탄핵해라 ..꼴도 보기 싫다..평화로운 삶을 칼질 당한 느낌이네요..국민에게 계엄이란 의미는 군사정권 정권때 탄압과 자유없고 모든것 시키는대로 하는 많은사람 죽어간 기억인데..그걸 윤석열 하려고 시도하다 ..더한 못된짓을 할려고 했는지 모르지만..실패한 사건입니다..탄핵은 당연하지만 네란죄로 법 집행도 해야합니다,True,1,2025-01-11T09:45:05+0900,848118071359963154,2,2,1
gksm****,6lJxP,헌법재판관 이미선 수사착구 ㅋㅋ,True,1,2025-01-12T00:57:09+0900,848176830555881497,0,0,0
netj****,1YQOf,윤석열 입으로는 나간다지만 절대 안 나올 듯.,True,1,2025-01-11T23:47:51+0900,848172366289698999,0,0,0
dong****,,,False,1,2025-01-11T21:31:10+0900,848163560549777447,0,0,0
dong****,,,False,1,2025-01-11T21:29:01+0900,848163421902864393,0,0,0
yes1****,6PiCs,"그냥 형식상으로 변론 하는거지. 100% 만장일치 8명전원 탄핵찬성은 이미 기정사실이다.    미국 국가안전 보좌관도 말하던데? 
충격적이고 잘못된 일이며  헌법적 절차대로 진행되는걸 지켜보겠다잖냐….   뇌가 없는 자들이나 지금 뻘짓 하는거지.  아무리 애쓰고 거 탄핵반대 집회 나가봐야 추운데 몸만 상하지. 그 시간에 책좀 보고 민주주의가 뭔지.. 법이 어떤지 공부나 좀해라.
좀비들앜ㅋㅋㅋㅋ",True,1,2025-01-11T17:40:45+0900,848148715817402563,0,0,0
yun3****,3CJwJ,14일전에 체폿내서 교도소에수감할테니  교도소에서 헌재로 출정해라!,True,1,2025-01-10T16:15:15+0900,848050435875930204,0,0,0
limh****,2vGwO,"대통령씩이나 해먹고 비상계엄까지 한 사람이 당당하게 나와서 본인의 의견을 내놓아지, *신같이 숨어서 있으면 누가 지지 하겠나? 본인도 떳떳하지 않다는 것을 아는 모양이네.",True,1,2025-01-10T16:04:21+0900,848049733531336850,0,0,0
dang****,6pqmw,썩열이 헌재 변론기일에 참석안해도 그냥 진행하면 2월중으로 탄핵 인용되겠다.,True,1,2025-01-11T21:27:56+0900,848163351488889075,2,3,0
gadz****,,,False,1,2025-01-10T18:35:34+0900,848059476278771923,0,0,0
nsuk****,1ShDK,"민주당 송영길 돈봉투 받은 국회의원 10명은, 이미 6번의 검찰 출석통보에도 쌩까는데, 체포영장도 없었습니다, 그런데 대통령은 수사권도 없는 공수처가 3회출석 거부했다고 체포영장을 발부했습니다..... 이게 대한민국 법치인가요?",True,1,2025-01-10T16:02:27+0900,848049611191877808,0,1,0
seou****,1rhDQ,"변론이 왜 필요한감? 계엄 이거 국가전복 매국난동 범죄집단 때려잡을련건데 뭔 변론? 이런계엄은 수백만번 해야돼, 계엄은 국가비상시국에 하라구 만들어논거야 근데 변론?개우기네 ㅋ",True,1,2025-01-10T18:01:37+0900,848057288479473906,1,3,2
dong****,,,False,1,2025-01-11T21:27:58+0900,848163353518932216,0,0,0
