user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hell****,2Dxnn,이거 언재적인데 안해?...미친 헌재....사안도  150석이냐?  200석이냐?? 초간단  사안안데...뭉기적  뭉기적...오직  윤석렬만  초고속,True,1,2025-01-13T06:52:47+0900,848292513654505573,97,12,2
munh****,3vtni,탄핵무효시켜라. 나라 돌아가는 꼴봐라. 국민카톡 검열한다쟎아,True,1,2025-01-13T07:02:38+0900,848293148068151367,47,7,4
0909****,37RjW,"밀린 탄핵심판 차례로 빨리 끝내라.
느네 멋대로 하고 말고 늦추고 끼워넣고 새치기 하지말고.",True,1,2025-01-13T06:42:39+0900,848291860198719562,41,5,0
doom****,1a8Us,개딸인민공산당 찢재명이 맘대로 안될꺼다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-01-13T06:56:07+0900,848292727580786706,28,7,2
plat****,,,False,1,2025-01-13T07:17:49+0900,848294126163067013,0,0,0
z392****,1DZlH,헌재의 정치질이다. 한대행에 대해서는 가처분 신청을 먼저 해야지 왜 탄핵심판으로 가는거냐? 대행에 대한 탄핵 정족수가 150명인지 200명인지조차 불분명한데 200명으로 결론 나게되면 한대행은 불법으로 탄핵 당한게 된다. 평범한 국민의 눈에도 보이는것인데 헌재재판관들은 눈을 감고 있는것인가? 윤대통령에 대한 탄핵이 인요될때까지 좌파에 비협조적인 한대행을 묶어 두려는 심보다.,True,1,2025-01-13T08:26:51+0900,848298573484261607,10,0,0
chan****,2n2we,"나라가 다시 후진적인 조선시대로 돌아간 듯!
계속 당파가 싸움으로 사화와 연속일세!",True,1,2025-01-13T06:52:10+0900,848292473926058003,10,1,0
grad****,1EOkp,저게 무슨 탄핵 사유냐 ? 뇌가 있으면 누구나 어거지라는 걸 알지. 헌재가 제 정신이면 각하해야지...,True,1,2025-01-13T09:09:44+0900,848301335785767146,7,0,0
budd****,3Aiqx,"다른거 필요 없읍니다. 나는 공산당이 싫습니다. 특히 중국처럼 국민 개인의 모든 것을 감시하는, 공산국가에 산다는 것은 생각만 해도 끔찍 합니다.",True,1,2025-01-13T10:38:08+0900,848307031566712913,4,0,1
byc2****,9dUrf,"헌재는 공정하다고 하겠지만, 그건 중요치 안해요  이미  많은 국민은  짬자미 라고 느끼고 있음  스스로가  자초한 측면 분명히 있음  왜 이제 국무총리 탄핵을 심사하는 지?  정말 아싑고 아싑다",True,1,2025-01-13T07:33:47+0900,848295154958729348,4,0,0
univ****,3NE7K,이제 탄핵이 무효하다는거 모르나? 국민을 뭘로아는거임? 민주당 니들 수명이 얼마 안남았다!! 탄핵이 아니라 니들이 조만간 사형이다!! 부정선거 사형!!!!,True,1,2025-01-13T07:12:23+0900,848293776106455092,4,0,0
kye3****,pdIX,"지금까지 뭐했냐?
니들이 법관 맞냐?
야비한 정치 해바라기들. 서울 중앙지검장, 감사원장, 방통위원장 탄핵 심판은 왜 여태까지 착수도 안했냐?",True,1,2025-01-13T07:11:50+0900,848293740236767352,4,0,0
tb******,2Qe3B,한총리는 뭔죄여? 탄핵 각하 얼른해라!!  적법절차에 하나도 안맞다!!,True,1,2025-01-13T10:50:11+0900,848307807345180760,3,0,0
mmi0****,2GdxK,민주당..이제 발등에 불떨어 지니 가짜뉴스 운운하네? 자꾸 죄를 덮으려고 그러더니 카톡검열까지 일반인들도 신고 받고 처벌하겠다고 난리치고.. 진퇴양난의 길에서 마지막 몸부림인가? ㅋㅋ  꼴좋다~~~^^ 이재명 되에서 웃을때 알아봤네..이제 끝났다. 내 세상이다 싶었을 것이다~ 지가 지 발등찍는 줄 모르고ㅋㅋ,True,1,2025-01-13T09:36:53+0900,848303085800391053,3,0,0
pokk****,12cAd,어거지  탄핵사유구나  전라도 전과4범 더불어민주당  하는짓이,True,1,2025-01-13T07:22:12+0900,848294408288731173,3,0,0
yubu****,5hchi,헌재는 탄핵소추된 건 순서대로 진행함이 맞는것이 아닌가!!!!? 앞서 수많은 장관등을 탄핵했다. 오든것은 순서대로 해야 한다라고 배웠고 또 그리해만 한다,True,1,2025-01-13T07:17:53+0900,848294130525143156,3,0,0
piss****,2lzr3,이재명 의회독재지 이게 정상이냐?,True,1,2025-01-13T07:22:55+0900,848294454275080334,3,1,0
cao1****,1vwvP,이번의 판단이 헌재의 존재 여부를 결정하게 되지 않을까.,True,1,2025-01-14T21:57:47+0900,848443588944593235,2,0,0
cnd1****,4uUTM,진짜 헌법재판소부터 박살내야함 그냥 판결이 고무줄임,True,1,2025-01-14T17:54:44+0900,848427930836009260,2,0,0
jjk7****,cW5Kj,사법부가  이나라 망치고있다  헌법재판소   서부지검   모두가 국민들  피눈물나게하고있다   헌법재판소   문닫아라  헌법재판소   판사들  싹  물갈이 해야한다,True,1,2025-01-14T10:57:06+0900,848401024124190770,2,0,0
bgte****,2AehD,"헌법재판소가  국가혼란을 조장하고 있다..
헌법에 151석/200석 조차 이제 심리를 시작한다하니  어이가없다..국회의장이 임으로 헌법을 농락하고 있는데 그당시
바로 의견을 제시했으면 권한대행이 탄핵안당하고 국가
혼란도 이지경에 이르지 않았을것이다...지들이 펴낸 해설서에  버젖이 나왔있는데도 불구하고  야당의 눈치만 보는듯한
헌법재판소가 왜 필요한가?",True,1,2025-01-13T16:36:18+0900,848330106328842357,2,0,0
smar****,,,False,1,2025-01-13T14:30:01+0900,848321970738036747,0,0,0
sjch****,,,False,1,2025-01-13T09:51:51+0900,848304049064247647,0,0,0
hank****,,,False,1,2025-01-13T07:33:55+0900,848295162944684169,0,0,0
yang****,2cs54z,탄핵 탄핵 지겹다 국정을 해라,True,1,2025-01-13T07:12:51+0900,848293806557102199,2,0,0
twin****,4zQgc,빨리 복귀시켜라..나라가 더불당 깡패정치로 게판이다.법이 있다는걸 보여줘라.,True,1,2025-01-13T08:07:41+0900,848297338244956310,2,1,0
