user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hoyo****,6qtGB,내란 선전 선동죄가 무섭지? 너희들도 잡혀갈까봐 못 받겠지? 그런데 총선에서 져서 막을 방법이 없네?,True,1,2025-01-18T01:08:03+0900,848734160930471946,371,101,16
tjen****,360SY,국힘당 해도 해도 너무 하네,True,1,2025-01-18T01:43:32+0900,848736446054400079,207,96,4
via0****,e74qn,국민이 언제까지 참아야 하냐 투표 거부해서 내란수괴한테 일주일이나 더 군통수권 쥐어준 국민의 힘!!!,True,1,2025-01-18T00:57:14+0900,848733463350607911,147,51,1
hsj9****,,,False,1,2025-01-18T07:23:21+0900,848758339163652142,0,0,1
hani****,uKj9,계란당 쓰레기들 전부 조사해서 내란 관련자들 구속시키고 해체시키자,True,1,2025-01-18T05:50:26+0900,848752353237532702,59,11,0
talk****,,,False,1,2025-01-18T06:34:55+0900,848755219088015433,0,0,0
sus9****,37kQS,"권성동
이걸
대표락고뽑아낫으니
강원랜드털릴까벼ㆍ
불안해서죽을거다",True,1,2025-01-18T06:42:10+0900,848755685763055635,21,4,0
yaki****,,,False,1,2025-01-18T08:22:49+0900,848762170039599255,0,0,4
hscy****,3s4pS,"국민의 짐 덩어리당은 하는일이 없네~ 
폼만 재다가 슬쩍 거부권에 기대어 버리는 짐덩어리들~ 세금이 아깝다ᆢ
권성동이 네 말처럼 차악이라도 만들어 내야지~",True,1,2025-01-18T07:27:17+0900,848758592533168165,12,2,0
gksd****,cTwWf,"선동이놈 밥먹고하는일ㅋㅋㅋㅋ.하루종일
재명이 핑계만하고있네
야이놈아 나도 국회의원할란다
밥먹고남탓하고우는소리만하는자식
자식보기안부끄럽냐ㅡㅡ
국짐개나소나하는국짐 으휴",True,1,2025-01-18T04:48:12+0900,848748343550017554,13,6,0
