user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
chfo****,bVsVK,2찍들 미국좋아하잖아 경찰에 손대고 폭행하면 바로 사살해버려,True,1,2025-01-21T13:57:04+0900,849062018399862816,278,86,32
jent****,,,False,1,2025-01-21T14:00:44+0900,849062253733871921,0,0,18
gagw****,vdV3,나이 먹고 저게 무슨짓이냐 진짜 한심하다. 기초수급에 노령연금까지 받으니 살만 하지?저런것들도 세금으로 먹고사니..,True,1,2025-01-21T14:01:56+0900,849062331848589743,115,29,12
skul****,,,False,1,2025-01-21T13:58:29+0900,849062109483368682,0,0,0
sunf****,8AxdP,이것들은 폭행이 답인줄아나? 수준들하고는 ....,True,1,2025-01-21T14:06:07+0900,849062600586035250,53,15,4
kwuk****,dp4R,공무집행방해에 대해 선처없이 단호하고 신속하게 처리해야한다.,True,1,2025-01-21T14:49:26+0900,849065391274590425,7,0,0
jski****,4IQpg,이모든게 내라수괴 개석렬 때문이지 어서 사형집행해야,True,1,2025-01-21T17:20:44+0900,849075139105522033,7,1,0
byuo****,1NTMs,5만원벌려고 나왔다가 돈더쓰게생겼네 ㅋㅋㅋㅋ,True,1,2025-01-21T16:15:39+0900,849070946311471431,7,2,0
hhho****,axOt1,엄벌에 처해라  그런 선례를 남겨야 사법부에 폭동하는 그런일이 다시 없을거다,True,1,2025-01-21T15:20:58+0900,849067422911562162,7,2,0
sap7****,7SIaQ,"무고한 경찰은 맨날 두들겨맞아. . . 5.18생각하면 다시 때릴 수도 없고 어쩌냐, 민주경찰. . .",True,1,2025-01-21T18:06:08+0900,849078063474933839,5,0,0
zacc****,,,False,1,2025-01-21T17:24:40+0900,849075392827359528,0,0,0
csmj****,doEhT,이건 폭력으로 해결이 되는 게 아니다. 법으로 해결을 해야지!!!!,True,1,2025-01-21T15:14:50+0900,849067028093337942,5,0,0
aldl****,9ZIv4,"나이쳐먹고 참~현재 이 사태좀 똑바로 봐라 똥인지 된장인지 상식적으로 생각해봐라
윤석열헌재 나와봤자
고집불똥 본인 합리화 망상병자 이익은 없을것이다",True,1,2025-01-21T14:31:33+0900,849064239954919687,6,2,0
nsmo****,5UNN1,무조건구속시켜~~~,True,1,2025-01-21T17:38:22+0900,849076275476693180,5,1,0
jwi5****,23xK6,그냥잡아다가. 석열이랑같은빵에서 살게하라,True,1,2025-01-21T16:54:50+0900,849073470594613624,5,1,0
yeou****,avsuT,그들이 꿈꾸는 자유 민주주의가 이런거구나.,True,1,2025-01-21T15:18:45+0900,849067280808542552,5,1,0
ldws****,,,False,1,2025-01-21T15:16:25+0900,849067129847152844,0,0,3
ibkk****,2dXqY,"여자분이 폭행했다고? 
경찰은 깡패처럼 패고 다니는데 이걸 믿어야되나?
혹시 용역공안이 아니냐? 민중의 지팡이가 아니고 국민의 몽둥이로
행동하는 경찰들 정신차려라.너희들은 천상 군이 제압해야겠네.
미군이",True,1,2025-01-21T19:43:31+0900,849084338220826828,4,0,1
past****,2qU6y,저는 중립정치를 하는사람입니다  재명이싫어서 윤씨 찍었는데 진짜 극우들 하는짓보고 진짜 윤씨 너무싫어졌음  극우들때문에 다음정권은 진짜 보수가면안될듯하내여   그리고 이번에 국민의힘 재정신아닌 의원도 너무많다는걸 알게됨,True,1,2025-01-21T14:16:53+0900,849063294273585526,11,8,1
mous****,3ytuK,석열이가 뭐라고 저렇게 까지 하는 지 석열이가 밥을 줬어 돈을 줬어?,True,1,2025-01-21T15:06:43+0900,849066504778416474,7,4,1
minh****,bxkf5,2찍이들은 법원 작살내지않나 무슨. 깡패들만잇내ㅋㅋ,True,1,2025-01-21T17:46:08+0900,849076775437729862,6,3,0
hawk****,,,False,1,2025-01-21T14:35:59+0900,849064524983042495,0,0,2
