user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
th69****,,,False,1,2025-01-25T18:21:48+0900,849450157916291252,0,0,0
duo3****,4u5Lm,비교 불가 수준으로 차이 나는데 같이 있다고 글쓰는 것 봐라. 들이댈걸 들이대라. 이러니 니네가 짝퉁 언론사 취급받는거다.,True,1,2025-01-25T20:13:18+0900,849457341500751955,12,1,0
syj8****,4SdqE,기자가 공정은 팔아먹었냐 탄핵반대집회는 보도도 안하네,True,1,2025-01-25T18:38:07+0900,849451209612853273,11,1,0
worl****,jwnE,탄핵 반대 사진은 어디갔노? 균형잡고 보도해야지.,True,1,2025-01-25T19:27:45+0900,849454406930792648,7,1,0
y0ou****,X7Q9,한심하다 태극기가 이긴다,True,1,2025-01-25T19:19:17+0900,849453861486723150,5,1,2
arom****,,,False,1,2025-01-25T20:40:40+0900,849459104601604249,0,0,0
elfb****,2TRI4,찬성 한줌밖에 없는데 ㅋㅋ 언론 니들 이럴수록 나중에 후폭풍 감당못해,True,1,2025-01-25T20:26:45+0900,849458208614383825,2,0,0
kyf8****,,,False,1,2025-01-25T18:47:32+0900,849451816293761171,0,0,0
gkan****,1J9CN,와 대통령 정말 힘들었겠다  모든 언론이 미친거 같아 기자양반 스스로 자신에게 부끄럽지 않나  당신이 추구하는 가치가 뭔지 기자의 사명이 뭔지... 모른다면 부끄러운 일이나 공부할 기회가 있겠지만 외면하는 거라면 역사의 죄인이 될거고 어디가서 기자라고 하지마,True,1,2025-01-26T08:35:47+0900,849505175356833939,1,0,0
ttl0****,r1js,"기사 이상하게쓰네ㅡ 찬성집회는 한줌이고 반대집회는 끝이 안보였고만..팩트로 쓰라고!!! 찬성집회에 무지개깃발 어쩔..찬성하는 애들은 페미,퀴어,중국인,민노총,정신병 이라던데..맞네.. 반대집회에는 2030도 엄청모임. 기자야!!! 이따위로 공정하지못하게쓸꺼면 기자 때려치워라!!!",True,1,2025-01-26T07:58:12+0900,849502754454896672,1,0,0
dngh****,dMSlW,좌빨들한테 공정과 상식이 통할 리가 없지,True,1,2025-01-25T19:06:39+0900,849453047691083926,1,0,0
jean****,aPgNV,빨리 탄핵 인용해서 끝내라,True,1,2025-01-27T09:46:30+0900,849602503493288058,0,0,0
chlt****,lpti,반대집회에 한줌도 안되는 찬성집회 부풀리기 보소,True,1,2025-01-27T01:19:37+0900,849569847363764325,0,0,0
soph****,oRJ8,"야 뉴시스야 반대 집회 역대급으로 많았는데 뭐냐
현장 가서 본거 맞냐
최소한의 양심이라도 갖고 살아라",True,1,2025-01-26T22:09:31+0900,849557600449069214,0,0,0
soph****,,,False,1,2025-01-26T22:08:22+0900,849557525891121270,0,0,0
ej50****,1EmnY,사진 2개다 찬성집회? 반대집회 사진은 어딨수?,True,1,2025-01-26T10:31:00+0900,849512598838706177,0,0,0
sya3****,2FpmM,ㅋㅋㅋ 여의도에 반대집회랑 광화문찬성집회랑 인원이 비슷하더라  ㅋㅋㅋ,True,1,2025-01-25T20:35:54+0900,849458797930873083,0,0,0
baby****,,,False,1,2025-01-25T18:52:12+0900,849452117310570549,0,0,0
