user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kyg4****,,,False,1,2025-01-28T13:30:42+0900,849709718510239899,0,0,11
fkaa****,,,False,1,2025-01-28T14:04:21+0900,849711885908443207,0,0,1
kyj9****,,,False,1,2025-01-28T13:25:12+0900,849709364175437858,0,0,3
jjun****,12QTu,정치성향 떠나서 가장 공정해야할 헌재가 스스로 논란을 자초하는게 맞잖아!!,True,1,2025-01-28T13:28:20+0900,849709565267148869,108,18,2
jko3****,w6DE,식견이 풍부한 옳은 말이다. 헌재는 중립을 지켜라. 그것이 존립 근거다.,True,1,2025-01-28T13:33:02+0900,849709868699877385,87,11,0
antw****,97IBD,유승민!  오래만에 옳은 소리했다.  요즘  홍준표를 필두로 당신도   간혹 옳은소리 하네.. 헌재좌파 재판관들  정말  완장찬  전위부대 같다.  논리상. 순서상. 헌법정신상  가장 시급한게 한덕수 권한대행 탄핵정족수 문제(151.200)인데  우원식이  지 맘대로 한걸   그냥 묻어가려하는거지.  헌법학자들도  견해 다르고  헌재 지침서에   권한대행은 대통령에 준해 처리한다고 되어 있다며.. 글구  황교안 권한대행때  추미애. 박범계등  민주당내  법 좀 안다는 얘들도 200이라고 주장했지. 헌재 정치판사들,True,1,2025-01-28T15:07:48+0900,849715973610012829,14,2,0
poke****,,,False,1,2025-01-28T14:36:56+0900,849713985124040931,0,0,0
dull****,2crFO3,유승민이 이렇게까지 변하는 시대에 우리는 살고 있다.,True,1,2025-01-28T16:05:01+0900,849719660118016007,9,2,0
jeon****,,,False,1,2025-01-28T15:43:47+0900,849718292372259009,0,0,1
mooa****,1gEes,"승민이 너는 헌재를 골수좌파라고 하냐? 너도 꼴통 극우 보수인 거냐? 국민지성 수준이 고도로 높아서 골수좌파든 꼴통 극우든 자연스레 걸러지고 도태되는 대한민국이다. 국민지성이 극우 극좌 다 배제하니까. 합리적 진보, 합리적 보수만을 찾아 지지하니까.",True,1,2025-01-28T14:12:43+0900,849712425279160474,14,8,4
rtof****,Efos,"승민씨, 그런다고 애국보수가 김문수 장관님 버리고 당신에게 가지는 않습니다. 평소 하던 대로 하시길...",True,1,2025-01-28T14:19:18+0900,849712849742725196,6,0,0
rind****,7Vvz,아주 정확한 지적이다!,True,1,2025-01-28T16:08:21+0900,849719874866380894,4,0,0
