user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ppid****,,,False,1,2025-02-04T13:24:40+0900,850358728686305525,0,0,0
ange****,FyE3,미선이와 계선이란다... ㅋㅋ,True,1,2025-02-04T13:24:54+0900,850358743701913944,5,0,1
olon****,udHF,이제서??ㅋㅋㅋ,True,1,2025-02-04T14:11:24+0900,850361739223498897,2,0,0
sas8****,4OQ3o,두연은 이미 답정너,True,1,2025-02-04T14:08:46+0900,850361569823949126,2,0,0
kjgy****,,,False,1,2025-02-04T13:30:52+0900,850359128386699595,0,0,0
kwak****,,,False,1,2025-02-19T18:47:18+0900,851771083349557369,0,0,0
kds9****,6pmLU,헌재 좌빨재관들아....탄핵재판이 너무 많아서 재미있냐?,True,1,2025-02-06T03:35:13+0900,850506295843749901,0,0,0
duda****,5LIaX,이애는 윤석열 빠는게 너~~~무 티가 많이난다!,True,1,2025-02-04T13:23:01+0900,850358622285201423,1,2,0
kbte****,31rWD,그럼 탄핵이네..,True,1,2025-02-04T13:28:05+0900,850358948836933674,0,1,0
koh0****,,,False,1,2025-02-04T18:31:10+0900,850378474798448701,0,0,0
