user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
blue****,5kcJm,곽 저런게  특수전 사령관이라니 한국 군인들 수준이 완전 밑바닥인거네,True,1,2025-02-06T20:30:05+0900,850571678701322272,1074,365,33
gene****,1cTdO,사령관도 고문관이 다 있네,True,1,2025-02-06T22:00:19+0900,850577491352354925,355,24,11
arom****,2PEXV,대머리가 거짓말 하는건 이제 전국민이 알게 되었다,True,1,2025-02-06T22:10:07+0900,850578122913873974,380,70,10
noya****,3tJBK,"끄집어내라 빼내라 이게 뭐가 중요하냐지금,, 부정선거가 관건인데 자꾸 딴데로 시선돌리기하네~?!!",True,1,2025-02-06T22:10:51+0900,850578170594722112,289,83,16
dirt****,iMqx,요원이랬다가 인원이랬다가… 국회의원 국회요원 국회인원 나조차 헷갈리는데?ㅋㅋㅋㅋㅋ,True,1,2025-02-06T21:19:42+0900,850574875465613559,201,27,11
jeun****,3Fjew,"윤석열 대통령이 돌아옵니다. 국가 안보와 주권을 위협하는 반대한민국 세력에 대한 강력한 조치가 시작될 것입니다. 민주노총 전 간부가 간첩 혐의로 유죄를 선고받았고, 일부 언론은 이를 축소하거나 왜곡하며 국민을 혼란에 빠뜨리고 있습니다. 민주당과의 연결 속에서 이런 세력들이 나라를 흔들어왔습니다. 2030 세대여, 우리의 미래는 우리가 지켜야 합니다. 이제 윤 대통령과 함께 정의와 자유가 바로 선 새로운 대한민국을 만들어 갑시다. 행동할 때입니다.",True,1,2025-02-06T22:10:09+0900,850578124792922175,96,40,0
eyby****,knjK,거짓증언 다 뽀록났다 이제 니가 무슨말했는지도 모르겠지?? 윤통한태 들었다했다 안들었다했다 김용현 장관한테 들었다 했다 안들었다 했다 요원이라했다 의원이라했다 인원이라했다.. 당신의 위증은 천벌을 받게 될것이다. 국민들은 니가 말바꾼거 다 기억한다.,True,1,2025-02-06T22:12:01+0900,850578245874089994,56,10,1
adam****,1EYMC,"특전사려관처렁안생겼는데 
어디똘아니 합바지처럼고임 주대도가치괸도없는 단순무식",True,1,2025-02-06T21:13:15+0900,850574459541651547,38,6,3
lhkl****,1C0tj,"언제 까지 이걸 봐야하는것일까,,, 지난달말에 필리핀 여행을 다녀오고 뼈져리게 느꼈다,,, 과연 12월3일 시민모두가 계엄 상황을 아니라한 생각으로 아무도 나서지 않았다면 과연 우리는 지금 어떠한 상황이었을까,,,ㅠㅠ 어떤 생활을 하고 있었을까,,, 자유!이 단어한마디가 얼마나 소중한지,,,",True,1,2025-02-06T21:34:20+0900,850575818244489330,41,10,2
cml0****,1ztEN,의원 요원이 그렇게 중요해? 어차피 요원은없었는데.  인간도아닌 윤석열 거짓말하는거 치가떨린다,True,1,2025-02-06T23:40:36+0900,850583952442785976,54,25,2
dwm3****,yth7,중국인 댓글 이제 안 속아 ㅋㅋ 중국인은 거지된 느그 나라로 돌아가 ㅋㅋ,True,1,2025-02-06T22:10:11+0900,850578127108177995,31,3,1
chac****,2EF1r,저런게 대통령이라니 끔찍하다,True,1,2025-02-06T22:32:58+0900,850579594762256711,74,51,8
na_m****,1BOF8,"참 온 국민이 다 본 것인데도, 저리 뻔뻔하게 거짓말을 하는데,
이재명 사건은 얼마나 거짓으로 만들었겠나..... 한심하다.",True,1,2025-02-06T20:47:27+0900,850572797741629604,41,18,5
este****,DMVW,잘 들었습니다. 오늘도 구질구질한 변명과 궤변으로 부하들을 모두 사지로 몰더군요. 그냥 인정하시고 야당 여당 사법부 간첩들 싹 다 잡아들이라고 지시했다고 하시는게 당당한 모습 아닐까요?,True,1,2025-02-06T23:50:54+0900,850584616233337109,27,6,0
gmg6****,1YJlG,바이든 날리면의 연장이다,True,1,2025-02-06T20:43:16+0900,850572527896887418,24,4,0
cjch****,8PQwx,인원이고 의원이고 거기서 끌어낼게 국회의원 말고 뭐가 있냐,True,1,2025-02-07T02:43:28+0900,850595734024618401,20,2,0
gasp****,r6tl,윤 진짜 나쁜놈 부하한테 책임전가  너의밑바닥의 끝은 어디니. 너때문에 얼마나 많은 군인들이 고충을 당하고있는데 네는 니 살겠다고 부하를 닥달해? 인간말종이다 이런인간을 두둔하는 사람들도 똑같은 인간이다,True,1,2025-02-06T22:52:30+0900,850580853690990763,45,28,4
cisg****,2LdUz,헌재에서 진술거부권 안쓴 두분입니다,True,1,2025-02-06T22:21:56+0900,850578884263936341,19,2,2
arch****,1yBcS,기자님 뭔소리하시나요 재판 영상은 듣기나 하고 쓰는겁니까?,True,1,2025-02-06T20:51:11+0900,850573038092025916,17,0,0
keon****,1c30n,곽 때문에 탄핵 시작ㅋㅋㅋㅋㅋ 개가 웃겠다.,True,1,2025-02-07T02:43:23+0900,850595728605577561,22,6,0
nns2****,40Uub,극우2찍들아 너도 거기가서  질문을 수없이 받으면 헷갈리수도 있어 그리고 윤석열이 계엄때린게 잘한거냐 생각좀하며 살아라 계엄령은 함부로 내리는게 아냐 국민들을 더 힘들게하고 나라를 더 어렵게 한다는거 모르냐 주식은 곤두박질 환률은 오르고 국가신용도도 떨어져서 7조가까이  손해를봤다 어떻게 곽장군을 비난질이냐,True,1,2025-02-07T02:42:55+0900,850595698423366750,16,5,1
akir****,9HO15,저게 대통령이야? 자기가 시작한 일에 실패하니까 부하를 죄인으로 만들어 버리네.. 와~ 진짜 찌질이의 끝을본다. 단 한번도 자기의 잘못을 인점하는 꼴을 못보네.. 낮짝도 저런 낮짝이 있을까.. 대통령이라는 사람이.. 쯧쯧,True,1,2025-02-07T02:49:32+0900,850596124581429442,13,2,0
coin****,5vJpo,"부정선거는 국가의근간을 흔드는 내란이다
고로 계엄은 정당한 통치행위다",True,1,2025-02-06T22:12:40+0900,850578287313813735,26,17,0
gasp****,r6tl,여기 윤 지지자들 뇌를 해부해보고싶다. 진짜 개돼지들이 있구나,True,1,2025-02-06T22:57:53+0900,850581200543154484,20,11,3
eoaq****,ipLh,요원이면 그냥 철수하라고하면되지 왜 끄집어내라고하냐,True,1,2025-02-07T02:37:39+0900,850595358818959769,9,0,0
ghkd****,26FHs,소위 대통령 이였던게  거지 보다 못하다니  군대도 안가본게 감히 군인의 명예를 더럽혔다 넌 총살이다,True,1,2025-02-07T02:47:11+0900,850595973368381527,12,4,0
yjs5****,2133x,"좀 있음 비상계엄 자체가 없었다고 할 윤석열이다. ~~^^
언론에서 군인들 비상계엄 훈련하는 모습을 악마의 편집으로 탄핵공작하고 있다고 할 놈이다. ~~ 바이든 날리면 의원 요원 계엄령 계몽령",True,1,2025-02-07T02:30:20+0900,850594887865729067,12,5,0
urma****,13fZD,곽종근이 뭐때문에 시키지도 않은짓을 하고  거짓말을 하겠냐? 시키니까 한거고  시킨놈이 거짓말을 하고있는거지.평생 감방에서 썩을생각하니까 마지막 발악을 하는거지.상식적인 인간이면  그자가 탄핵되고 구속되고 할것 다 아는데 아니라고 우기는 놈들 참 열심히 산다.고생들해라.,True,1,2025-02-07T03:15:10+0900,850597775375597585,8,1,0
shim****,1fdHU,지푸라기 잡으려고 되지도 않는 어거지와 거짓말 투성이 윤석렬의 메세지에 편승해 돈 벌어 먹을려고 날뛰는 극우들은 이참에 정리해야 한다.,True,1,2025-02-07T03:01:33+0900,850596898464071782,8,1,0
news****,1JfjD,양심에 가책을 느껴 제대로 실토하는 부하를 탓하는 괴물적 인격. 본인의 중대범죄를 논하는데 거짓말과 남탓만 하네. 너무 심하게 말종이다,True,1,2025-02-06T21:38:05+0900,850576059182088221,10,4,2
