user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
mape****,9azUZ,홍장원과  곽종근에 진술은 로또다..  아무리  수백 번.   수천 번을 맞추어 봐도 하나도 맞지 않아 ..   결론은 이들은 본인들이 살기 위해  더불어 공산당에 허위 진술을 자백한 것으로 의심됨..    그것도 김병주 유튜브에 나가서..,True,1,2025-02-07T16:28:30+0900,850648886409167064,39,20,5
gian****,La34,"박범계 민주당의원이 랑 곽종근 홍장원 짬짬이 이슈 가릴려고 겨우 한번 실패한 대왕고래 가지고
난리법석 선동하네  ㅋ ㅋ  똑똑하신 분들은 지금 무엇을 가릴려고 하는지 딱 보일겁니다",True,1,2025-02-07T18:39:18+0900,850657312900120666,14,3,0
spue****,2bDAkQ,공방 같은 소리하네 ㅋㅋㅋ 국회에 들어가 있는 인원이 국회의원 밖에 없었고 저 진술 오락가락 ? 다 필요가 없는게 이미 검찰 공소장에 다 나와있음. 저게 홍장원이랑 곽종근만 진술한 내용이 아니라 조사 받은 사람들이 대부분 체포조가 있었다고 했다고 다 얘기한 부분인데 ㅋㅋㅋ 개소리 제발 좀.... 판사들도 저거 하면서 공소장 다 들고 읽고 있음.... 언플 좀 하지말자 ㅠ,True,1,2025-02-07T16:52:22+0900,850650423739023510,20,14,3
yhj2****,NgPW,사기꾼 거짓말도 머리가 좋아야하지~~  ㅎ  찟을보세요~  얼아나 선수임 ^^,True,1,2025-02-07T16:54:02+0900,850650530777661458,7,1,0
sall****,h2ex,여자변호사 홍장원에게 탈탈 털리던데 ㅋㅋㅋㅋㅋㅋ,True,1,2025-02-08T04:56:39+0900,850697085287137314,6,1,0
ldj7****,5vqRb,대통령  빨리  복귀시켜라,True,1,2025-02-07T19:17:00+0900,850659741754458116,5,2,1
0104****,1LFWN,이미 다 나온 사실을 가지고 더이상 수작 부리지 말고 제발 빨리 좀 끝냅시다! 전두환 제대로 처단했었으면 24년에 내란수괴 대통령 안나왔을겁니다! 미래 히틀러 같은 괴물지도자 못나오게 엄벌해야죠 탄핵과 사형만이 답!,True,1,2025-02-08T01:39:32+0900,850684386109030479,4,1,0
seoj****,pBQr,국회의사당에서 요원이나 의원이나 인원이나 끄집어 내라고 했으면 누구겠니? 특수부대 투입해서 집기? 관리실 및 청소 요원? 150명이란 워딩도 있었는데 그 워딩은 왜 나왔겠니 당구 150 친다고 할 건가? 끄집어 내든 데리고 나오든 뭐가 중요해 헌법을 위반 했는지 안 했는지는 계엄을 정당한 절차를 거쳤는지 군 병력을 국회에 투입 했는지 안 했는지가 중요하지,True,1,2025-02-07T16:39:29+0900,850649593669484755,7,5,1
bss8****,5b90B,"쟁점은 계엄이 적법하게 이루어졌느냐 인데 개소리 하지마라, 계엄의 절차가 이미 위헌이다.",True,1,2025-02-08T01:43:36+0900,850684647749713983,3,1,0
kyny****,IowP,한덕수왈 하자있는 계엄이었다 이럼끝 아닌가?,True,1,2025-02-08T06:01:18+0900,850701249643806739,2,0,0
