user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
libe****,4FpAw,참 빨리도 결론낸다 이재명 선고에 맞추는 것인지 대통령이 최고권력자인데 내란수괴란 것도 말도 안되고 이재명 조국 재판은 5년씩 끌어서 뭔 재판인지도 잊어버리게 만들고 박근혜 이명박 윤석열을 속성을 도축하고 이게 과연 나라가 정부가 운영하는 것인지 좌파카르텔이 운영하는 것인지? 이재명이 야당인데 이정도 파워이면 만약 집권한다면 중국공산당 수준으로 다시는 불가역하게 권력알박기 할게 뻔하다!!,True,1,2025-02-14T06:21:28+0900,851259177404727349,180,67,8
eusj****,56KYj,"헌법에서6개월내하라고되어있는데3개월만에끝내겠다는의도는?
나라와국민을위해서라고하는데?
그럼왜국무총리탄핵심판은그냥두고있나?
한덕수국무총리탄핵심판은1주만에끝낼수있는데그냥두고왠헛소리 국무총리탄핵을기각하여복귀시키면나라가바로안정된다
헌재가좌발들에게넘어가서그들의집권을위해서이재명대통령만들려고신속하게진행하는것이다  국민들다알고있다
이대로진행하면국민혁명이일어날것이다
제발공정하게절차대로해라",True,1,2025-02-14T06:33:07+0900,851259928000593934,75,21,6
dkco****,3L1F8,뻔한 답인데 2월안에 끝내야지 전국민이 다봣다.,True,1,2025-02-14T06:12:11+0900,851258578860769300,79,30,4
lsm1****,g3Ow,음란수괴등 사악한 살무사 같은 4마리가 또아리를 틀고 나라를 거들내려고 개판으로 개판판결 하는지 온국민이 감시합시다. 개.돼지들이여 또 속이려는 얄팍한 쇼에 다시는 엉터리 재판에 속지 맙시다.,True,1,2025-02-14T06:19:04+0900,851259022853013513,55,16,2
soo5****,51sz7,종결 빨리 하고 야동 보러 가야지..행배,True,1,2025-02-14T06:26:49+0900,851259521975189577,36,9,4
css7****,,,False,1,2025-02-14T07:04:31+0900,851261950594646081,0,0,1
tmnt****,1rIfj,만일 탄핵 결정을 내리면??? /// 4.19 때보다 100 강력한 저항이 일어날 것입니다. /// 현재 윤석열 대통령에 대한 지지도가 51% 를 넘었습니다../// 국민의 뜻에 따라야 합니다..,True,1,2025-02-14T07:06:06+0900,851262052969218066,11,6,1
fora****,,,False,1,2025-02-14T10:57:04+0900,851276933017632799,0,0,0
cthw****,28yZF,박근혜 때처럼 또 후다닥 해 치울 태세로군!  좌익 검사와 좌익 판사가 협잡하여 셀프 영장 만들어 긴급체포 구금하고 헌재 좌익 재판관들이 후다닥 파면시켜 버리는 게 대한민국 제왕적 대통령? 지나가는 참새가 웃겠다! 앞으로 내란이 아니라 내전이 일어날 가능성이 커 가고 있다. 6.25 전쟁은 아직 끝나지 않았음을 각성해야 할 것!.,True,1,2025-02-14T06:15:32+0900,851258795370741803,13,10,0
good****,8aFvL,"3월 초 재판부 전원일치로 파면이 확정적입니다. 자유민주주의 세력에 가담할 것인지, 아니면 내란•폭동 세력에 가담할 것인지는 각자 알아서 잘 판단을 하시기 바랍니다.",True,1,2025-02-14T06:37:32+0900,851260212424736829,9,6,2
ban7****,,,False,1,2025-02-14T06:35:29+0900,851260079750512711,0,0,0
ghd2****,eG2pw,"윤석열 파면! 헌재 5가지 쟁점 중 한가지라도 위헌인게 드러나면 탄핵 인용으로 파면인데, 5가지 모두 위헌이라는게 모두 드러나고 있으니 빼박 100000000000000000000000000000000000000% 탄핵 인용 파면!!",True,1,2025-02-14T06:48:39+0900,851260928744751179,4,2,0
hopm****,,,False,1,2025-02-14T06:20:43+0900,851259128717246520,0,0,0
ches****,2bPpY8,"나라  경제와  국민삶이  엉망이다
하루속히  탄핵하고  조기대선으로  안정된 나라  만들자
다  똑같은  정치인들이다
국민세금을 자신의 사리사욕 위해  쓴  석렬이 보다는  안쓰는 대통령  나오길ᆢ",True,1,2025-02-14T10:55:55+0900,851276858543571308,2,0,0
yjli****,4K95w,죄명이는 그렇게 시간 진질 끄는데  죄명이도 몰아서 다해서 3월에 같이 선고해라,True,1,2025-02-14T06:58:26+0900,851261558712434749,2,0,0
jski****,2Hhtw,3월초 5~10일 예상한다 결과는? 주문:피청구인 윤석열을 파면한다 피청구인의 일련의 언행을 보면 더이상 헌법수호의 의지가 없고 지능이 떨어져 정상적인 국정수행이 불가하여 피청구인을 파면함으로써 얻는 이익이 더크다할 것임으로 피청구인 0010을 대통령직에서 즉시 파면한다.,True,1,2025-02-14T06:49:15+0900,851260966694813729,4,3,0
lns0****,1cYfD,증인마다 사실이 다르다고 하는데  확인도 없이 그냥 결론 짓겠다니.. 결론은 이미 내놨다는 거잖아... 그러면 재판이 아니지...,True,1,2025-02-14T08:08:24+0900,851266066146394208,3,2,0
jaja****,4P06L,"3월 파면, 4월 사형, 5월 집행 추천. 내란범 없애고 새롭게 시작하는 대한민국이 되자",True,1,2025-02-14T07:33:29+0900,851263817177366611,3,2,0
ksks****,2wXVZ,미얀마  국가 수준으로  갈  뻔  했음.,True,1,2025-02-14T07:18:41+0900,851262863778513011,3,2,1
69pm****,,,False,1,2025-02-14T10:13:53+0900,851274150801572219,0,0,0
pano****,,,False,1,2025-02-14T07:26:43+0900,851263380684537959,0,0,0
kis0****,4qRbt,빨리.끝내자.. 국민 좀 살자,True,1,2025-02-14T07:21:37+0900,851263051750441047,2,1,0
duda****,22jEo,전국민이 전세계가 봤잖아?누가 비상계엄령을 선포했고 무장군인들을 동원해 국회에 난입 국회 의결을 방해했는지~야당의원들과 친한계 의원들 국민이 없었다면 그 비상계엄령을 끝낼수 있었겠냐? 빨리 탄핵해라,True,1,2025-02-14T12:38:55+0900,851283494653919580,1,0,0
qja7****,dUx4e,[ 핵심체크 ] 노무현은 7차에 끝낸후 기각... 박근혜는 17차까지 질질 끌었고 변호인단이 중대 결심하겠다고 헌재를 협박했지만 만장일치 파면!,True,1,2025-02-14T08:28:03+0900,851267332574543884,1,0,0
lsm1****,,,False,1,2025-02-14T06:13:10+0900,851258642412863510,0,0,0
yong****,1munf,검새하며  거짓말과 강압적 수사로 자기 이익만 챙긴 아주 비열하고 저열한 굥 이런 사람한테 자라나는 새삭과 기성 국민이 뭘배울수 있나.. 아주 악마같은 존재였어...빨리 2월안으로 탄핵과 내란수괴로 처벌 받길 기원함.,True,1,2025-02-14T06:31:27+0900,851259820676743252,6,6,0
