user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
dbst****,8HRp6,탄핵 반대집회 50만명 and 찬성집회 500명^^,True,1,2025-02-15T20:46:03+0900,851407648350797835,247,17,14
art0****,,,False,1,2025-02-15T20:40:17+0900,851407277037453376,0,0,13
c760****,44zH5,뉴시스 머리쓰네.. 가짜뉴스 쓰면 1명만 공격 당하니 좌파 민노총 산하 언론노조 기자들 모조리 이름 올리네..그래도 선동 안 당해요..이제 다들 사리분별 할 줄 알고 가짜뉴스 걸러내요.,True,1,2025-02-15T20:46:38+0900,851407686871285909,84,2,1
laim****,,,False,1,2025-02-15T20:43:31+0900,851407486048010379,0,0,12
jisa****,1xTcv,똑바로 사진올리고 진실 보도하라~,True,1,2025-02-15T20:46:59+0900,851407709134651624,59,0,1
mida****,,,False,1,2025-02-15T21:47:21+0900,851411597757776004,0,0,1
abcd****,1TUS7,탄찬집회는 한 이천명왔나? 민심이답이지..민주당 하는꼬라지보면 국회 해산이 답이다,True,1,2025-02-15T20:46:08+0900,851407654424150047,11,0,1
blue****,5JNmi,광주반대시위 드론샷 왜 안가져오냐 최소10만이다,True,1,2025-02-15T20:58:50+0900,851408472565088471,10,0,0
yunc****,2qHZ3,국회 반란 세력들 땜시 나라가 조용할 날이 없네. 빨리 쳐 넣고 대통령이 복귀를 해야 나라가 바로 설 것이여.,True,1,2025-02-15T20:52:06+0900,851408038219743259,8,1,0
nhs3****,,,False,1,2025-02-15T21:22:59+0900,851410028299550982,0,0,1
stom****,,,False,1,2025-02-15T22:10:55+0900,851413115894497523,0,0,1
peac****,5cxWJ,반대집회쪽 태극기들과 지금 사법부의 행패를 알리고 부정선거 진실규명을 외치는 카드들이 많았는데 사진은 딱 윤석열 파면 글자만 확대해서 씁니까? 언론인의 양심은 어디있습니까,True,1,2025-02-15T21:28:40+0900,851410394227409075,6,0,0
twee****,3tBJM,광주 오늘 탄핵반대집회 10만명 이상 모였음. 드론샷 좀 첨부해주지,True,1,2025-02-15T20:45:38+0900,851407622094454937,5,0,1
laim****,,,False,1,2025-02-15T20:46:18+0900,851407665128013898,0,0,0
qhsd****,4VUwF,ㅋㅋㅋㅋ 부산집회 갔는데 찬성요?  찬성어디서 했는지 보셧나요 러디서 했는데요?,True,1,2025-02-15T20:45:45+0900,851407629879083183,5,1,0
jbo1****,,,False,1,2025-02-15T21:41:29+0900,851411220270416001,0,0,0
good****,y6f1,탄핵 찬성은 사람이 없어 늘 피켓으로 대체 합니다.  부끄러운줄 알자 언론사들!  탄핵결사반대다.,True,1,2025-02-15T21:35:50+0900,851410855651180784,4,1,0
akqh****,58u6G,영상 봤는데 찬성 왜케 듬성듬성이냐? 민주당 탈모 시작이냐?,True,1,2025-02-15T22:11:22+0900,851413145556615287,3,0,1
theo****,aalwf,사진 왜케 허접함? ㅋ탄핵반대집회 대단하더만.,True,1,2025-02-15T21:05:42+0900,851408914527289524,3,0,0
andy****,29ue3,아직도 탄핵탄성 집회라는게 있긴있나보군,True,1,2025-02-15T20:59:46+0900,851408532107428035,3,0,0
ssw7****,gDmF,광주 니들 도시 꼬라지를 봐라 그게 광역시야?? 먼 80년대 도시보는줄,True,1,2025-02-15T20:45:12+0900,851407594512711720,3,0,0
jack****,,,False,1,2025-02-15T21:16:53+0900,851409635477815521,0,0,2
circ****,3Ybkf,찬성집회에 사람이 없더라. 빨간망에 돈도 걷고 참...,True,1,2025-02-15T20:53:01+0900,851408097896300549,3,1,0
ugly****,1ckcE,국민 대부분은 대통령 탄핵 기각이나 헌재와 민주당은 지들 멋대로 탄핵 인용을 점치더라!!!!! 국민의 입과 귀를 가리지마라!!!!!,True,1,2025-02-16T00:43:29+0900,851422945329807453,2,0,0
days****,di92D,찬성집회 쥐꼬리만큼 나오니 드론샷없고 클로즈샷만 올리는거 보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋzzzzz,True,1,2025-02-15T21:47:14+0900,851411589989924931,2,0,0
ik******,2PKpQ,기를 쓰고 찬성집회 숫자 많은 사진 올리고 싶은데 안되네? 뭔 무지개깃발들고 남자가 여장하고 찬성하고 있던데 걔들은 못 찍은거야?,True,1,2025-02-15T21:43:24+0900,851411343700394088,2,0,0
kmys****,3UIw5,"태극기가 있는  집회 탄핵 반대
태극기가 없는 집회 탄핵 찬성",True,1,2025-02-15T21:36:25+0900,851410894037450874,2,0,0
andy****,bG7Tb,"김남희 기자님, 언론인으로써 부끄럽지도 안습니까? 당신의 자녀가 성인이 되어 이 기사를 읽게되어도 부끄럽지 않습니까?",True,1,2025-02-15T21:22:41+0900,851410009089638572,2,0,0
78su****,3vsRi,역시 계몽령이였다 !!!!,True,1,2025-02-15T20:44:45+0900,851407564867371216,2,0,0
whsd****,cE0Hq,모지리가 나라를 쑥대밭으로 만드네 지구를 떠나거라 사형이 답이다,True,1,2025-02-15T21:44:56+0900,851411442199429362,3,2,2
kwon****,2z6lA,이재명 감옥 가자는 왜 안보이지 많이하던데 ㅋㅋ,True,1,2025-02-15T20:43:25+0900,851407478833807478,2,1,0
didm****,38v4n,경호처 구속영장 재신청하고 경호 못하게 법안 내고 윤석열 대통령 암살할려고 하는거 같은데 쿠데타 일으키고 암살 계획까지 세우고 실행된다면 누가 내란수괴인가?여러분 지켜봅시다 진짜 내란수괴를,True,1,2025-02-16T02:20:09+0900,851429173351153679,1,0,0
giho****,,,False,1,2025-02-16T00:43:45+0900,851422962039914663,0,0,0
coxg****,5U7ET,숫자가 20배정도 차이남,True,1,2025-02-16T00:30:00+0900,851422077058547714,1,0,0
kide****,5SmdC,유튭 어딜 찾아봐서 광주에서 찬성집회 드론 샷 안보여 ㅋㅋㅋㅋㅋ 괜히 띄워봤자 바로 끝이 보이니까 쪽팔리지...,True,1,2025-02-15T23:03:26+0900,851416499087212661,1,0,0
ayj1****,,,False,1,2025-02-15T22:29:06+0900,851414287497822232,0,0,0
jsro****,bv3S,이번일로 알게 된점 광주는 멈춰버린 도시 너무 낙후되서 너무 깜짝놀람,True,1,2025-02-15T21:58:59+0900,851412347816771873,1,0,0
mann****,3tWoP,전국에서 다 문제가 없었는데 광주만 문제가 있다면 그 책임은 ?,True,1,2025-02-15T21:51:36+0900,851411871612272810,1,0,0
liud****,aAlJH,"신천지 집회는 교회서하세요..
거리에서 추태부리지말고...",True,1,2025-02-15T21:50:58+0900,851411831212736786,1,0,0
eomb****,11kYV,"언론이란게 공정하지 못하니. 사진만 봐도 탄핵찬성집회 사진은 기자가  ""윤석열을 파면하라""라는 손팻말 들고 찍었냐?",True,1,2025-02-15T21:29:05+0900,851410420752187421,1,0,0
itsw****,,,False,1,2025-02-15T20:49:12+0900,851407851170562105,0,0,0
scbd****,1Jd7D,"찬성집회 다세봣다 ㅋㅋㅋ 3374명이래^^^
가방까지 센거^^^",True,1,2025-02-15T20:48:18+0900,851407793607934045,1,0,0
ggma****,1q0KB,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ,True,1,2025-02-24T12:12:58+0900,852209535287296369,0,0,0
dfls****,dUOMv,윤 추종자들 뇌속 들여다 보고싶다,True,1,2025-02-19T06:00:00+0900,851721650255691777,0,0,0
dldl****,,,False,1,2025-02-17T20:01:31+0900,851590322067603634,0,0,0
