user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lkci****,2WLuR,"국민의힘과 윤석열지지자 입장에서는, 탄핵기각되면 공정한 판결인거고, 인용되면 불공정한 판결이라고 하겠지.",True,1,2025-02-22T17:06:58+0900,852042933740765405,6,2,2
josc****,3MFtV,"대통령 약올리듯이 구속취소신문일에 변론기일을 잡는 교활함을 노골적으로 보여주는걸로 볼때 헌재는 증인들의 오염된 증언과 신빙성제로 증거를 무시하고 '국회와 선관위에 군인들이 투입되는걸 봤으니 그걸로 내란죄확정, 탄핵인용'을 선고할 가능성이 높다. 남자를 조롱모욕해 약올리는 조선폐미 행태와 같다. 운동권스윗똥팔육-조선폐미-친중세력 커넥션이 이보다 선명할수 없다. 국민들이 보고싶어한건 어렵고 철학적인 말뿐이라도 '계엄=내란'인지, 무엇이 진짜 내란인지 최고의 법률가들이 집단지성으로 논하는 것이었다. 그걸 결국 못했으니 국민적 한이 됐다.",True,1,2025-02-22T15:55:02+0900,852038298934181898,5,2,0
jiny****,1pHKR,진짜 제 정신 아닌 사람들 정말 많네...,True,1,2025-02-22T19:41:13+0900,852052871238123577,2,0,0
zaos****,5T2sb,"윤석열 대통령은 정치인~의정활동을 아예 안해본 분. 그게 없으면 대통령업무의 위기관리능력이 없어집니다. 서울대 출신 대통령이 그런 문제 가지고 있죠 서울대입학은 젛은직업얻고, 고소득작업얻기,유망세~그런걸 위주로 하는 교육입니다. 100년 정치색깔 입히기를 위한 한국정치와는 어울리지 않는 대학교가 서울대학교입니다",True,1,2025-02-22T19:58:39+0900,852053994254631069,1,1,0
joen****,3fi8Z,드디어 국짐도 인용을 원하네욘~~,True,1,2025-02-23T12:30:46+0900,852117910447980732,0,0,0
roll****,8nXaJ,시끄럽다 OOO들아 입달려 나불대면 다 말인줄 아나,True,1,2025-02-22T23:58:48+0900,852069465146261696,0,0,0
skhs****,3Q1CN,야 야 시끄러!,True,1,2025-02-22T18:35:20+0900,852048626317262930,0,0,0
k159****,,,False,1,2025-02-23T08:32:02+0900,852102530774073351,0,0,0
kimy****,eau6Q,국힘  문형배 집근처 집회하지말고 대통령석바하라는 꽃화환 세워보세요  어찌됐든 문재판장이  잘해야되니  그방법이  낮지않을까요,True,1,2025-02-22T21:38:10+0900,852060405114077229,0,1,0
kimy****,eau6Q,"재판관들  대통령복 귀 시키세요 
나라일 더하시라   복궈시키세요
 지금  공무원들은 못느끼지만  국민들경제 장난아닙니디ㅡ  부디 선처를바랍니다 나라를위해서",True,1,2025-02-22T18:33:28+0900,852048506712490095,0,1,1
