user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
wise****,3mKU3,3.1절 광화문 가려고 준비중입니다!! 모두 모입시다~~~,True,1,2025-02-27T18:51:52+0900,852513548021006597,39,1,0
seas****,4U4Rl,"서울, 부산, 대전, 대구, 광주의 탄핵반대 수십만 인파를 보았는가? 이것은 그들만의 리그가 아니다. 영하 10도의 추운 날씨에 태극기 흔드는 수십만명이 목청높여 외쳤다. 그들의 한표(명)는 구경만하는 열표(명)보다 훨씬 강력한 의지이다. 3.1절에는 수백만명이 외칠것이다. ""윤석열 탄핵 반대, 대통령은 윤석열"" 헌재는 국민의 외침을 새겨 듣기 바란다.",True,1,2025-02-27T15:18:23+0900,852499794713641151,44,9,2
dhkw****,21mTV,헌재의 좌편향 편파적 판단을 미리 막자!   탄핵 기각!,True,1,2025-02-27T17:37:18+0900,852508744066531426,20,1,0
esde****,6euzI,광화문 탄핵반대집회 모이자!!!!!🇰🇷🇰🇷🇰🇷🇰🇷,True,1,2025-02-27T19:18:15+0900,852515248307961931,17,3,0
flow****,1If2e,후손들이 이러라고 선조들이 목숨바쳐가며 독립운동한게 아닐텐데!!!!,True,1,2025-02-27T15:27:36+0900,852500388006330626,10,6,3
suhd****,,,False,1,2025-02-28T07:43:26+0900,852563255908892759,0,0,1
kih2****,1ooOQ,결국 친중종북 세력의 민주당이 국민을 반으로 분열 시켜 놓은구나 국힘은 바보들처럼 식구도 못돌보은 바보들이고 민주당은 독재와 독선으로 밀어 부쳐서 분열이 찬성집회 참가자들은 본인들이 자유을 말하면서 민주당의 독재와 독선은 안보여지남 새상에 통신검열법이 뭐야 어디 공산당에서나 듣던 예기을.,True,1,2025-02-28T00:44:24+0900,852536259908730962,3,0,0
smat****,2aZdU,"삼일절에 여의도로 모여 탄핵반대를 외칩시다.
삼일절에는 서울 광화문에서  서울역  그리고 여의도 와 대학로 까지 애국집회가 화산처럼  터질겁니다.",True,1,2025-02-27T19:36:53+0900,852516448180896025,3,0,0
leej****,7jewb,우리 부부도 광화문 갈 준비중,True,1,2025-02-28T09:43:34+0900,852570995389628652,2,0,0
nami****,34Vi6,탄핵 찬섬인원은 손에 꼽을 정도네요. 대결이라 하기도 부끄러운,True,1,2025-02-27T19:57:03+0900,852517747660161044,2,1,0
kcw5****,,,False,1,2025-02-28T09:19:28+0900,852569442792505501,0,0,0
munh****,17xbt,요즘 좌파들은 배에 기름기겼는지 데모 안하데  승산이없어서 포기했는지 언론.뱡송. 헌재에서 알아서 해주는지,True,1,2025-02-28T08:59:23+0900,852568148430291067,1,0,0
kim2****,6BX6B,전국에서 대통령탄핵반대집회에 국민들이 모여들고있습니다 헌재는 대한민국 국민들이 대통령탄핵기각을 외치는 소리에 귀기울이시고 헌법에 맞는 판결해주십시요,True,1,2025-02-28T06:27:32+0900,852558365568532537,1,0,0
mcle****,1e7wb,3.1 절은 광 화 문으로 !!!,True,1,2025-02-27T19:56:42+0900,852517725329686721,1,0,0
ray0****,1wT6f,"오늘 3.1절 오후1시,부산역 광장 태극기집회, 탄핵반대●국민들 모여라",True,1,2025-03-01T11:02:52+0900,852668875932696823,0,0,0
ray0****,1wT6f,"오늘 3.1절 오후1시
부산역 광장
태극기집회, 탄핵반대●국민들 모여라",True,1,2025-03-01T11:01:48+0900,852668806726680792,0,0,0
kyw0****,35C4E,나도 참석하러가요,True,1,2025-03-01T10:48:39+0900,852667960114806954,0,0,0
anne****,1zF9W,휴대폰도 있고  드론 ai등  기술 발전이  눈 부신데  집회에  모인 정확한  인원 파악이  여기저기 다른것이   놀랍다,True,1,2025-03-01T10:07:50+0900,852665330521080002,0,0,0
bici****,3lNW5,"몇 마리 되지도 않는 탄핵 찬성 집회 좀 자세히 보도해라, 맨날 앞에서 크게 찍어서 뒤에 보이지도 않게 찍은 사진 말고, 드론 사진도 좀 찍고 해서",True,1,2025-03-01T10:02:01+0900,852664955181203462,0,0,0
urba****,396Kw,더민당 김민석의 형 촛불행동 우두머리와 찢좌들은 집회의 달인듯합니다ㅠㅠ 탄핵 헌재판이 끝났으니 판사들의 평의 도중 압박용으로 안국역 사거리에서 시위를 하는것 보세요..,True,1,2025-03-01T09:45:36+0900,852663898032046239,0,0,0
tjdw****,7Sdoj,막상가면 또 찬성에는 한줌밖에없을듯ㅋㅋ,True,1,2025-02-28T20:33:50+0900,852612888701960437,0,0,0
en83****,16KW6,광화문에 폭탄이래도 터지면.......어마어마 하겠다......좌든우든......적당히들 해야지.......너무 꼴뵈기들 싫음.,True,1,2025-02-27T23:55:06+0900,852533083914633260,0,0,2
minj****,8CmBJ,3.1절엔 태극기지!,True,1,2025-02-27T20:06:21+0900,852518346137010308,0,0,0
bumj****,8OiZ5,"한줌단 새키들 딱기다려라 
이번에 나도 첫집회 나라구하러 대통령구하러 간다",True,1,2025-02-27T19:04:07+0900,852514337103806500,0,0,0
seas****,,,False,1,2025-02-27T15:17:23+0900,852499730289131696,0,0,0
kks1****,,,False,1,2025-02-27T15:22:52+0900,852500082929434975,0,0,0
tjrw****,15HLH,"31절에 왜 친일 윤석열 탄핵반대집회야;;;;;;
이 가짜보수들아 돈 많이주냐 나진심으로 묻고싶어",True,1,2025-02-28T00:29:03+0900,852535271210614802,0,5,3
