user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
yyou****,1BLg7,뉴시스 탄핵반대 사진은 학생사진 빼놓는거 봐라. 역시 좌파다. 나. 민주 파출소 끌려가냐? ㅋㅋ,True,1,2025-02-27T21:35:51+0900,852524112315154713,30,3,1
jewl****,4NP6R,우리 젊은이들이 너무 멋져요. 전남대 우리 박지원청년 너무 고맙다!!!너무 🙏🙏🙏🙏🙏,True,1,2025-02-27T21:23:10+0900,852523295617056827,13,0,0
coxg****,5U7ET,탄찬 사진봐라. 무슨 노조 무슨노조. 아재 으르신들 ㅋㅋ 전라도 4050은 뭐 빼박 순혈이라고 광고하나,True,1,2025-02-28T01:00:41+0900,852537308602171529,8,0,2
zeal****,,,False,1,2025-02-28T08:24:21+0900,852565892079288420,0,0,0
roos****,3sHcT,탄핵찬성을 찬양하며 기사의 내용이 극좌로 독보적편향성을 심고자 꼼수를 부리면 작성한 기사일뿐,True,1,2025-02-27T23:29:53+0900,852531459108372765,5,0,0
wyj0****,5KhZj,탄핵반대입니다.선관위 비리도 많고 부정선거 의혹  있다면 당당히 조사받고 국민즐의 의혹 풀어주면 됩니다. 쫄려서 못하나??그리고 앞으로 수기개표 해야합니다.,True,1,2025-02-28T21:36:46+0900,852616942815543560,2,0,0
ttr2****,AAd9,전남대 탄핵찬성 참가자도 일부대학생들이지  기자야 탄핵찬성집회 참가 대학생  일부라고 기사좀쓰라 일부,True,1,2025-02-27T21:55:41+0900,852525390722236676,1,0,0
hanu****,1mK6h,얼마를 받고 저지꺼리들 할까 한심한 인간들~~나라를 좀먹는 인간~~그래봤자 탄핵인용이다 ㅎㅎ,True,1,2025-02-27T21:40:21+0900,852524402242224237,0,0,0
kora****,dxamE,광주는...그냥....폭동인거야?,True,1,2025-02-27T20:07:48+0900,852518440441741570,2,3,0
chan****,2pSaw,거머리같은것들! 돈받고 여기저기 돌아다니며 온갖추악한 짓하며 정상적인 시민들한테 위협이나 가하고! 윤석열과 함께 세상밖으로 사라져라!,True,1,2025-02-28T05:51:12+0900,852556024828133388,1,3,2
room****,2x4fL,"배인규, 안정권 저런 인간들을 감싸는 정권수준…",True,1,2025-02-27T20:47:28+0900,852520996031168662,1,3,0
6top****,2edlJ,"세상이 말세네 저런 추잡한 것들이 
  전남대로 들어오고 
  내란 옹호자들 모조리 참 수 하 라",True,1,2025-02-28T05:39:11+0900,852555251062931475,0,2,1
0des****,Hpvt,내란범들 모두 잡아들여 윤석열이 하려던 벙커에 처넣고 일본 오염수만 떠다줘라,True,1,2025-02-27T22:52:01+0900,852529020036710409,1,4,2
flcl****,6QN78,경상도 2030 일베들이 이때다 싶어 바퀴벌레 처럼 여기저기 기어 다닌다   내란 옹호하는 경상도는 평생 비상계엄 때리자 !!,True,1,2025-02-27T21:36:46+0900,852524171874271486,0,4,2
