user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
polo****,NktJ,부정선거 밝혀내고 무고한 대통령을 석방하라!!!!!!,True,1,2025-02-28T17:50:32+0900,852602368364118221,54,15,0
k395****,13RQC,재학생이어도 태극기 들면 학교 출입 막더라. 이딴 게 대한민국?,True,1,2025-02-28T16:15:13+0900,852596227315859551,31,0,1
yoon****,1ec0W,황교안 전 총리님 응원합니다! 힘내세요!,True,1,2025-02-28T17:55:43+0900,852602701794509049,16,6,1
mssm****,1ydEL,"성대에 중국인이 제일많다고???
공자학원없애라",True,1,2025-02-28T17:56:46+0900,852602770111332615,9,0,0
umwo****,6sPYl,"극좌세력 저 피켓 재활용하더라. ㅋㅋㅋ 성대, 외대 앞글자만 바꿔 붙여서 ㅋㅋㅋ 구질구질한 것들. 남의 집회 훼방놓으려고 집회하는 것들이 오죽하긋냐",True,1,2025-02-28T18:33:53+0900,852605160310964512,7,0,0
jyhi****,3anei,"부정선거 밝혀라 
대통령 석방하라 
멸공",True,1,2025-02-28T18:00:51+0900,852603032238555394,4,0,0
cats****,2UKGy,힘내자 !!!! 대 한 민 국 🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷,True,1,2025-02-28T17:53:21+0900,852602549054734465,4,0,0
palr****,2nLfu,"명찰없는 공안경찰이 태극기 못들게 막더라. 이 나라가 대한민국인가, 중공인가. . 정말 기가 찬다.",True,1,2025-02-28T18:00:35+0900,852603015494893753,5,2,0
flut****,2jO0R,지난반에 나가니까 탄핵 찬성에 중국인들이 있던데 왜그렇져?,True,1,2025-02-28T18:38:46+0900,852605475437412618,2,1,0
skfm****,3YIny,한줌꺼리 배급견은 몇마리 안되지 계임이 안됨  황교안 대표님  성대 최고의 선배~  애국열사 ㅏㄴ세~!!,True,1,2025-02-28T18:55:21+0900,852606544112517210,1,0,0
py19****,bSn7t,황교안은 대행까지 한자가 검새출신 이라고 속보이는 짖거리 작작해라,True,1,2025-02-28T20:32:24+0900,852612796628598902,1,1,0
yig6****,2mJxi,압도적인 탄핵반대에 소수 외부인 난입해 깽판치는걸 편파언론은 양비론으로 헷갈리게 보도. 기자 현장 와봤는지 누가 불러주는것 받아쓰는지,True,1,2025-03-01T04:35:51+0900,852643942640910406,0,0,0
ley0****,1y6Zb,정신들 차리세요. 눈 깜고 귀 막고 살면 입도 막고 살아야지 ㅉㅉㅉ,True,1,2025-02-28T23:26:27+0900,852624009630580876,0,0,0
cho9****,TlOF,별놈이 다 있네~~,True,1,2025-02-28T23:17:01+0900,852623401406169093,0,0,0
imee****,4VFr0,"ㄱ보수당 헌법재판관이 이번판결 
먼저 탄핵인용할것같은데 
보수는 헌법을 중요시한다 
앞장섰다 
내란두목으로 탄핵인용할것같다 
돌대가리들",True,1,2025-02-28T21:09:55+0900,852615213118128394,0,0,0
imee****,4VFr0,"집신법위반으로 
싸다 대청소해라",True,1,2025-02-28T21:07:09+0900,852615034524663857,0,0,0
imee****,4VFr0,법무부장관 장관까지한사람이 머하는짖이야,True,1,2025-02-28T21:06:04+0900,852614964664336413,0,0,0
lmh7****,,,False,1,2025-02-28T20:48:57+0900,852613861948260623,0,0,0
lmh7****,,,False,1,2025-02-28T20:47:42+0900,852613782256484540,0,0,0
py19****,bSn7t,불법 구테타로 나라를 개판만든 수괴를 두둔 니들은 살기 힘든것이 없으니 밖에나와 선동질이 잼나겠지,True,1,2025-02-28T20:37:41+0900,852613136887316722,0,0,0
gree****,UR7H,황씨.내란당. 극우.미치광이목사완전양아치들 ㅉㅉ,True,1,2025-02-28T19:55:14+0900,852610401832009802,0,0,0
dkoo****,1uBAT,"황교안 주제를  알어라
추하고 역겹다",True,1,2025-02-28T19:06:26+0900,852607258217939095,0,0,0
stri****,2HBWj,"대통령 불법 납치 감금 석방하라!!!
반국가세력 척결!!!",True,1,2025-02-28T18:31:08+0900,852604983479107634,0,0,0
zoon****,2jdYi,"함께 지켜요♡
소중한 자유대한민국을~~♡♡",True,1,2025-02-28T18:24:08+0900,852604533145075759,0,0,0
