user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jjki****,3ZBAy,"이놈이아예 대놓고 방망이질 한다고 예고하네.이자슥 확실히 이죄명편에 서서 국민을 압살하려한다.홍콩공안식으로 하겠다.이거네
두고보자.",True,1,2025-03-04T12:52:04+0900,852954224382705696,44,5,3
jung****,bsimG,윤대통령님은 용산관저로 죄명이는 감옥으로~!!!!!!,True,1,2025-03-04T12:47:25+0900,852953924573855925,34,12,3
hs******,1hOeq,이 말은 니들이 내란세력이라는 거야.  법대로 제대로 정상적인 법관이 판결하면 아무 문제가 없고 궄민들이 승복한다. 삼류 이념적 내란세력 범죄자와동조하는 포르노 판사가 하느 판결을 승복하겠냐,True,1,2025-03-04T13:07:50+0900,852955240142471472,20,2,3
koji****,1nGUp,어디서 저렇게 공산당식 발언을 아무렇지도 않게 하는거지? 중국공안하고 협약맺어서 교육받고 오니까 이제 중국공안식으로 대한민국 국민을 대하겠다는거냐 지금?,True,1,2025-03-04T13:49:40+0900,852957935049900307,17,0,0
wono****,,,False,1,2025-03-04T13:10:34+0900,852955416303239345,0,0,0
sh07****,3szCa,불법사기  탄핵이다.  윤각하는  제자리로~ 더불어민주당은  해체~,True,1,2025-03-04T12:52:33+0900,852954255705768144,6,3,0
skak****,,,False,1,2025-03-04T15:09:43+0900,852963092600979749,0,0,0
jyjy****,,,False,1,2025-03-04T15:59:28+0900,852966297586106572,0,0,0
musi****,,,False,1,2025-03-04T18:32:35+0900,852976162387787982,0,0,0
daeg****,cvJnh,탄핵 결과에 반발하여 폭동을 일으키는 폭도들은 경찰력을 총동원하여 진압하여 질서를 바로 잡아야한다.,True,1,2025-03-04T17:09:45+0900,852970825991586131,2,0,0
sys2****,2W4um,"일벌백계 로 또다른 폭력을 막아야 합니다.
법치주의 근간을 훼손하는 자들은 엄벌해야 합니다.",True,1,2025-03-04T15:24:49+0900,852964065411072339,2,0,2
sub3****,AwAJ,국민을 향해 삼단봉 휘드르고 켑싸인을 뿌린다고 계엄상황에도 그러지 않았다 그런 계엄령을 내란이라고 대통령을 체포하고 겸찰 니들은 더한짓을한다고 이것만봐도 누가 내란세력인가 만약 경찰이 그런짓을 한다면 국민 저항권으로 그런 명령을 내린 자에게 국민 반역죄로 처단 할것이다,True,1,2025-03-05T12:44:12+0900,853046489423806541,1,1,0
juhy****,4xWjl,삼단봉? 캡사이신?? 법원을 때려 부수는데 헌재라고 안전? 이건 실탄 쏴서 다 죽여도 된다. 어차피 난동 피우는 20 30대들 없어도 이 나라 돌아가는데 아무 지장 없다.,True,1,2025-03-04T21:40:36+0900,852988275621626067,1,1,0
unis****,5zk3W,국민 패겠다고 협박 중 니 권세가 얼나나 가나 보자,True,1,2025-03-04T16:43:18+0900,852969122063974551,1,1,0
ktou****,dd8ap,요번에 폭도들도 싹다 정리 됐으면 대행은 그나마 나은대 서울 경찰 청장이문제네,True,1,2025-03-04T16:23:40+0900,852967856910893344,1,1,0
