user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
dobe****,1EnrD,"무슨 이득으로 저러는지 알고 싶지도 않지만, 정신적으로 심히 문제가 있다고 생각한다. 합리적 이성 사고 판단 기준이 없음.",True,1,2025-03-06T04:32:06+0900,853107557332418571,735,277,26
pedr****,9U4H2,이분 순수한분인데 정치상황 잘모르는 상태에서 극우들 한테 놀아나는듯 고성국 배승희 같은 유튜버 들한테 불려 다니며 상태가 심각해지겠다 본인말대로 친구들 한테 손절당하고 요즘은 아에 주변 극우들 한테 둘러싸여 가스라이팅 당해서 정신을 못차리네,True,1,2025-03-06T04:47:45+0900,853108564804239404,320,167,22
ngo8****,NSk4,전한길이 언론에서 띄워주니깐 본인이 무슨 대단한 사람으로 착각하는거같다 알맹이없는 노이즈 이상 이하도 아닌데,True,1,2025-03-06T06:35:47+0900,853115524832297044,211,83,7
wwgs****,d8YbZ,대구경북 공천 받으려고 애쓴다 애써,True,1,2025-03-06T05:46:12+0900,853112330802692114,224,107,13
kmjo****,2vNQi,윤석열과 엮이면  전부 이성을 잃는 듯 하네  국힘과 국민을 지킨 건 한동훈인걸 모르나? 한동훈의 정확하고 빠른 판단력  덕분에 국민과 국힘이 살 수 있었던거다 은혜를 모르는 친윤들이 호래자식 인거다,True,1,2025-03-06T04:59:18+0900,853109309309976599,238,157,12
spee****,QKkO,이런 내란 선동범도 중형으로 감옥에서 20년이상 썩혀야한다.,True,1,2025-03-06T07:20:12+0900,853118386689802290,35,16,3
glal****,4ohw4,자기가 뭔데 한동훈메 대해 평가해?,True,1,2025-03-06T07:22:58+0900,853118565434261674,23,10,1
rdxr****,2tbep,전선생 맛갔네 ㅋㅋㅋㅋ ㅋㅋㅋㅋ,True,1,2025-03-06T10:56:35+0900,853132327314784532,16,4,0
caub****,2D2ZT,한길쌤 속이다 후련합니다 응원합니다!,True,1,2025-03-06T10:37:38+0900,853131106067677444,34,24,2
jka7****,55Hwt,전한길이자도   연예인병에 걸렸구나 지가 극우좀비들이 환호해주니까 영웅이나 된거같나보지 아무리그래도 넌 극우좀비중 하나야,True,1,2025-03-06T09:33:34+0900,853126978637660415,20,12,0
