user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
stcr****,3wHea,국민뜻에 따라???   ㅋㅋ  돌았나...중국뜻에 따라겠지...,True,1,2025-03-06T16:24:42+0900,853153466221068585,78,39,5
nhl1****,,,False,1,2025-03-06T16:39:34+0900,853154423847780562,0,0,2
slov****,67ROd,숙대 멋지다~ 내란 옹호범들은 꺼지시긔,True,1,2025-03-06T21:42:30+0900,853173940195950776,26,9,0
kqle****,2bQSAI,"전국대학생 탄액반대 일어났다.전라도대학생.젊은청년젊은여성.목사님.스님.천주교구님.곽사령관대양심선언
더불어민주당김병주범범계 박선원의원주동하수십명이
윤석열 탄액 앞장선것.나타났다 헌법재판소 즉 기각하라",True,1,2025-03-06T19:02:07+0900,853163607041507359,9,1,0
kjha****,3bmM4,80% 이상의  국민들이  같은 생각을 하고 있다.  내란  수괴  파면이  합당하다.,True,1,2025-03-06T16:25:51+0900,853153540409917835,25,20,3
tjwl****,4rnR0,생각 있는 학교는 역시 다르다,True,1,2025-03-06T23:00:06+0900,853178939839873064,15,10,0
juks****,uwyE,탄핵이 맞지  불법 계엄 까지 했는데  파면 안되면 나중에 선례로 계속남는다,True,1,2025-03-06T16:31:16+0900,853153888570704007,10,8,1
ggam****,MQFZ,곰곰히 다시금 생각해보세요… 왜 계엄을 했는지…,True,1,2025-03-06T16:24:56+0900,853153481521889665,7,5,1
sooj****,mqDW,숙대.. 쪽팔린다,True,1,2025-03-10T18:55:20+0900,853534255605612677,1,0,0
ssiz****,eNsoW,숙명여대 자랑스럽다,True,1,2025-03-07T16:58:04+0900,853248386944466980,1,0,0
jgta****,2n0bX,이시대의   민주당은 과거 민주당이 아니다,True,1,2025-03-06T19:51:30+0900,853166788857299123,1,0,0
youn****,1c6i,도대체뭐가내란이라는건가 ᆢ언론의허위보도와좌파정당의농간에놀아나지말고학생들의촉명한눈으로봐야지만약계엄을안햇다면ᆢ선관의에부정도이나라의좌파암약을몰라을거다 ᆢ,True,1,2025-03-07T08:19:56+0900,853215006861295850,1,1,1
dico****,TtAc,숙명여자대학교 수준 처참하다,True,1,2025-03-28T00:05:53+0900,855131375081095427,0,0,0
hipa****,1yDjW,김명신 논문 표절 문제도 눈치게임 하는 쑥대밭ㅠ,True,1,2025-03-08T15:52:11+0900,853336913870848065,0,0,0
ys10****,1dbKQ,"우리 학생들 모두 나라를 위해 소리 모으는것 중요하다고 생각 합니다. 이렇게 어지럽고 힘들때는 팩트만 생각 하면 될듯합니다. 앞뒤 여러문제점이 있는거 어른들도 알고있고 차근차근 해결 한뒤 나머지도 해결해야 하는 숙제 겠지요..  일단은 시대 착오적인 헌법을 무너뜨린 대통령 은 죄가 있습니다.그렇다고 민주주의 대표도 죄가 많다고 생각합니다. 국힘은 싸울때가 아니고 얼른 좋은 인재를 국민 앞에 나세울 준비를 하는게 지금보다 더 나을듯 합니다.
깨진그릇이 안깨졌다고 우기면 사기꾼 같아보입니다
이는 이재명 의원도 죄값을 꼭꼭 받아야합니다",True,1,2025-03-08T09:25:12+0900,853311982256783417,0,0,0
dnrl****,1ycRA,"젤 앞에 있던 메퇘지 사진은 어디갔냐ㅋㅋㅋㅋㅋㅋ
숙대 쏴라있네ㅋㅋㅋ
똥덕에 이은 쑥대냐ㅋㅋㅋ
이렇게 티를 내줘야 사회에서 걸러진다니까",True,1,2025-03-08T00:55:27+0900,853279142316081237,0,0,0
gnls****,3Ywxy,역시 남다르다...멋진 사람들 응원합니다,True,1,2025-03-07T17:47:17+0900,853251557217534058,0,0,0
topc****,5twLs,응 전라도,True,1,2025-03-07T10:13:41+0900,853222334327161113,0,0,0
dong****,1KELt,부끄럽다,True,1,2025-03-07T00:23:28+0900,853184309874393211,0,0,0
dbsw****,4hlGR,파면!!!틀딱들아닥,True,1,2025-03-06T22:50:18+0900,853178307791814788,0,0,0
jspo****,3UWtw,"역시 숙명은 이대를 못따라가네  민주당한테 그리당하고도  깨닿지 못하면 스스로 개,돼지인정하는것  숙명의 지식인들은 탄핵반대를 외쳐라",True,1,2025-03-06T21:10:23+0900,853171871095455894,0,0,0
cjsu****,,,False,1,2025-03-06T18:36:38+0900,853161965474808021,0,0,0
ssla****,,,False,1,2025-03-06T17:39:25+0900,853158279973437589,0,0,0
viol****,Bnio,숙대 개딸년들~ 숙대 OOO들,True,1,2025-03-06T16:47:39+0900,853154944696451368,0,0,0
kis2****,,,False,1,2025-03-06T16:38:12+0900,853154335482183754,0,0,0
hoon****,1CgUL,중국놈  찾는것들은 일본놈들이냐,True,1,2025-03-06T16:26:51+0900,853153604314333568,0,0,0
viol****,Bnio,"숙명여대야 국민팔아먹지 마라!!
어디 국민 팔아 먹어 
곽종근 민주당이 회유했어. 죽이겠다고 회유했다. 어떻게 생각하냐?
그리고 공정과 상식은 어디다 팔아 먹었냐
그러고도 니들이 지성인이냐? 에라이 썩을 빠지 개딸년들",True,1,2025-03-06T16:25:35+0900,853153523196494068,0,0,0
succ****,6ceqN,걱정들마시길..  윤석열 탄핵 이후 가석방 없는 무기징역 확정입니다. 또 김건희도 함께 구속당합니다. 검찰 다 물갈이,True,1,2025-03-06T16:17:57+0900,853153031322075515,13,15,1
9128****,btZmw,찢숙대.,True,1,2025-03-07T00:24:46+0900,853184393894690988,1,3,0
ngc1****,,,False,1,2025-03-06T22:50:31+0900,853178322002116816,0,0,0
xoxo****,ddlbA,싹다 중국 공산당으로 보내버리고싶네 ㅉ,True,1,2025-03-06T16:52:14+0900,853155240227111040,8,12,0
munh****,17xbt,니덜이 내란인거지  학생이면 공부가우선이지 썩어빠진공산정치 뭐배울게있다고 넘실거리나,True,1,2025-03-06T16:26:44+0900,853153596731031830,4,9,1
hong****,1vTVN,이러니 여대 애들 욕 먹는거야!!! 생각이란 걸 좀 해라,True,1,2025-03-07T01:08:39+0900,853187221476343925,3,9,0
tto2****,5tii,니들은 북으로 가라,True,1,2025-03-06T19:09:31+0900,853164083698991282,3,9,0
kjhc****,cIW3R,공부나 해라 이것들아...느그들 부모가 뼈빠지게 등록금 대주느라 고생하신거 잊지말고...리죄명 구속 당하는게 느그들 앞날에 꽃🌸 피는 날이다.,True,1,2025-03-06T16:25:49+0900,853153537608122701,9,16,1
3381****,1w5Rk,숙명여대 숙명여대 대학원을 나온 딸은 윤대통령님의 담화문과 현재 우리나라에서 이뤄지고 있는 붑법과 부정선거 의혹을 보고서 탄핵반대를 외치고 있는데 제발 공부들 하고 깨닫거라  카톡검열과 언론들이 가짜뉴스를 전달하는 것을 유심히 보고 진실을 깨닫기바란다.  탄핵각하,True,1,2025-03-06T16:48:24+0900,853154992662511791,3,10,0
kimc****,41uaH,"무식한 것들이구나!!
진정 생각들을 못하나!!
아님 화짱조들이냐?
니들보다 더 똑똑한 곳에 다니는 학생들이 반대시국선언 하는데... 답답하네",True,1,2025-03-06T22:39:53+0900,853177636568957271,3,11,0
na10****,2Dmi9,숙대. 완전히 썩었구나.  니들은 우리법연구회 국제법 연구회도 모르지.  선관위의 부정선거 의혹도.   중국기업을 앞세워. 한국에 대대적 투자.  방송국들의. 행태. 쯧쯧쯧 도대체 뭘 알고있나.  완전 썩어빠진. 쑥대밭,True,1,2025-03-06T17:00:02+0900,853155741798760464,6,16,0
soft****,1uJlt,"숙대 수준...
레벨 있는 학교들이 대부분
깨어나고 있는데
저리 모지리 수준에 맞게 노는구만 ㅉㅉ",True,1,2025-03-06T23:28:51+0900,853180791876747562,3,13,0
a380****,4Uf4I,숙대가 예전의 숙대가 아니라더니 저런 생각없이 선동 당하는 애들이로구나~ 숙명여대 폐교하라!!!,True,1,2025-03-06T17:31:11+0900,853157748907442243,1,11,1
ksk0****,,,False,1,2025-03-06T22:15:46+0900,853176083233636660,0,0,1
koya****,1UrNd,여대ㅋ,True,1,2025-03-06T17:46:00+0900,853158703598141442,0,12,1
hi93****,2I1lj,숙대 니들 진짜 부끄럽다 선배인데 진심 졸업장 찢고싶다,True,1,2025-03-06T19:43:36+0900,853166280423768252,2,16,3
