user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
wngm****,41qSJ,탄핵 남발? 당할짓을 왜하니? 니들이 멀 잘못한걸. 진짜 몰라서가 아니라. 기냥 우기면 장땡이라는 식이지. 항상. 이젠. 그럴땐 지났단다 국짐당아. 민폐당 니들은. 해체가 답이다. 탄핵감이다 이주. 그만 나와. 니들. 보기 시러 토 쏠려. !,True,1,2025-03-13T13:03:15+0900,853789887059460191,12,4,0
125q****,jMLT,민주없는 독재죄명당....이제 독재탄핵당으로 당명 바꿔야할듯 ㅎ,True,1,2025-03-13T12:52:59+0900,853789225349284238,9,6,0
kjmc****,1AUQm,노무현 때 탄핵 남발하던 거 생각 안나나봐? 내로남불 오진다ㅋ,True,1,2025-03-13T13:00:45+0900,853789726149181742,5,2,2
jung****,1jfN8,그렇다고 군인들이 총들고 국회로? 이건 정말 아니잖아 정신들 좀 차려라!!!!! 국짐아!!!!,True,1,2025-03-14T08:05:11+0900,853863454732189752,2,0,0
khk9****,4ZHnA,"헌재에서 국회의.권리라고하던대 ㅋ ㅋ ㅋ 
헌재판결문 제대로봐봐 왜보고싶은건만봐? ㅋ ㅋ",True,1,2025-03-13T22:42:00+0900,853827172190650370,2,0,0
dhdl****,1TU4G,기다리면 되는것을 군인 시켜서 할것 까진 없잖아,True,1,2025-03-13T21:13:57+0900,853821500367569276,1,0,0
taka****,,,False,1,2025-03-14T11:03:10+0900,853874921908994121,0,0,0
kis7****,,,False,1,2025-03-14T10:49:28+0900,853874039041556694,0,0,0
shj6****,1eT1S,그러게 탄핵당할짓좀 그만하지그랬냐,True,1,2025-03-14T10:30:22+0900,853872808315322520,0,0,0
dkst****,83M4L,헌재의 판단도 위법이 없다고 안했다 거부권 남발하는 정권도 잘한게 없다 알맹이는 쏙 빼고 극우사람들 상대로 논평을 내고있는 국힘,True,1,2025-03-14T08:29:49+0900,853865042678907099,0,0,0
sons****,33r8t,당나라당 언제는 헌재 처부수자고 난리더만,True,1,2025-03-13T20:35:30+0900,853819022892859572,0,0,0
kimy****,eau6Q,국힘 재판관들께    감사의인사는 하세요 감사원장  검사들  복귀    환영  이런 판결을내려준   판사들 께,True,1,2025-03-13T17:42:44+0900,853807892703215901,0,0,0
jjjo****,,,False,1,2025-03-13T16:21:13+0900,853802640411197531,0,0,0
icem****,40Zfe,"탄핵남발? 국민의힘이 감싸고있는 거짓말 남발 
대표적 인물이 누굴까?",True,1,2025-03-13T16:08:05+0900,853801794470412329,0,0,0
wjdt****,3EFQs,애쓴다 그저 계엄정당화만 하려 발악중 이젠 애잔하다,True,1,2025-03-13T16:02:47+0900,853801453322502461,0,0,0
minm****,5X6K8,"민주당은 인물이 없고, 국민의힘당은 본인 자신밖에 없다.",True,1,2025-03-13T15:40:16+0900,853800002563080294,0,0,0
bang****,bJAtg,"놀고 계셔
한심하이",True,1,2025-03-13T14:31:25+0900,853795566985937103,0,0,0
bang****,,,False,1,2025-03-13T14:30:23+0900,853795500330057887,0,0,0
kkwi****,2kjly,재명이를탄핵해라거게답이다,True,1,2025-03-13T13:37:04+0900,853792065715175458,0,0,0
kqle****,2bQSAI,"김상욱의원 더러운종자.쓰레기장은 뭐하나.북한공산당
보다 무서운 더러운 종자.김정근한테.가거라.더러운종자",True,1,2025-03-13T13:35:19+0900,853791952301195388,0,0,0
hawk****,D6F7,OOO 굥돼지새끼 파면은 확정이야. 헛소리 그만해라,True,1,2025-03-13T13:12:14+0900,853790465336541269,0,0,0
wngm****,41qSJ,윤이 손바닥에 왕이라 썼지. 그왕을 위해. 느들중. 대신. 죽어줄 수. 있는. 넘 있음. 나와봐.주둥이만 나불대지말고.  국짐당. 그리고. 애국시민들아.  ㅋㅋ 있겠냐?,True,1,2025-03-13T13:08:11+0900,853790204199174230,0,0,0
d994****,32puB,니네 당 간수부터 해라.,True,1,2025-03-13T12:29:47+0900,853787731052986666,3,4,1
comf****,3wuZh,탄핵을 너무 쉽게 생각하는거 부터가 문제임 박근혜 대통령이 탄핵 당한거 부터 민주당에서는 탄핵하면 다 할수 있다고 믿는 경향이 있음,True,1,2025-03-13T12:49:03+0900,853788972432752681,0,1,0
