user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
dore****,dJ28,극좌파들은 끊임 없이 '희생양'을 만들면서 국민을 선동한다. 참으로 나라의 미래가 걱정스럽다. 제발 대다수 국민들은 냉철한 이성으로 무도한 정치패거리들의 선전선동에 넘어가지 않기를 바란다.  민주주의는 '냉소주의' 와 '개인주의'를 바탕으로 성숙해 간다는 걸 명심해야.,True,1,2025-03-17T20:34:27+0900,854190040253726893,42,15,4
skyc****,1yMc1,"이재명은 시위하다 죽는게아니고 소리소문없이 죽어있음.
심지어 주요범죄 연류된 핵심증인들이..ㄷㄷ",True,1,2025-03-17T21:26:38+0900,854193402122600651,19,4,0
gowe****,5J85O,이재몀  주번에  죽는사람이  왜이리  많은가? 찢의 탄핵 집회 동원이 문제?,True,1,2025-03-18T09:48:06+0900,854241171067633700,5,0,0
hana****,2cLtG,왜 이리 잼버리들은 조국 재밍 등 범죄자를 좋아하는지 ?,True,1,2025-03-18T10:12:02+0900,854242713178996758,4,0,0
qkrs****,1CzgI,결국 장외집회 선동이 국민을 죽였다,True,1,2025-03-17T21:04:42+0900,854191988658929930,9,6,0
sh07****,3szCa,이재명 범죄와  관련된  의문의  사망자 8명  윤석열  계몽령관련  사망자  0명,True,1,2025-03-17T20:45:46+0900,854190769475420470,7,6,0
kchk****,,,False,1,2025-03-18T13:39:22+0900,854256069772312762,0,0,0
tack****,,,False,1,2025-03-18T10:17:22+0900,854243056440836276,0,0,0
kcs8****,99sox,이 기사에 광주시장이 왜 나오는지??,True,1,2025-03-17T23:28:24+0900,854201246930698349,1,0,0
vzxc****,,,False,1,2025-03-17T22:18:52+0900,854196767481135387,0,0,0
tjsk****,dysLW,안타깝습니다 딩신 뜻대로 저개 색이는  꼭 탄핵됩니다..,True,1,2025-03-17T20:50:35+0900,854191079870693589,4,4,1
saza****,2AJcj,누군가 죽어야 정치를 할 수 있는게 좌파임ㅋㅋㅋ 쟤들은 능력이 없거든,True,1,2025-03-18T00:42:00+0900,854205988155162627,2,2,0
shal****,,,False,1,2025-03-17T22:24:52+0900,854197153306771771,0,0,0
yjda****,drju0,멧돼지 한 마리를 못잡고 나라가 이 지경이다. 어쩌다 저런 악귀가 태어났는지 민주주의 뿌리를 흔들고 있는 쓰레기보다 못한 인간,True,1,2025-03-18T15:18:41+0900,854262468854153511,0,0,0
lseu****,3r2UH,에고 우매한 백성아 할말없다ᆢ 동물농장 개돼지들  소굴답다ᆢ,True,1,2025-03-18T12:50:44+0900,854252936912437574,0,0,0
chis****,1tHYz,강기정 1인시위한시간은 무노동무임금적용했나??광주시청,True,1,2025-03-18T12:01:10+0900,854249743084159049,0,0,0
kosl****,,,False,1,2025-03-18T11:40:17+0900,854248398373519482,0,0,0
nhg2****,48E73,재명이 대통되면 민주투사 유공자 만들어 주겠네.,True,1,2025-03-18T11:40:08+0900,854248388005199948,0,0,0
kosl****,,,False,1,2025-03-18T11:34:10+0900,854248004561928260,0,0,0
sdk2****,3wGGq,광주시장은 공무원인데 저런 시위를 하다니 중립을 지켜야 하는데 저런 인간부터 디저야 한다 남한을 둘로 나눠서 전라민국으로 독립시켜라 인간 말종들 저런놈은 디저도 아무 관계가 없다,True,1,2025-03-18T11:32:51+0900,854247919384002956,0,0,0
jds5****,2KWNb,이재명=민주당에 또사람 죽었다.,True,1,2025-03-18T11:17:41+0900,854246942329274706,0,0,0
conf****,,,False,1,2025-03-18T11:15:39+0900,854246811366326599,0,0,0
abs8****,aELi8,"주금파리 횡설수설

고질병 재탕 이랑께~~",True,1,2025-03-18T10:26:26+0900,854243640204067038,0,0,0
envi****,4r7PN,"죽을때까지 단식과시위계속해라
찢명이때문에 고인되엇구나",True,1,2025-03-18T10:08:36+0900,854242491887517949,0,0,0
hhpa****,1yhd5,블랙,True,1,2025-03-18T06:18:27+0900,854227664452452413,0,0,0
lcwo****,,,False,1,2025-03-18T06:16:04+0900,854227510773153797,0,0,0
6top****,2edlJ,"개쌍열은 도대체 얼마나 많은 사람을 죽이는가 
  전 국민을 잡아 먹을 놈 82 사형시켜라",True,1,2025-03-18T03:59:57+0900,854218741020360774,0,0,0
macr****,1Nlcs,무슨 지금이 독립운동 시기도 아니고 분신자살을 하질않나. 1인시위하다 죽질않나. 아주 애국자들 나셨다.,True,1,2025-03-18T03:53:38+0900,854218334575525944,0,0,0
pjr8****,,,False,1,2025-03-17T21:48:56+0900,854194838873047400,0,0,0
avse****,,,False,1,2025-03-17T21:41:55+0900,854194386508972354,0,0,0
kidd****,,,False,1,2025-03-17T20:41:02+0900,854190464633405451,0,0,0
mylo****,POoq,찢죄명이 한놈때문에 여러사람이 세상을 등지는구나 간접 살인마 쬐명이놈이 없어져야 모든게 정상화된다,True,1,2025-03-18T03:00:09+0900,854214889290334220,4,5,2
ybpa****,WUOp,이뭐같은것들 인간 장사 또하네,True,1,2025-03-17T21:57:10+0900,854195369133736002,1,2,0
unic****,SKFB,"고인의 명복을 빕니다.
내란수괴 윤석 탄핵을 하루 빨리 인용하라~~~~",True,1,2025-03-18T11:23:40+0900,854247327550931289,0,1,0
seas****,4U4Rl,"탄핵반대 분신사망1명, 중태1명은 언론에서 토막뉴스로 극우세력이라 몰더니 탄핵찬성 사망1명은 언론들이 상세히보도, 또 이재명의 슬퍼하는 표정까지 보도. 이것이 좌파로 물든 대한민국 언론의 현 주소다.",True,1,2025-03-18T07:53:07+0900,854233763507339307,0,1,0
sewn****,3cGjH,"고인의명복을빕니다..좌파정치집단의 우두머리의 데모소집령에 응하다 이런 불행한일이 발생함에 분통이 터집니다..이시간이 지나면 아무도 알아주지 않는 안타까운 줒음에 데모 소집령을 내린 우두머리는 진정으로 애도 나 할까, 잠시뿐 김문기처장처럼 모른다면 끝..헌재야 빨리기각하고 끝내라..",True,1,2025-03-17T21:53:57+0900,854195162354549107,1,3,0
gold****,3typG,때되서 죽은거 아니겠냐?,True,1,2025-03-17T21:21:24+0900,854193064581791895,0,3,0
