user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
navi****,4jv52,폭군이 아니고 잡범 범죄자임.,True,1,2025-03-22T17:40:03+0900,854642661036916748,87,22,4
jaej****,20qNQ,"너는 일제시대 친일파 같아요 그만 좀 하시고, 수사 재판이나 빨리 받으세요.",True,1,2025-03-22T17:30:42+0900,854642059204624581,167,131,11
dn06****,38gA7,"댓글에 화교 중국인 조선족들 많네.
느그 나라로 돌아가라.",True,1,2025-03-23T08:14:30+0900,854698996696875076,33,4,0
kngy****,,,False,1,2025-03-23T06:55:31+0900,854693908603469869,0,0,0
uand****,,,False,1,2025-03-23T08:07:02+0900,854698515945750535,0,0,0
ksg3****,,,False,1,2025-03-22T17:36:39+0900,854642442077470886,0,0,0
ball****,6Erig,"말과 행동을 보면 이미 폭군인다.
권력은 잔인하게 써야한다고 말했고 대통령 권한 대행한테 몸조심하라고 발언후 탄핵 날렸다. 
대행이지만 현직 국가수반에게 이럴 정도면 나 같은 개미 쓸어버리는 것은 쥐도새도 모르게 할 듯",True,1,2025-03-23T08:21:02+0900,854699418190872585,9,4,0
kku_****,2uNjs,이야 얘는 꼬라지가 점점 마귀할멈 같아지네,True,1,2025-03-22T18:06:58+0900,854644394760863988,8,4,1
ahha****,5ruwO,"너는 아웃.
당신 자녀들 입시 비리 의혹부터 해명해라.",True,1,2025-03-22T18:49:07+0900,854647110136496157,6,2,0
friz****,1oRkz,저런게 판사출신이었다니..,True,1,2025-03-22T17:54:01+0900,854643561386213383,6,2,0
hanw****,,,False,1,2025-03-22T17:45:07+0900,854642987907416092,0,0,0
yumy****,4yudw,됐고! 니 면상좀 내밀지 말아라! 심히 불편하다!,True,1,2025-03-22T17:43:44+0900,854642898702958791,4,1,0
sdg1****,u7MD,반드시 정권이 바뀌어 나경원같은 정치인들 처단해야 합니다. 사회의 암적인 존재들을 반드시 처단해야 합니다.,True,1,2025-03-22T18:04:24+0900,854644230243483758,4,2,0
jung****,6QDHe,제정신이 아닌 여자~,True,1,2025-03-22T22:47:41+0900,854662480717152433,3,1,0
ahha****,5ruwO,김건희에게 팽당하더니 나경원 나빠루 사건 언제 수사하나 6년째 뭉개고 있다는데 검찰이??? 뭉개고 있는게 사실인가???  자녀 장애인특혜는 아니냐? 입시비리 의혹도 해명했나?,True,1,2025-03-22T18:53:21+0900,854647382967582810,3,1,0
yu73****,gMmq,조선의 악인 권성동.김기현과 더불어 국민쌍여자 나경원 등장 국민의 적.국민의 암.국민의 짐  완결입니다,True,1,2025-03-22T17:49:40+0900,854643280116187324,3,1,0
luci****,8gaLN,기소무마청탁이나 넣는 사법카르텔 나베는 재판이나 받아라,True,1,2025-03-22T18:42:06+0900,854646658762276889,2,0,0
eoah****,,,False,1,2025-03-22T18:20:07+0900,854645241842499619,0,0,0
ysy1****,,,False,1,2025-03-22T18:18:46+0900,854645155590832325,0,0,0
suje****,16pDR,나베 아웃!!!,True,1,2025-03-22T18:13:09+0900,854644793219743793,2,0,0
sons****,6tgvP,나베가 이젠 괴물이 되어가는구나.,True,1,2025-03-22T18:04:58+0900,854644266566156540,2,0,0
tgma****,1AiV0,이것도 제정신이 아니네 ㅋㅋㅋ,True,1,2025-03-22T17:59:04+0900,854643886478327828,2,0,0
kimh****,3h6Ru,넌 재판 안받니? 일본 천황이 니 조국의 황제 아니니 ?,True,1,2025-03-22T17:51:30+0900,854643398714327167,2,0,0
hdsw****,15Onp,"각하되던 인용되던 그건 재판관들이 결정할 문제고 테러선동은 국힘당의 나경원, 윤상현이 선동하는거 눈이있는 사람이면 다 아는데. 무슨 개소리지?. 참 어이없네.",True,1,2025-03-22T17:43:05+0900,854642856306933778,52,51,3
turt****,1oK8v,너도 폭동 선동하잖아 훠이훠이 나베야,True,1,2025-03-22T17:34:45+0900,854642319620571314,41,40,0
hbd2****,63y1s,너부터 제발 사라져라ㅡ 눈에 지진 난다.,True,1,2025-03-22T17:33:06+0900,854642213706006560,29,28,0
kgb0****,1V6EB,"사돈남말한다는 말이 절로 나온다. 기득권으로 재판도 그 무엇도 다피하고 제멋대로 살아온 사람이 할 소리냐. 기가차다. 딱한번이라도 서민의 삶을 보살피려는 진심을 갖어본적 있나? 이재명을 무서워하는 맘은 결국 기득권, 누리지 못하니 이렇게 허소릴하는거지.",True,1,2025-03-22T17:44:13+0900,854642929925357633,18,17,1
crys****,,,False,1,2025-03-22T17:38:38+0900,854642570255401147,0,0,4
diak****,3NqJF,"빠루아줌마 6년동안 국회선진화법 1심도 판결이 않났오
국회에서 난동 폭동 일으킨 아줌마야 검찰 캐비넷에
머 가 있길래 니 딸 아들문제 재단문제 그 외 머가 있을까
차로 멀 하길래 월 기름값 수천만원을 소비해",True,1,2025-03-22T17:56:35+0900,854643725920370836,8,7,0
1004****,cpbrP,나씨아줌마가더폭녀같네.잘난입으로먹고사니 참국회의원아무나뽑지말아야됩니다.,True,1,2025-03-22T17:44:54+0900,854642973277683998,8,7,0
winz****,3zMiv,나경원 행동하는 것 두눈에 똑똑히 담아두고있다 개만도 못한것아,True,1,2025-03-22T17:52:33+0900,854643466326507660,7,6,0
ssd1****,1Ulgt,나베는 이재명 대통령되면 뭐가 두려워서 이럴까??,True,1,2025-03-22T17:41:52+0900,854642777621790951,6,5,0
ttma****,2yMFv,"나경원이 아직도 나불대는 국힘은 참.. 저런인간이 어떻게 판사가 되었을까.. 학원비리, 사법비리, 가족비리 비리종합선물세트",True,1,2025-03-22T19:03:08+0900,854648013455360030,5,4,0
cord****,1Ktql,착각이 심하네요  테라  조장하는건 국힘과  그 수괴예요. 어디아픈가? 헛소리,True,1,2025-03-22T18:15:16+0900,854644930390261824,5,4,0
pon1****,1LsWK,나베 빠루 아줌마 면상좀 치워라~,True,1,2025-03-22T17:38:19+0900,854642549535539288,5,4,0
dn04****,5DwSb,"인제친일 나경원!
 니가 진정 썩열이가 좋아서 지금 이토록 피를 토하듯 나서는거냐? 한때 거니한테 팽 당한건 잊었어? ㅋ
  이재명이 대통령 되면 니 재판 미뤄졌던거 당장 진행시킬꺼다 그게 무섭니? 집에서 살림이나 해라",True,1,2025-03-22T18:05:49+0900,854644321343766725,4,3,0
mk69****,5WjHI,미친   나빠루   어찌  국힘  애들은    콜걸과  똑같나ᆢ?,True,1,2025-03-22T17:53:25+0900,854643522177859708,4,3,0
en1l****,1a7pP,넌. . . . .생긴 것과 다르게 골 비었네,True,1,2025-03-22T17:43:29+0900,854642882210955404,4,3,0
eung****,gm4f,"나배는
나대지마라 .. 늙었으면 피부과나 계속 열심히
다녀 나와서 쑈하지말고.. 니
나배 비리는
언제
사과하니.",True,1,2025-03-22T17:43:24+0900,854642876909355110,4,3,0
sggi****,5FHS2,"기각되면 나라 망조가 맞지
바른말 했구만 왜그래 너나 잘해라
쌍통 보기싫다",True,1,2025-03-22T18:38:31+0900,854646427689681035,3,2,0
thes****,,,False,1,2025-03-22T17:59:07+0900,854643889699553323,0,0,0
whit****,1nDj6,넌 언제 1심 받음? 6년 지났다매 사법부가 아주 지켜주나보다,True,1,2025-03-23T10:32:31+0900,854707888873013376,2,1,0
khm5****,1dTd1,진짜 이 아줌마  왜이러지   수위를 넘네,True,1,2025-03-23T01:29:03+0900,854672876198952969,2,1,0
cho1****,,,False,1,2025-03-22T22:34:04+0900,854661602748661779,0,0,0
eo_e****,1wnHS,니는 정신이 아픈거같아요,True,1,2025-03-22T22:11:34+0900,854660153482412170,2,1,0
vinc****,,,False,1,2025-03-22T21:56:41+0900,854659194463191228,0,0,0
soba****,,,False,1,2025-03-22T17:41:19+0900,854642742171533391,0,0,0
k402****,11MH5,헌법재판소는 즉각 윤석열을 파면하라. 나경원은 꼭 재판받고 파묘되는거 봐야겠다,True,1,2025-03-23T13:07:33+0900,854717877004009599,1,0,0
golf****,1dPjb,김기현 이놈은 울산의 망신거리다  울산의 수치요 대한민국 역사의 역적이니라  역사는 김기현을 울산의 간신몰이배로 인정하느리다,True,1,2025-03-23T10:14:56+0900,854706755504963796,1,0,0
ssh6****,3tHDQ,니네나라로 돌아가 매국친일파 빠루,True,1,2025-03-23T09:27:45+0900,854703715708305566,1,0,0
sona****,bCEH0,찢에게 폭군은 너무 올렺치기입니다. 대북송금이 의심되는 출세한 잡범입니다.,True,1,2025-03-23T08:20:41+0900,854699394971205729,1,0,0
hsj9****,ZaXo,"얘는 폐경기 탓이가?  왜 이리 무식해 졌어? 얘 한테 세금 주는거, 그냥  세금 낭비 아냐? 말하는게 무식 해서,  수준이 초등학생 만도 못한데? 국가 세금을, 이런 무식한 여자에게 낭비해도 되나?",True,1,2025-03-23T06:50:39+0900,854693595372847157,1,0,0
03ki****,2iR2S,나베는  1심  판결이나  빨리  받아라!  ㅉㅉ,True,1,2025-03-22T23:39:52+0900,854665842451808458,1,0,0
love****,,,False,1,2025-03-22T23:29:13+0900,854665155961684019,0,0,0
jogo****,1zmb5,빠루는 어디에  있어요? 왜? 5년이나ㅡㅡ숨겨요?,True,1,2025-03-22T22:39:57+0900,854661982366728435,1,0,0
ggal****,3DHPm,테러선동은 헌재 부수자고 하는 니들이 하는거고 석열이는 진짜 테러를 했고.,True,1,2025-03-22T22:18:05+0900,854660572912812060,1,0,0
qufq****,5moms,폭군은 니네가 폭군이다.,True,1,2025-03-22T21:54:33+0900,854659057644994711,1,0,0
