user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
rudr****,7bowu,나경원 재판 신속하게 해라,True,1,2025-03-31T12:15:50+0900,855456715263443320,10,1,0
k120****,7SmKt,윤석열 탄핵안 빨리 인용선고하라,True,1,2025-03-31T14:50:44+0900,855466695022608727,6,2,0
ur56****,2YsMA,"나베 김기현등등 윤석열이한테 버림받은것들이 무슨 영화를 누리겠다고 저 지랄 하는지
석여리 탄핵되서 나베야 좃겟다",True,1,2025-04-05T08:45:39+0900,855907030605496472,0,0,0
himm****,9ksqX,민좃당 해체하라,True,1,2025-04-01T14:22:21+0900,855557637079564444,0,0,0
ksn9****,46vUs,국민의당 매국노당 해체하라,True,1,2025-04-01T11:26:39+0900,855546317877805392,0,0,0
hurt****,z9oI,차기는 전한길대통령이 되는 것이 맞다.,True,1,2025-04-01T00:22:10+0900,855503509116682293,0,0,0
jj13****,,,False,1,2025-03-31T18:57:25+0900,855482586602930342,0,0,0
swee****,,,False,1,2025-03-31T14:20:32+0900,855464748597117152,0,0,0
fine****,2kNuX,하나하나 기억해주마,True,1,2025-03-31T13:53:11+0900,855462987207540812,0,0,0
syk0****,2ZWO4,저 년놈들 꼴베기싫어서라도 언능 윤도리도리쩍벌 어퍼컷 돼지시키 대통령직에서 파면시켜라 헌재야 언능 좀,True,1,2025-03-31T13:51:37+0900,855462886158369030,0,0,0
yum5****,,,False,1,2025-03-31T13:50:28+0900,855462812254732489,0,0,0
galt****,,,False,1,2025-03-31T12:05:27+0900,855456046590722228,0,0,0
wlsd****,3aO0f,민주당 이재명이 대통령 되면 제 2 계엄령 내린다. 이재명 성격 모르냐???? 알 사람 다 알텐데 ㅋㅋㅋㅋㅋ,True,1,2025-03-31T13:27:08+0900,855461308479307831,0,4,0
