user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
chul****,5WT6o,헌법을 수호하고 존중 해야할 헌재가 정치적 이념적 사고에 함몰된 재판관이 파면을 가로막는 것이 가장 큰 문제가 아닌가 국민 분노는 극에 달했다 파면이 기각이 된다면 제2 계엄은 불을보듯 뻔하다 그때는 민심이 봉기하면 나라는 절딴 난다 그것이 두려운 것이다 당장 윤석열을 파면하라,True,1,2025-03-31T16:57:55+0900,855474888561918793,47,7,3
mabl****,,,False,1,2025-03-31T17:44:58+0900,855477919500206499,0,0,6
gain****,1WgJO,"더이상 기다릴수 없다.
국민투표를 하자 
애들 밥먹는것도 국민투표 하는데 이런 중요문제를 타락한 헌법제판소이 위임할수 없다",True,1,2025-03-31T20:17:17+0900,855487732728725622,18,0,0
pdia****,O0qs,아무리봐도 현재 5:3으로 줄다리기 중인데 여기서 마은혁 임명없이 각하했다간 나라가 뒤집히고 국제적으로 망신당할테니 지들 책임회피할 구실을 찾는중인듯... 그럴거면 일정 기간 정해서 마은혁 임명하라고 한덕수한테 최후통첩이라도 하던가~,True,1,2025-03-31T17:09:02+0900,855475604764491797,16,5,3
eunc****,33gvr,헌재여 정신차리세요  우리는 민주국가입니다 법앞에 모두가 평등해야죠. 초딩수준도 옳고그름은 구분합니다.윤석열 복귀는 내전을 의미합니다.윤석열계엄은 양심과 정의의 문제이자 법을 바로세우는 길입니다.,True,1,2025-03-31T21:42:58+0900,855493252852220302,10,3,1
pitt****,kBe1,"파면밖에 답이없는걸 어찌 이런상황을 만들지
난 도대체 어떤 나라에 살고있었던 거지 이나라가
민주주의가 맞나 어지러워 죽겠네 전국민이 목도한 상황을 없었다고 우기고 싶어? 이건 아니지 파면이 명확하잖아 파면해 빨리",True,1,2025-03-31T20:10:04+0900,855487267362308120,5,2,0
minc****,2K9tt,헌법재판소… 이게 무신꼴인지… 후손들한테 부끄럽지도 않니,True,1,2025-03-31T20:10:43+0900,855487309238239499,3,0,0
iboi****,1KkpP,나라가 거덜 나는데  내란 반란수괴를  파면  해야지 하루빨리 너그들 또 개수작부리냐 ? 그러다 너그들도 내란수괴로 죽는다.,True,1,2025-04-01T05:53:44+0900,855524870203637858,2,0,0
hyon****,,,False,1,2025-03-31T21:57:46+0900,855494206402068805,0,0,0
nana****,,,False,1,2025-03-31T17:09:44+0900,855475649442218418,0,0,1
nanb****,4XnnW,자유민주주의 수호를 위해서 꼭 윤대통령님 복귀 시켜주세요 사기탄핵 기각해라 !!    빨리 기각해라,True,1,2025-04-01T10:06:11+0900,855541133617397850,1,0,0
karl****,28s7U,누가봐도탄핵인데 신중은 무슨신중이야. 국민무시하냐 헌재는 이번에하는짓봐서는 법의권한을주면 안되는기관으로 확정됐다,True,1,2025-04-01T07:55:53+0900,855532739724574941,1,0,0
s948****,24eFF,초등학생도 불법 계엄이라는거 알고 있는데 뭐를 자꾸 만지착작 거리는가,True,1,2025-04-01T06:08:05+0900,855525794896674825,1,0,0
rose****,30bK8,"헌재 재판관이 국가 혼란 더 가중. 대역죄 내란을 국민 실시간 다 봤다. 탄핵 인용 지연될수록 똥, 거니가 증거 인멸, 사법 농단 총력전. 헌재 재판관은 역사적 사명 신속히 수행해야",True,1,2025-03-31T22:32:04+0900,855496415525208095,1,0,0
dont****,l7Ja,"심중해야할 이유가
무엇인지 국민은 알고싶다",True,1,2025-03-31T21:38:00+0900,855492932273176579,1,0,0
tkmt****,2B9BS,점심은 공짜로먹겠지  뚤린 주딩라고 밥은처묵겠지,True,1,2025-03-31T21:09:54+0900,855491122531664234,1,0,0
ym19****,2exFs,신중은 무슨신중 기각되는게 보이니 잼병부리는거지,True,1,2025-03-31T20:45:57+0900,855489579346559317,1,0,0
sky1****,2YcxY,나라 망하는꼴을 꼭 봐야하나?,True,1,2025-03-31T20:30:30+0900,855488584122106044,1,0,0
jspo****,1XgmL,ㅣ+1 이게 그리 어려운가?,True,1,2025-03-31T20:17:39+0900,855487755797397761,1,0,0
kimi****,2pwkJ,웃기는소리긍산해라 장난하냐 얼ㅇ사나더신둥해야되니 헌ㅂㆍㅂ재판소를 해쳊하라  빌요섮다,True,1,2025-03-31T19:39:50+0900,855485319393313070,1,0,0
quee****,11mx4,국민 대다수가 파면을 요구 명백히 위헌을 저질렀는데 심리가 계속중인것은 재판관들의 무능과 헌법수호 의자가 없으니 저것들 다 옷벗겨야한다,True,1,2025-03-31T22:13:48+0900,855495238804832626,1,1,0
jint****,8VQaC,아...이게 심사숙고할 내용이구나...초등학생도 판결내릴 수 있을거같은데... 서울법대 개ttong이다,True,1,2025-04-03T12:05:21+0900,855734353961943182,0,0,0
kks7****,1070Z,신중 같은소리하네^^상식도 모르는 똘아이들^^헌재  없애고 국민투표로 정하자^^,True,1,2025-04-01T10:08:21+0900,855541273036062853,0,0,0
p663****,BCWD,"국민투표 찬성합니다!
왜 우리나라 운명을 우유부단한 헌재에 맡겨야 되죠?
더 이상 기다릴수 없을 정도로 나라가 엉망인데.",True,1,2025-04-01T09:34:20+0900,855539082065870969,0,0,0
geni****,4w1Md,경제 다 무너지고 국민들 너무 힘들다 빠른 인용만이 살길이다,True,1,2025-04-01T08:08:23+0900,855533544963833961,0,0,1
mick****,16TvH,신중같은소리하고있네  신중하게해서 2년동ㅈ안할래?  비겁한변명 추잡하네,True,1,2025-04-01T07:37:54+0900,855531581039706342,0,0,0
sens****,8vxc3,위대한 업적을 남긴 경력이 있거나 국민들이 존경하는 지도자도 아니고 억울하게 올가미를 쓴 거도 이니고 오직 자기와 가족의 비리를 덮으려고 저지르다 실패하고 내란 우두머리일 뿐인데 왜 다들 쫄아버리는 가 ㆍ그 이유는 뻔하다 일신상 약점이 잡혀있기 때문이라고 본다  참 야비하고 비겁함이  판치는 나라다,True,1,2025-04-01T06:17:58+0900,855526431357141109,0,0,0
iboi****,1KkpP,내란수괴 윤석열을 신중해서 언제 파면하나고 빨리 파면하라고.,True,1,2025-04-01T05:52:10+0900,855524769171243021,0,0,0
dkny****,,,False,1,2025-04-01T03:44:50+0900,855516565632712768,0,0,0
lyw5****,rYnC,"니네집 불타고있는 와중에도 신중 기할래??
나라가 하루하루 망해가는데 니들 헌재 정신나간 양반들 시간 끌고 앉아있고 아니 증거가 차고넘치는데 뭘 더 판단한다고 이러고있냐 다같이 모여서 메이플 하냐 아님 뭐 마피아 하고있는거냐??",True,1,2025-04-01T00:51:38+0900,855505406754029695,0,0,0
saba****,3DZFe,보고도 모르면 바보지,True,1,2025-04-01T00:40:34+0900,855504694208888966,0,0,0
bana****,2mCjc,"윤석열 구속 취소로 나와 있는것만도 국민이 얼마나 참고 있는데 헌재까지 기각하면 참았던 국민적 분노가 하늘을 찌르고 나라를 붕괴시킬 것이다. 상식이 반복해서 무너지고 있는  이 상황을, 분노를 국민들는 지금 헌재만을 주시하며 꾹꾹 누르고 있는것 뿐이다.",True,1,2025-04-01T00:37:06+0900,855504470736371751,0,0,0
eusj****,56KYj,"왜좌발들이또설치는지?
댓글조작나섰네

윤석열  이재명 둘다 하늘나라로
보내는것이 답이다
그래야 이 나라가 살수있다",True,1,2025-03-31T23:55:46+0900,855501808594845941,0,0,0
kudo****,63t8l,"헌법재판소는 왜 ""선관위 서버 감정 신청""을 기각하는거냐???",True,1,2025-03-31T22:50:20+0900,855497592799232134,0,0,0
soup****,,,False,1,2025-03-31T22:44:56+0900,855497244151906681,0,0,0
tjdw****,NuUM,와 대한민국,True,1,2025-03-31T22:42:55+0900,855497114564690315,0,0,0
5one****,2TUno,그러다가 나라 망한다,True,1,2025-03-31T22:31:09+0900,855496356872060998,0,0,0
did8****,stLy,심사숙고가 너무길다,True,1,2025-03-31T22:30:59+0900,855496346285638036,0,0,0
galb****,2NZ58,"조한창 조한창
정영식 정영식
국가 대역죄로 역사에 남을거다",True,1,2025-03-31T22:23:29+0900,855495862766272712,0,0,0
pgw9****,,,False,1,2025-03-31T22:12:33+0900,855495158542631125,0,0,1
l120****,5GWpe,헌법재판관들땜에 나라 폭망.,True,1,2025-03-31T22:08:53+0900,855494922218766753,0,0,0
chan****,1lr8Y,찢재명이 칼로 씹구멍 쑤신다는 욕설이 도덕적으로 훨씬 양아치나 깡패보다 못한 노미 하는 발언이지.,True,1,2025-03-31T22:04:19+0900,855494627443081353,0,0,0
jjsd****,adwDa,헌법 재판관은 무슨 나라을 팔아 먹으려도 이완용같은 인간들이 있는것 같은데 누가 그러는지 말좀해라 먼훗날 그런 이간은 역사에 기록해야 하는것 아닌가 명백이 들어난 사건을 시간을 끌면선 국민에게 총을 겨눈 윤석열이 같은 이간을 옹호 하다니 나라을 팔아먹을 인간,True,1,2025-03-31T22:02:00+0900,855494478511734790,0,0,0
lucy****,1fqr8,"정말 무책임한 집단이다. 믿고 지지했던 국민들을 결국 분노하게 만든, 국가를 다시금 대혼란 사태에 빠뜨린 책임을 반드시 지게 해야한다. 빨리 탄핵 선고해라!",True,1,2025-03-31T21:57:20+0900,855494178233122959,0,0,0
java****,aXsbC,뭐가그리신중해아하는지.법모르는일국민들한테물어보든지해라.와.진짜저들의속내가뭔지알수가없네.과연이런이들에.결론를바라만봐야하는지한심하기짝이없다.집에가면태극기들고탄반외치는가족들의영향도있을것같고.과연이런법관들의잣대가공정한법.잣대대가이나라에계속되어야할까?,True,1,2025-03-31T21:52:16+0900,855493851580727413,0,0,0
dog2****,643wU,"증시 존나 박살나는거 안보이냐 이OOO들아 

신중은 ㅈㄲ고 안경 확 뿌셔벌라",True,1,2025-03-31T21:11:54+0900,855491251380683107,0,0,0
imee****,4VFr0,총을 쓰더라도 끄집어 내라,True,1,2025-03-31T21:01:15+0900,855490564907335773,0,0,0
juy8****,,,False,1,2025-03-31T19:56:44+0900,855486408352071976,0,0,0
bskh****,LCrw,조한창.조한창.조한창.조한창.조한창.조한창.조한창.,True,1,2025-03-31T19:45:17+0900,855485670657884275,0,0,0
geeh****,eWEU,이 ㅅ ㄲ 야 이정도로 시간 줬으면 벌써 선고가 나와도 10번은 나왔겠다. 어디 다 같이 죽어보자는건가. 지들은 어디 목숨 맡겨놓은데가 따로 있나!!!,True,1,2025-03-31T18:49:01+0900,855482046343020553,0,0,0
bago****,5jWup,와 어떤힘이작용하길래.장제원기사에는.댓글도못달게막아났냐 역시내란당 김건희파워가.어마어마헤.알아서기네,True,1,2025-04-01T09:34:29+0900,855539091544998051,0,1,0
zmsd****,,,False,1,2025-03-31T23:04:37+0900,855498512626876716,0,0,0
