user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lss8****,3BqMR,주사파운동권출신입니다.평생 땀흘려일한적없고.주사파출신이라는한가지로 범죄집단민주당에서 호의회식하고있어..여적죄로 처벌해야합니다..,True,1,2025-04-06T09:28:08+0900,856002538682449952,215,23,10
zuta****,,,False,1,2025-04-06T09:22:38+0900,856002184146321508,0,0,4
lieu****,PqPH,형사재판 시작도 안했다. 박원순 오거돈 성폭행 사건으로 서울부산 시장 뽑을때 니들은 왜 후보냈냐? 철면피네. 이재명 무조건 대북송금 이적행위로 사형시켜라!!,True,1,2025-04-06T09:36:29+0900,856003077382078561,90,6,0
juha****,6dKaQ,정청래 방화범은 아직도 살아있어야할 자격이 있는가 ~~~~~~~~~~~~~~~~~~~~` 푸 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ 더불어서 대져부러 이자식아 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전과5범 그샛길을 끌어안고 더불어서 대져죽어 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ,True,1,2025-04-06T09:22:56+0900,856002204362866862,65,13,3
hyun****,3Y9c7,민주당 딱  두넘만 없으면 참 좋은데 누굴까!,True,1,2025-04-06T09:36:20+0900,856003066778878027,30,4,4
foxl****,,,False,1,2025-04-06T09:39:05+0900,856003244969689107,0,0,0
81hy****,22jcC,내란당=민주당,True,1,2025-04-06T09:35:35+0900,856003018695377007,8,0,0
choi****,2voFA,탄핵남발당은  괜찮을까요? 전과자.방화범.성추행범들만 그득한  더부리 범죄당 도   자진해산하시지!,True,1,2025-04-06T09:34:46+0900,856002966165913755,7,1,0
teno****,3CxYI,내란 같은 소리하네. 내란도 아닐뿐더러 국힘이 계엄해제 표결 안하고 윤의 계엄에 동조했으면 어땠을거 같냐? 정청래 방화범 놈아.,True,1,2025-04-06T10:04:32+0900,856004884573454464,6,0,0
leej****,2qmzE,내란유도당 민주당도 해산해야 맞지!,True,1,2025-04-06T09:48:54+0900,856003877302960304,6,0,1
cnn0****,8556F,"그럼 잡범당은 자격이 있고.??
그런 넌 문화원 방화범 이면서 법사위원장 자격이 있고?? 제발 양심 좀 있어봐라!!~본인들 좀 돌아 보고 떠들어봐라!!~
늘 나라를 두동강이 내면서 선동질 하고
항상 이런식으로 국민이 뽑은 대통령을
벌써 2번씩이나 탄핵 해서 정권 빼앗고
이딴식 패악질 떨어서 권력을 쥐면 국민이 심판 한다는걸 꼭!! 기억하길!!!!",True,1,2025-04-06T09:39:44+0900,856003286694625417,6,1,0
ch0j****,lono,뭔 개소리야!!!!이것들이 하늘 높은 줄 모르고 허구헌날 멍멍멍!!!이네!!!!,True,1,2025-04-06T09:36:03+0900,856003048558821385,5,0,0
wose****,VMge,자기는 방화범이고 아들은 성추행범인데 너도 국개는 그만 해야지 부자가 범죄자인데,True,1,2025-04-06T09:52:27+0900,856004105523429443,5,1,0
good****,2bucDZ,미 대사관에 불지른 넘은 국회의원 자격이 있나?,True,1,2025-04-06T10:09:57+0900,856005232566468811,4,0,1
rhej****,3iTnf,미대사관 테러리스트 출신 ㅋㅋㅋ,True,1,2025-04-06T10:08:41+0900,856005151683510414,4,0,0
icmu****,5eWVW,다수 범죄혐의자가 대선에 참여할 자격이 있는가,True,1,2025-04-06T09:35:57+0900,856003042435137744,4,0,0
doom****,1a8Us,개딸인민공산당 찢쎄쎄수령님을 위하여~~~ 정똥래 인민무력부장동무~~~ㅋㅋㅋㅋㅋ,True,1,2025-04-06T09:34:18+0900,856002936520572993,4,0,0
choi****,aLoaU,더듬어당은 대선에 참여할 자격이 있는가  허구헌날 돈과  여자만 밝힌 더듬어당은 각성하라,True,1,2025-04-06T09:48:39+0900,856003861297496193,3,0,0
grea****,5vccv,"내란으로 치면 민주당이 내란당이죠. 정부위원을 그렇게 탄핵하고 기각되었으니..
대통령은 힘싸움에서 진거죠. 탄핵도 여당 108석이 막았으면 헌법재판소 판결이 없는건데, 결국 총선패배가 오늘의 파국을 불러온거죠. 

하지만 대선은 이번 파국의 공동책임자인 민주당은 절대 안되죠.",True,1,2025-04-06T10:10:16+0900,856005253487657013,3,1,0
rafa****,,,False,1,2025-04-06T10:07:37+0900,856005083064696954,0,0,0
lkyu****,,,False,1,2025-04-06T10:04:25+0900,856004876134514780,0,0,0
sa04****,1izgj,내 평생에 꼭 보고 싶은것! 정걸레 파멸의 나락에 빠지는것 꼭 보고싶다 저주한다.,True,1,2025-04-06T10:04:12+0900,856004862746296364,2,0,0
dpc9****,2n6lq,운동권 방화범은 국회의원 자격이 있는가?,True,1,2025-04-06T09:56:12+0900,856004346662354988,2,0,0
visi****,1RPHH,얘를 좋아하는 사람은 좌우 떠나서 뇌 검사해봐야함. 진심이다.,True,1,2025-04-06T09:56:05+0900,856004339968245784,2,0,0
jona****,38qYQ,"특검질 ,예산삭감질, 내란선동질,탄핵질로 국저믈 마비시킨 민주당 느그들이 내란의당이지...전과4범에 공공법카 유용 횡령등  온갖 추접한 범죄행위로 재판중인 이재명은 출마 자격이 없으니 선수를 바꿔야  할 것이야",True,1,2025-04-06T09:50:02+0900,856003949545652237,2,0,0
cbs1****,2yA2L,테러범 방화범이 법사위원장 하는 나라다!!,True,1,2025-04-06T09:48:38+0900,856003859787546758,2,0,0
scdh****,ey7ok,가만보면 이놈들은 탄핵대선 날먹 어부지리 아니면 정권을 못잡고만? 김대중도 가만보면 역대급 어부지리로 당선된거고,True,1,2025-04-06T09:45:39+0900,856003667587760248,2,0,0
uk******,,,False,1,2025-04-06T09:37:02+0900,856003112211578892,0,0,0
sofu****,BGpu,여러분 독재가 본격적으로 시작되고 있습니다,True,1,2025-04-06T09:36:38+0900,856003086089453712,2,0,0
mhsh****,1XuCu,"잡범 피고인이 대표로 있는 당,그 놈이 대선후보로 나와도 되는건가.정청래,정신 제대로 챙겨라.",True,1,2025-04-06T09:48:48+0900,856003870206197916,3,2,0
silk****,8nEbs,그만해라 ~이 ~ ~ ~,True,1,2025-04-06T15:07:51+0900,856024425533800706,1,0,0
zeon****,Hwds,독재하고 싶다는 소리 같다,True,1,2025-04-06T13:41:38+0900,856018871117676699,1,0,0
bakz****,2ree8,탄핵에 찬성했지만 깐죽거리는 정청래는 안보고 싶다,True,1,2025-04-06T10:50:08+0900,856007821676773400,1,0,0
sone****,,,False,1,2025-04-06T10:27:46+0900,856006381285671059,0,0,0
jun3****,,,False,1,2025-04-06T10:26:23+0900,856006292131545155,0,0,0
rjsr****,,,False,1,2025-04-06T10:21:28+0900,856005975377707099,0,0,0
dndn****,2z0sl,선거 자기들끼리만 하겠다고?? 이거 완전 북한 중국 아니냐?? ㅋㅋㅋ,True,1,2025-04-06T10:18:38+0900,856005792623493263,1,0,0
