user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
yeri****,1RIdR,적법 통치 행위로 결론날 것이라 100% 믿는다. 이후에 이땅에서 썩어빠진 인간들 싹다 잡아들여 대한민국을 평화의 나라로 만들어야 한다.,True,1,2024-12-17T07:24:54+0900,845789757710532744,24,8,1
osna****,1fo0T,"문재인이가 지명했던, 윤석렬이 지명했던 판사들은 진영에 상관없이 올바르고 공정하게 재판하면 되는것이지 문재인이 임명했으면 탄핵이고 윤석렬이 임명했으면 부결인가? 동아일보 왜 이러나 정말 매국노에 가까운짓 하고 있다.",True,1,2024-12-17T08:28:02+0900,845793825262665738,16,1,0
mjja****,2X5pg,"이죄명은 본인 재판에 안좋을거 같은 판사들 동시에
3명 이나 판사 탄핵시켰자나요. 이게 말이되는건가요? 입법부가 왜 법쪽까지 손을 대는건 다 그게 독재 아닌가요? 그게 내란인듯 한데",True,1,2024-12-17T09:08:04+0900,845796403568443413,19,5,0
k611****,2AJxx,부정선거 수사하고...간첩잡자는데 반대.. 한놈이 누구인지 보고싶다...,True,1,2024-12-17T07:38:02+0900,845790603617763338,16,2,2
jejs****,32UtY,부정선거 척결이 우선이지??? 다시 돌아올 윤대통령 ~~!! 아이 윌 비 백~~!! 화이팅.,True,1,2024-12-17T07:19:35+0900,845789415119781983,15,2,0
ok71****,4lyWB,탄핵은 일사천리로 진행하고 이재명 재판은 왜?? 질질 끄냐,True,1,2024-12-17T08:24:14+0900,845793580382421046,13,0,0
kssf****,3rx6r,전광훈이 광인과 친한것 보니 암담하다.,True,1,2024-12-17T10:45:22+0900,845802672039657650,13,1,0
shf2****,1CP0t,검찰은 내란범죄에 대한 수사권이 없는데 수사하는 이유가 뭐냐? 하루빨리 손을 떼라 나중에 법원에서 공소 기각 되면 어쩔려고 하나? 재판 질질 끌고있는 범죄자 이재명 부터 구속해라.,True,1,2024-12-17T07:49:34+0900,845791346127011967,13,1,0
pros****,3n6Ak,탄핵사유도 안되는걸 가지고ᆢ좌파들이란ᆢ 그냥 권력남용을 가지고 내란으로 선동질이라니ᆢ,True,1,2024-12-17T07:52:04+0900,845791507490275342,19,8,4
team****,ixVp,"좌파판사들이 장악한 헌재에서 100% 탄핵될 것이라고 본다. 문재인과 민주당이 정권잡고 제일먼저 했던일이 헌법재판소, 대법원, 법원, 국방부, 경찰청, 국정원, 선거관리위원회 부터 좌파들로 바꿔놨다. 지금 우리나라는 친중종북하는 매국노들이 장악했다.",True,1,2024-12-17T06:07:32+0900,845784772763451448,11,0,0
