user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
my97****,34yWj,"이게 민주주의인가? 
공산당 파시즘 나치즘이랑 왜 오버랩되는지
민주당 독재체제가 만들어지나~~? 
삼권분립이 전혀 안되는데
민주당 선넘네",True,1,2024-12-25T01:48:14+0900,846510238105337891,22,2,3
kscw****,,,False,1,2024-12-24T23:26:04+0900,846501078970138645,0,0,0
7604****,1MJ6i,국민들이.다 보고 홍콩처럼은 안되려고 죽기를 각오하고 뭉친다 .이  악마집단 부정선거 민주당,True,1,2024-12-25T05:53:22+0900,846526030951743517,20,1,0
foxm****,,,False,1,2024-12-24T22:30:40+0900,846497510087196879,0,0,0
prai****,2MxP,"유일하게 선관위를 조사할 수 있는 곳이 바로 감사원이다!! 근데 감사원에서 선관위 감사하려고 했더니, 감사원장 탄핵시켰던 것이 지금 민주당이다. 그럼 말 다한 것 아닌가?? 캥기는 것이 있으니깐... 윤대통령이 감사원장 시켜서 조사하려고 했는데 안된다고 하고, 탄핵까지 해버렸으니 그 다음 뭘 할 수 있는가?? 대통령이 할 수 있는 유일한 방법은 계엄 뿐이었을 것이다!!! 좌파들아 정신 좀 챙기자!!! 자유민주주의가 무너져가고 있다!!",True,1,2024-12-24T23:32:02+0900,846501464024023050,21,3,1
sejg****,7gOBv,이 정도면 민주당이 정권 찬탈을 위한 내란이다...,True,1,2024-12-24T22:31:24+0900,846497557583495271,19,1,0
0517****,,,False,1,2024-12-24T23:46:47+0900,846502413933215954,0,0,1
ldg9****,Ne6G,국가를 망친것은 윤석열이 아니라 미치광이집단 민주당이다. 국민들은 안중에도 없다.,True,1,2024-12-25T01:05:32+0900,846507487296225360,17,0,0
100a****,2d03PF,총리 탄핵하고 그밑에 최상묵도 탄핵한다고? ㅋㅋㅋㅋ 아주 독재도 상독재 독재왕 납셨어! 국정마비가 너네 목적이구나!! 이러니 계엄을 했지!!!,True,1,2024-12-24T23:54:47+0900,846502929127964869,17,0,0
sjmi****,3YaaM,권한대행까지 틴핵하려니 상황이 녹녹치 않으니 술그머니 26일로 연기했다고 꼬리내리는데 니들 한덕수 탄핵하면 역풍뿐아니라 세계속에서 입법독주 역풍맞을까봐 꼬리내리는데 헛소리마라 헌재 심판 나올때까지 헛수작하면 국민대다수는 압법독주 저지하려 진짜 군부 쿠테타 동조할것이다 군이 들고 일어나서 국회해산하고 좌파 잡아들여 사회정화에 일조함을 적극지지할것이다 작금의 민주당 국개들과 온론들이 설쳐대는것을보고 분개하는 국민이 상당히 많음을 인지해라 헌재심판 안나왔는데도 일부 언론과 국개들이 설치는꼴이란 가관이다,True,1,2024-12-25T01:24:07+0900,846508684216369179,19,3,2
hjko****,1awNk,"이걸 정상적인 국회라고 할 수 있나요?  왜 이렇게 선동을 하고 협박을 하는 것일까요?  인민재판같아서 무섭습니다.  또한,  왜 한 정당에서 헌재 위원들 마음대로 2명을 선출하나요?  왜 기본 룰을 어기는데 언론, 방송들은 다 묵인하네요? 후보자들의 인사청문회에서 발언하시는 것을 보면 편향성이 보이던데.. 만약 임명이 되신다면 앞으로의 헌재 사건들 합당한 판결???의문 듭니다.",True,1,2024-12-25T00:25:11+0900,846504887884709933,17,1,2
